num_samples,node_positions,node_rssi,node_noise,node_states,jammer_position,jammer_power,jammer_gain,pl_exp,sigma,node_placement
19,"[[1010.0, 505.0], [982.6377070588205, 668.9732319483651], [903.5159572451787, 815.1774199082822], [781.2088198518256, 927.769071522577], [628.9701710061036, 994.5471342993619], [463.29743053647223, 1008.2751689683682], [302.1438105502505, 967.465529960804], [162.97280632900083, 876.5405748899316], [60.86575564072308, 745.3534334837223], [6.8875417816252025, 588.1202680917706], [6.887541781625146, 421.8797319082295], [60.86575564072302, 264.64656651627786], [162.9728063290006, 133.4594251100687], [302.14381055025024, 42.534470039196094], [463.29743053647195, 1.7248310316317088], [628.9701710061033, 15.452865700638085], [781.2088198518254, 82.23092847742299], [903.5159572451787, 194.82258009171767], [982.6377070588205, 341.0267680516347]]","[-80.0, -80.0, -80.0, -80.0, -80.0, -79.98809956845749, -77.56750097774105, -75.8451478219, -74.60045123022478, -73.71705898089246, -73.12957073615928, -72.80690049381798, -72.80690049381798, -72.86017708579372, -73.25108632266249, -73.90821066438905, -74.87433242299862, -76.2247433254138, -78.09491247243709]","[-56.45869777252006, -52.85871878379847, -51.105769665057885, -54.09903968614782, -57.50675300020427, -60.062449462142865, -61.93639453299866, -63.31625844836759, -64.3193814001462, -65.01637314433894, -65.44930316843178, -65.64162606435629, -65.60314087385535, -65.33191642372374, -64.81391914134016, -64.02020262360702, -62.90057404301194, -61.371302100562126, -59.293687168679334]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[790.3013207950053, 702.7063396477197]",30,3,2.945522339043158,2.457124763853018,circle
46,"[[1273.0, 636.5], [1267.0716046521245, 723.1700721497609], [1249.3968533968741, 808.225644841446], [1220.304993408221, 890.0822936871327], [1180.33795099384, 967.2151841975535], [1130.2402365333633, 1038.1874765635325], [1070.9450756586734, 1101.6770912630259], [1003.557025026113, 1156.5013369011463], [929.3313965158784, 1201.6389415131118], [849.6508731468327, 1236.2490769286292], [765.9997523080015, 1259.6870218097984], [679.9362961066131, 1271.5161715897782], [593.063703893387, 1271.5161715897782], [507.00024769199865, 1259.6870218097986], [423.3491268531673, 1236.2490769286292], [343.6686034841217, 1201.6389415131118], [269.4429749738871, 1156.5013369011463], [202.0549243413268, 1101.677091263026], [142.75976346663685, 1038.1874765635328], [92.66204900616015, 967.2151841975538], [52.69500659177925, 890.082293687133], [23.603146603125765, 808.225644841446], [5.928395347875494, 723.170072149761], [0.0, 636.5000000000001], [5.928395347875494, 549.8299278502392], [23.603146603125765, 464.77435515855416], [52.69500659177902, 382.9177063128675], [92.66204900615992, 305.78481580244676], [142.7597634666368, 234.81252343646742], [202.05492434132663, 171.32290873697406], [269.44297497388703, 116.49866309885363], [343.6686034841213, 71.36105848688828], [423.34912685316715, 36.750923071370835], [507.00024769199865, 13.31297819020142], [593.0637038933867, 1.483828410221804], [679.9362961066131, 1.483828410221804], [765.9997523080011, 13.31297819020142], [849.6508731468326, 36.75092307137072], [929.3313965158779, 71.36105848688794], [1003.5570250261128, 116.49866309885351], [1070.945075658673, 171.32290873697372], [1130.240236533363, 234.8125234364672], [1180.33795099384, 305.78481580244653], [1220.3049934082208, 382.91770631286704], [1249.3968533968741, 464.774355158554], [1267.0716046521245, 549.8299278502386]]","[-69.83231850712505, -69.64422434530238, -69.49326120088543, -69.37860295605617, -69.29962089722224, -69.26143762095683, -69.26143762095683, -69.274221826078, -69.33468403307246, -69.4314378699807, -69.56415766866795, -69.73357068499436, -69.94060190708198, -70.18637189441111, -70.47218747101228, -70.79951883016986, -71.16995228730973, -71.58510072798907, -72.04644188116684, -72.55503503154297, -73.11103567713292, -73.7128808504839, -74.35595617100564, -75.03050136974372, -75.71855073362815, -76.39007296614693, -76.99960856980186, -77.48687791226806, -77.7866114234369, -77.85559163993025, -77.66394250045752, -77.26268770823926, -76.70606657040955, -76.0588329665101, -75.37438471026039, -74.69018285811771, -74.02972328329773, -73.40642438671367, -72.8271542897131, -72.29479350629528, -71.80991675338328, -71.3718390384604, -70.97924616567983, -70.630566468768, -70.32418552534617, -70.05856706268563]","[-58.36438217941742, -58.67498150239675, -58.93787137763145, -59.155606334023105, -59.33021005302369, -59.46324663646096, -59.55587352821067, -59.6088793907527, -59.62270926191253, -59.59747851155608, -59.5329764311202, -59.428659668884606, -59.283635121197975, -59.09663125558748, -58.86595612562124, -58.589439487351235, -58.26435539324727, -57.887320391739436, -57.45416104046762, -56.95974310099001, -56.39775434545434, -55.7604357081196, -55.03826789591209, -54.21965960752553, -53.29079568365897, -52.23611749936411, -51.04078280204506, -49.69885636912587, -48.23706529108066, -46.774379476450974, -45.622146830288315, -45.26055927144043, -45.89835349921867, -47.18746627015765, -48.67154329424114, -50.10489413469645, -51.404651358786346, -52.55769087316079, -53.57402221582211, -54.46917460182582, -55.25832309491158, -55.95464114530878, -56.56908786494288, -57.110635239436476, -57.586589537025006, -58.00289393236619]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[430.0311436300495, 256.74877327765887]",41,0,3.2106588039529234,3.6662363588815015,circle
19,"[[553.0, 276.5], [538.0184673302255, 366.27940323509495], [494.6973508481028, 446.32981505869316], [427.7311657208511, 507.9765312395891], [344.376737194431, 544.5391735322248], [253.66681097690014, 552.0556123163442], [165.431215083454, 529.7113248201234], [89.23164544548266, 479.9276613011209], [33.32550779140581, 408.09945417475086], [3.7710996091472566, 322.010404212623], [3.7710996091472566, 230.9895957873771], [33.325507791405784, 144.90054582524917], [89.23164544548249, 73.07233869887921], [165.43121508345382, 23.288675179876662], [253.6668109769, 0.9443876836558047], [344.37673719443086, 8.46082646777512], [427.731165720851, 45.02346876041079], [494.69735084810276, 106.67018494130679], [538.0184673302255, 186.72059676490494]]","[-56.24196116202267, -58.15072729133984, -59.52700867621424, -59.29588969014584, -57.68379620899529, -55.77679484839991, -54.09666430168184, -52.7437850414297, -51.70107287544235, -51.228810790043866, -51.228810790043866, -51.22881079004384, -51.22881079004384, -51.228810790043866, -51.228810790043866, -51.228810790043866, -51.93459889295882, -53.05161892965068, -54.48655951241204]","[-56.612946708759395, -58.45265869941987, -59.892146259752295, -60.9837742289729, -61.779235392794064, -62.31594653339727, -62.61789027987838, -62.69796240140013, -62.559504271430356, -62.19671701306885, -61.59394642829645, -60.72387317200075, -59.5451621470731, -58.00329648626431, -56.0546617770745, -53.81028635363387, -52.06777312505111, -52.38936336805786, -54.4127027808154]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[374.923087674598, 159.65402083754043]",27,3,3.172155735195972,4.592099677051266,circle
60,"[[1437.0, 718.5], [1433.0639818221043, 793.603700857809], [1421.2990511272394, 867.8845498525601], [1401.8341069580679, 940.5287104583997], [1374.8824113162086, 1010.7402780499624], [1340.7392526191193, 1077.75], [1299.7787104583997, 1140.823703772142], [1252.449557105508, 1199.2703406688395], [1199.2703406688397, 1252.4495571055077], [1140.823703772142, 1299.7787104583997], [1077.75, 1340.7392526191193], [1010.7402780499626, 1374.8824113162086], [940.5287104583997, 1401.8341069580679], [867.8845498525602, 1421.2990511272392], [793.6037008578091, 1433.0639818221043], [718.5, 1437.0], [643.3962991421911, 1433.0639818221043], [569.11545014744, 1421.2990511272394], [496.4712895416003, 1401.8341069580679], [426.25972195003766, 1374.8824113162088], [359.25000000000017, 1340.7392526191193], [296.17629622785813, 1299.7787104583997], [237.72965933116058, 1252.449557105508], [184.55044289449245, 1199.2703406688397], [137.2212895416003, 1140.823703772142], [96.26074738088096, 1077.7500000000002], [62.11758868379138, 1010.7402780499626], [35.165893041932236, 940.5287104583998], [15.700948872760705, 867.8845498525603], [3.9360181778956758, 793.6037008578091], [0.0, 718.5000000000001], [3.936018177895562, 643.3962991421913], [15.700948872760591, 569.1154501474401], [35.16589304193212, 496.4712895416004], [62.117588683791155, 426.25972195003783], [96.26074738088073, 359.2500000000002], [137.22128954160019, 296.17629622785813], [184.550442894492, 237.72965933116058], [237.72965933116018, 184.55044289449245], [296.17629622785796, 137.2212895416003], [359.24999999999966, 96.26074738088107], [426.2597219500371, 62.117588683791496], [496.4712895416002, 35.165893041932236], [569.1154501474396, 15.700948872760705], [643.3962991421904, 3.9360181778956758], [718.4999999999999, 0.0], [793.6037008578087, 3.936018177895562], [867.8845498525595, 15.700948872760478], [940.5287104583996, 35.16589304193212], [1010.7402780499622, 62.117588683791155], [1077.7499999999995, 96.2607473808805], [1140.823703772142, 137.22128954160019], [1199.2703406688393, 184.550442894492], [1252.4495571055072, 237.72965933115995], [1299.7787104583997, 296.1762962278579], [1340.7392526191188, 359.24999999999966], [1374.8824113162086, 426.25972195003703], [1401.8341069580679, 496.47128954160013], [1421.2990511272392, 569.1154501474396], [1433.0639818221043, 643.3962991421904]]","[-66.13835911541373, -67.32263692469589, -68.72158349289161, -70.41759405186144, -72.55464808279044, -75.41959512771834, -79.72036774892176, -80.0, -80.0, -79.72036774892176, -75.41959512771828, -72.5546480827905, -70.41759405186139, -68.72158349289161, -67.32263692469589, -66.13835911541356, -65.11723208165913, -64.22492101626854, -63.43741447497475, -62.73727851165334, -62.11147015068435, -61.54999138429151, -61.04502385320839, -60.59035213346959, -60.18096752250915, -59.81278870804745, -59.482460435941775, -59.18720562022411, -58.92471493967794, -58.69306329346166, -58.49064588216653, -58.31612889740464, -58.168411284501644, -58.04659505454088, -57.94996232748076, -57.877957790698495, -57.83017562393907, -57.809192688252026, -57.809192688252026, -57.83017562393913, -57.877957790698375, -57.949962327480705, -58.046595054541044, -58.16841128450149, -58.31612889740458, -58.490645882166696, -58.69306329346158, -58.92471493967782, -59.187205620224276, -59.48246043594172, -59.81278870804733, -60.18096752250938, -60.590352133469466, -61.04502385320828, -61.54999138429167, -62.11147015068423, -62.73727851165334, -63.437414474974915, -64.22492101626841, -65.11723208165907]","[-57.43008992949388, -56.29862084983525, -54.971475513371004, -53.3792497064224, -51.40598474676502, -48.8375081362106, -45.220666955551955, -39.52744909763274, -35.88399724790611, -42.56436156491708, -47.1037158066854, -50.14337182098836, -52.39441282327932, -54.169084507154814, -55.62541362098329, -56.85346839682316, -57.90920491871062, -58.829677822036636, -59.64065067182751, -60.36073455082124, -61.00379178269214, -61.5804081445274, -62.09883475084428, -62.565612981898994, -62.98600206460817, -63.364279401646755, -63.70395632106212, -64.0079360930376, -64.27863159496461, -64.51805416362623, -64.72788146489626, -64.9095097974523, -65.06409463913643, -65.19258215035285, -65.29573358858916, -65.3741440486777, -65.42825655188071, -65.4583722151782, -65.46465700763346, -65.4471454205276, -65.40574122527745, -65.34021535476593, -65.2502008082239, -65.13518433617119, -64.99449449809471, -64.82728548685229, -64.63251586093577, -64.40892099178804, -64.15497757930216, -63.86885795609723, -63.54837100074398, -63.19088517152127, -62.79322723014663, -62.35154727802967, -61.861136147716095, -61.316173883853075, -60.70937603617008, -60.03148407431637, -59.270510197190816, -58.41058032452041]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1243.690925851896, 1273.5854757077802]",36,2,2.870981292298244,4.2437786862856255,circle
34,"[[1055.0, 527.5], [1046.0183100832583, 624.4278706482409], [1019.3791010107977, 718.0549789137232], [975.9895390973716, 805.1929659178052], [917.3272038338977, 882.8744520235589], [845.3897706900577, 948.4540873903263], [762.626982672124, 999.6986361897954], [671.8572272630237, 1034.863026773662], [576.1715596168918, 1052.7497779956307], [478.8284403831083, 1052.7497779956307], [383.14277273697627, 1034.863026773662], [292.37301732787614, 999.6986361897954], [209.61022930994233, 948.4540873903263], [137.6727961661024, 882.8744520235591], [79.0104609026285, 805.1929659178052], [35.62089898920232, 718.0549789137232], [8.981689916741857, 624.4278706482409], [0.0, 527.5000000000001], [8.981689916741857, 430.57212935175926], [35.620898989202374, 336.9450210862767], [79.01046090262855, 249.80703408219478], [137.67279616610233, 172.12554797644106], [209.6102293099422, 106.54591260967368], [292.3730173278762, 55.30136381020458], [383.14277273697616, 20.136973226337943], [478.8284403831082, 2.2502220043692205], [576.1715596168916, 2.2502220043692205], [671.8572272630237, 20.136973226337943], [762.6269826721241, 55.30136381020469], [845.3897706900576, 106.54591260967356], [917.3272038338978, 172.1255479764411], [975.9895390973713, 249.8070340821946], [1019.3791010107977, 336.94502108627677], [1046.0183100832583, 430.57212935175926]]","[-65.82444331445174, -65.53815675313838, -65.33209920995208, -65.20262193411435, -65.16690948287226, -65.16690948287226, -65.25795760315988, -65.42536360591137, -65.67098083145328, -65.99926836725601, -66.41657478849773, -66.9316575828363, -67.55648275908534, -68.30747014294019, -69.2074806908945, -70.28909422436895, -71.60022212267732, -73.21403749979908, -75.24639538405887, -77.87884267562833, -80.0, -80.0, -80.0, -79.48822889752924, -76.47347716424156, -74.16831765928823, -72.3633236687744, -70.91214631369246, -69.72304063097546, -68.73708990427986, -67.91495860061957, -67.22944920735667, -66.66123334134495, -66.19631102928881]","[-63.61598326445826, -63.874783830865816, -64.05429087527384, -64.15769409021917, -64.18677285395543, -64.14202009441914, -64.02267583615954, -63.826675340252486, -63.55050421905614, -63.188938425404004, -62.734626587933924, -62.17743927306644, -61.50345203421736, -60.69332094480629, -59.71959385838499, -58.54204300405932, -57.099062018557724, -55.290621265535016, -52.941805377962254, -49.72365946979062, -45.12133632437906, -41.76397012002677, -46.222907436420925, -50.50351172040201, -53.49797075361896, -55.71165263415392, -57.43134272800495, -58.81136001289045, -59.94145360957563, -60.87766234025699, -61.65696333834572, -62.30478644075622, -62.83914754408875, -63.27305629647916]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[66.44311873999068, 123.44096077305085]",37,0,2.5300352327247726,4.178155510759604,circle
13,"[[531.0, 265.5], [500.58857481092724, 388.8840021776206], [416.3211902571219, 484.00221639476575], [297.50248860778834, 529.0642060730333], [171.35240249020683, 513.7468124329777], [66.77039636057273, 441.55906576293125], [7.7149474733832335, 329.0383088683467], [7.714947473383177, 201.9616911316535], [66.77039636057259, 89.44093423706894], [171.3524024902067, 17.253187567022394], [297.5024886077881, 1.935793926966653], [416.32119025712177, 46.99778360523419], [500.5885748109272, 142.11599782237928]]","[-66.07855482166752, -65.52379904678702, -65.52379904678702, -65.88389575488928, -66.88700219657815, -68.59190958453962, -71.32203914957522, -75.85821952722208, -80.0, -77.44105640847924, -72.2388795271379, -69.15906430727816, -67.23906366402365]","[-59.64415030243386, -59.98086802208158, -59.80589919813639, -59.09765845021231, -57.75878199899127, -55.55197964985517, -51.86162796342736, -44.356526260947575, -39.666559750168034, -50.154625482089166, -54.60500613740792, -57.178209424101006, -58.753376624661215]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]","[17.047547192940353, 110.06519142965283]",33,2,2.1351250204611407,3.782892164445206,circle
28,"[[1141.0, 570.5], [1126.6963738997304, 697.4481928220773], [1084.50273913833, 818.0306731665669], [1016.5348607480109, 926.2009319604074], [926.2009319604075, 1016.5348607480109], [818.0306731665669, 1084.50273913833], [697.4481928220774, 1126.6963738997304], [570.5, 1141.0], [443.5518071779227, 1126.6963738997304], [322.9693268334331, 1084.50273913833], [214.79906803959256, 1016.534860748011], [124.465139251989, 926.2009319604075], [56.49726086166993, 818.030673166567], [14.30362610026964, 697.4481928220774], [0.0, 570.5000000000001], [14.30362610026964, 443.5518071779227], [56.49726086166993, 322.9693268334331], [124.46513925198894, 214.7990680395926], [214.79906803959244, 124.46513925198906], [322.969326833433, 56.49726086166993], [443.5518071779225, 14.30362610026964], [570.4999999999999, 0.0], [697.4481928220773, 14.30362610026964], [818.0306731665668, 56.497260861669815], [926.2009319604074, 124.46513925198894], [1016.5348607480109, 214.79906803959244], [1084.50273913833, 322.969326833433], [1126.6963738997304, 443.5518071779225]]","[-69.96361331383403, -72.70396558310765, -76.81595162880535, -80.0, -80.0, -76.81595162880535, -72.70396558310767, -69.96361331383403, -67.95849788445008, -66.41692229123447, -65.20027619784703, -64.22908763663506, -63.45411665705443, -62.843260587330455, -62.374962258135255, -62.03463339359067, -61.81261781736841, -61.715140849748835, -61.715140849748835, -61.81261781736846, -62.03463339359067, -62.374962258135255, -62.843260587330455, -63.45411665705437, -64.22908763663506, -65.20027619784703, -66.41692229123447, -67.95849788445008]","[-50.57168898563454, -47.13513529257539, -41.15083112598004, -5.017662739879178, -41.226549916260396, -47.17251993655455, -50.59607490542069, -52.962509407690604, -54.731666001031456, -56.107997889165716, -57.199970298759524, -58.07161455587604, -58.76341851078066, -59.30210361672458, -59.70567527785952, -59.98621205216828, -60.15146415999796, -60.205765103712345, -60.15050278886601, -59.98426457911094, -59.7026896309572, -59.2979945538713, -58.75805709898576, -58.0648099331781, -57.191437480642975, -56.09729796542357, -54.71808584620415, -52.94479040789349]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1018.376904622639, 926.9506367489906]",38,3,2.3908695036831773,3.2258857440602977,circle
34,"[[1166.0, 583.0], [1156.0733171157149, 690.1259688870605], [1126.6313097427394, 793.6038913871101], [1078.6765901303652, 889.9099509574984], [1013.8421987396442, 975.7645602459429], [934.3359930091065, 1048.2440435043795], [842.8654614177219, 1104.8801988600012], [742.5455232120242, 1143.7443499697536], [636.7924535671051, 1163.5130247800053], [529.207546432895, 1163.5130247800053], [423.45447678797564, 1143.7443499697536], [323.13453858227825, 1104.8801988600012], [231.6640069908936, 1048.2440435043798], [152.15780126035582, 975.7645602459429], [87.32340986963493, 889.9099509574984], [39.368690257260596, 793.6038913871101], [9.926682884285242, 690.1259688870605], [0.0, 583.0000000000001], [9.926682884285242, 475.87403111293963], [39.368690257260596, 372.39610861288975], [87.32340986963499, 276.09004904250156], [152.15780126035577, 190.23543975405715], [231.66400699089343, 117.75595649562035], [323.1345385822783, 61.11980113999857], [423.4544767879755, 22.255650030246443], [529.207546432895, 2.4869752199948607], [636.7924535671048, 2.4869752199948607], [742.5455232120242, 22.255650030246443], [842.8654614177219, 61.119801139998685], [934.3359930091063, 117.75595649562024], [1013.8421987396443, 190.2354397540572], [1078.676590130365, 276.09004904250133], [1126.6313097427394, 372.39610861288975], [1156.0733171157149, 475.87403111293963]]","[-70.01119249183282, -71.81886320685663, -73.98859601482184, -76.37868401240654, -78.0474219029132, -77.41554388602042, -75.18510755849903, -72.85873748848873, -70.8715328452799, -69.22977408089474, -67.8712772125216, -66.73910152247754, -65.79026727128975, -64.99343878758327, -64.3257498474971, -63.770364343770716, -63.314787014184986, -62.949720774700964, -62.668295510882466, -62.465547689639045, -62.33807273806725, -62.30696298308839, -62.30696298308839, -62.39255981197396, -62.557333104926414, -62.798903154533015, -63.12141917730953, -63.53074517917655, -64.03488628812929, -64.64462249183605, -65.37444724266716, -66.2439581374287, -67.27989831306344, -68.51900538801058]","[-58.00120097280218, -56.198102400354486, -53.93267972956674, -51.09973828052499, -48.14269489873855, -47.68280361121701, -50.389603998737044, -53.338015959841265, -55.72754735302568, -57.6242599854664, -59.1539439328603, -60.40820985360405, -61.44874461217364, -62.31748397766704, -63.043641008514655, -63.64805078090012, -64.14584543031916, -64.548133305462, -64.86307658694763, -65.09659464986521, -65.25282559115547, -65.33442405368446, -65.34274136681185, -65.2779139378424, -65.13887204994761, -64.92327025499992, -64.6273298519907, -64.24557106067813, -63.77039424824743, -63.19144088111092, -62.49461688075891, -61.660577682023714, -60.662327242092076, -59.46133191797661]","[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[880.7926285971768, 923.8049020770616]",35,0,3.171564430994449,3.063661414568992,circle
28,"[[802.0, 401.0], [791.9460927849113, 490.23089451648207], [762.2885160288702, 574.9873793861408], [714.51442446968, 651.0194105453521], [651.0194105453522, 714.51442446968], [574.9873793861408, 762.2885160288702], [490.23089451648207, 791.9460927849113], [401.0, 802.0], [311.76910548351793, 791.9460927849113], [227.0126206138592, 762.2885160288702], [150.98058945464788, 714.5144244696801], [87.48557553032003, 651.0194105453522], [39.71148397112995, 574.9873793861409], [10.053907215088714, 490.2308945164821], [0.0, 401.00000000000006], [10.053907215088714, 311.769105483518], [39.711483971129894, 227.01262061385924], [87.48557553031998, 150.9805894546479], [150.98058945464777, 87.48557553032009], [227.01262061385913, 39.71148397112995], [311.7691054835178, 10.053907215088714], [400.99999999999994, 0.0], [490.230894516482, 10.053907215088714], [574.9873793861407, 39.711483971129894], [651.0194105453521, 87.48557553031998], [714.5144244696799, 150.98058945464777], [762.28851602887, 227.0126206138591], [791.9460927849112, 311.7691054835178]]","[-56.11108943231267, -56.11108943231267, -56.11108943231267, -56.11108943231267, -56.11108943231267, -56.11108943231267, -56.11108943231267, -56.11108943231267, -56.11108943231267, -56.11108943231267, -56.70011355390355, -57.49698583211328, -58.44643844871248, -59.55816407856673, -60.826012798757176, -62.19502624312098, -63.49037015706476, -64.34288974997868, -64.34288974997868, -63.49037015706476, -62.19502624312098, -60.826012798757176, -59.55816407856673, -58.44643844871248, -57.49698583211328, -56.70011355390355, -56.11108943231267, -56.11108943231267]","[-67.8580228872514, -68.37110836287391, -68.75359237999817, -69.01627050296912, -69.16605016258836, -69.20669525563396, -69.13920596804846, -68.96191661620237, -68.67033198487567, -68.25666770708538, -67.70899278880353, -67.00976560678691, -66.13335857112884, -65.04177340151203, -63.67691453031053, -61.94599311626427, -59.693433333500934, -56.6580141365301, -52.62511520806814, -50.22422971292454, -53.69144668512301, -57.50158977504988, -60.31223225564339, -62.41601183692853, -64.04482273459155, -65.33501230400806, -66.36882498338585, -67.19836643507963]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[253.95139505543875, 116.1854946932378]",28,0,2.7169754168860925,2.312041193992269,circle
22,"[[817.0, 408.5], [800.4528797215221, 523.587749469724], [752.1520681615375, 629.3517739306117], [676.010609816649, 717.2237011237145], [578.1970328112707, 780.0846701023207], [466.635611434637, 812.842059008361], [350.3643885653631, 812.842059008361], [238.80296718872944, 780.0846701023208], [140.98939018335108, 717.2237011237145], [64.8479318384625, 629.3517739306117], [16.54712027847785, 523.587749469724], [0.0, 408.50000000000006], [16.54712027847779, 293.4122505302761], [64.8479318384625, 187.6482260693884], [140.98939018335096, 99.77629887628552], [238.8029671887294, 36.915329897679214], [350.364388565363, 4.157940991639009], [466.63561143463687, 4.157940991638952], [578.1970328112704, 36.91532989767916], [676.0106098166491, 99.77629887628552], [752.1520681615375, 187.64822606938844], [800.4528797215221, 293.41225053027597]]","[-76.08082995673792, -75.66724795582226, -75.44845927668047, -75.44845927668047, -75.53228629344846, -75.8494196783781, -76.36418205299461, -77.10176786899814, -78.10406232436709, -79.4411242142041, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -78.72473184482692, -77.5663068668018, -76.70298951503489]","[-56.57815142521376, -56.977263457613496, -57.18796604113262, -57.21927543580091, -57.072493717061725, -56.741432939282774, -56.21132676822246, -55.45599599776756, -54.43199016545031, -53.06645533025994, -51.22975985476097, -48.66333131839683, -44.73169066681549, -36.9379237629976, -30.62098307663775, -42.71237138446055, -47.48823291635495, -50.427593130094586, -52.48148596884502, -53.99414611101842, -55.12825566333155, -55.97227623305468]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[117.81486071451745, 129.77762866204984]",39,2,3.452157071433979,3.726064315059531,circle
