num_samples,node_positions,node_rssi,node_noise,node_states,jammer_position,jammer_power,jammer_gain,pl_exp,sigma,node_placement
22,"[[136.8565833815153, 137.3368805149769], [415.4894328720568, 135.31419153523333], [418.18655290288956, 890.0606964404259], [482.4280058300985, 129.26365160981874], [663.254649639879, 412.41454102539274], [680.6458190291509, 379.09638961248766], [59.040803400226295, 855.2246770457866], [661.0234999089513, 390.4564292937706], [509.91465132232685, 626.2112885856125], [751.1130760592426, 701.1646140168174], [914.636518641459, 3.6301646418321702], [447.34642242484773, 882.6520745035069], [766.2665735602013, 390.0891174972177], [30.35562406974413, 748.6880952323324], [539.3791205627141, 582.0940872738245], [497.7675647518002, 396.1276839599165], [168.19931291548897, 578.9232054504918], [913.3244352279074, 466.9784677771538], [192.88791786457986, 921.0996569119801], [535.8688605852916, 659.7169944911861], [321.81458597976876, 283.67316165024084], [714.5494716775227, 642.620157783451]]","[-70.56493176578923, -47.74024822398769, -40.6133737182671, -47.74024822398769, -37.92250551741748, -38.15635402308425, -55.02477649694957, -37.92250551741748, -54.104462596807785, -64.24920206291931, -80.0, -40.6133737182671, -58.26319677018561, -55.02477649694957, -57.54634407396266, -69.93736052146417, -69.24684917944016, -69.00024426938546, -61.577302979382836, -54.104462596807785, -65.42660836894751, -64.24920206291931]","[-57.78036427545511, -53.04099540399261, -58.116364261179825, -51.974891679352865, -38.075569352510136, -37.06045968388594, -60.59602574135694, -34.684224375081875, -52.24475062147442, -54.08348782594078, -56.275295180063964, -57.846489987516804, -45.72643787301885, -60.11759099969565, -50.50573785394312, -45.8538688363478, -57.215363454286454, -52.55327030896589, -60.05478284510744, -52.87245195454385, -53.179074125124465, -52.274702509836075]","[0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1]","[632.4164350326027, 365.1610698297784]",35,2,2.1345882248512056,2.296082587810543,random
39,"[[10.627837998936329, 658.864792131949], [262.3063659618901, 1440.7402561333904], [27.532341383359896, 706.0032195817789], [57.208078830879145, 1184.9683261233747], [1158.1465618563197, 1241.3295983972464], [409.91253605112576, 1258.1076372176512], [614.7828786361002, 220.20498724998671], [234.3487883936767, 116.92215839916645], [1370.9829970154308, 699.016809486107], [1284.398923388879, 1036.3706994375652], [962.1813441162666, 843.4475798840238], [630.618894261502, 484.5594358888648], [496.9171623197517, 869.4191942522356], [1425.376312279398, 803.4308376761952], [1277.3451877235193, 1159.0359609043935], [326.99471992578236, 1061.0451325531653], [1495.5713862215803, 1446.353024315302], [1258.721980610457, 773.1145698882245], [133.69426440155004, 1230.177183701064], [926.401517005598, 875.0742041139238], [1066.9901103531643, 1416.9025315984275], [1333.445247438229, 1453.6133430848984], [569.8846708606538, 719.3990925194926], [1452.443704159229, 1259.0913060079965], [779.4372587623844, 1282.1551950424414], [11.41585583922627, 1247.0577606297852], [711.2863126698, 191.52156950668882], [828.7457594369046, 1475.2492311785516], [1222.2874668930249, 1381.8077942535338], [441.3612478900321, 1438.056589783026], [906.7937998904438, 388.7528841823072], [76.25132615798911, 1238.8139460178845], [1460.8117668091759, 391.04428121990304], [235.98563244741533, 955.6393571702216], [222.67204607639795, 566.0039921232054], [1090.0815279899873, 158.71147330334298], [1300.289469279225, 1364.4401757483063], [1073.3109433835805, 907.4697281171874], [989.2590770734672, 540.3058528673807]]","[-58.46134991936347, -77.72720600725651, -58.46134991936347, -58.282055808456676, -74.21823446124577, -79.98673710403753, -74.07753187776225, -80.0, -71.34948415056192, -71.77014644311572, -61.26138456155752, -80.0, -80.0, -71.34948415056192, -71.77014644311572, -77.64364987510501, -73.67684043995379, -74.88252651582744, -58.769039803726955, -61.26138456155752, -74.93800410003615, -65.13429501698688, -80.0, -76.69324361600007, -80.0, -60.344222715119194, -74.07753187776225, -80.0, -62.43309266724576, -77.72720600725651, -80.0, -58.282055808456676, -80.0, -77.64364987510501, -80.0, -80.0, -62.43309266724576, -78.20566742100232, -80.0]","[-58.895116426233756, -63.411741544311234, -59.01119465156236, -62.278776564204804, -62.54969209382948, -61.64504967765331, -42.641175574894504, -54.936591593964465, -60.49066078557082, -61.78434108931139, -57.86944986513201, -46.005018020145414, -56.95752625439647, -61.45085261029752, -62.543004857137554, -60.010613089133344, -65.08876495429226, -59.85708107322712, -62.27482272698847, -57.9883938477177, -63.46155973305727, -64.53687460445478, -53.99602953412631, -63.970707866938184, -61.76260288387055, -62.9068671400541, -46.246235829878906, -63.383784501002474, -63.72597605019969, -63.0730637133551, -51.33036862012041, -62.57359474459, -60.542078696408595, -59.40389980001237, -55.40474732051319, -55.97736352275646, -63.90889482207862, -59.372853132869245, -54.60398619887521]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[622.1872363941897, 327.04127923092335]",36,2,3.446287641674909,3.7740710357645684,random
14,"[[213.74850181630774, 219.20838209656625], [479.65832603867767, 314.76116244015725], [462.07258097398915, 208.0128199029551], [511.21267222901486, 104.29947540064019], [420.9550450388507, 308.3337404213457], [145.89559394589728, 178.73573609037103], [22.319767608451492, 161.2177592511836], [492.30695914480634, 226.61885026486829], [190.89506399215878, 250.36116484100614], [471.3489625402602, 55.960689457118534], [368.07852513075943, 259.1482263232203], [162.67422629024088, 2.2618174469888177], [6.093739471861817, 481.36367089230885], [424.27631542673174, 178.3965169133257]]","[-74.87159145401009, -71.9089146363869, -62.97786369904153, -72.403253824769, -71.9089146363869, -80.0, -80.0, -62.97786369904153, -74.87159145401009, -72.403253824769, -77.58079955738069, -80.0, -80.0, -69.44308996307633]","[-47.42706003191521, -58.538514068938866, -57.184403080524945, -58.27133719333144, -57.189263111114045, -39.36233062009154, -49.22155409323102, -58.05228332931442, -48.665626774525265, -57.492456829997494, -55.03709195738914, -49.71712667496428, -58.46082763177115, -55.94876227817782]","[1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[148.5815283200285, 137.53585846197922]",30,3,2.9459567025897098,3.37913754263646,random
44,"[[441.46350619203525, 816.4990568957015], [48.20662379140567, 310.7636685372182], [72.76948349242593, 182.30568270289857], [642.1583283784313, 644.0297339285771], [497.6874735331317, 202.50344922948014], [240.63328187583411, 2.927497584618939], [424.79277914315566, 825.2280427105943], [303.8891926968572, 587.3909750744159], [331.52040316603006, 513.6983664312729], [52.637590795226636, 237.01950592403884], [679.0982970220874, 617.8670051606149], [46.605829693446644, 536.6375613338655], [160.94093239506938, 262.0136727294131], [800.1700705765253, 276.1798468033475], [476.6257445496916, 255.37770642324236], [705.3481276072418, 100.90611022184635], [86.05216393155222, 731.562348488586], [771.2031702869601, 315.43111980696483], [503.65336944842176, 361.3161246964551], [250.33143264768265, 133.93164671049803], [802.5702862790673, 252.38055702399922], [593.5635217345276, 543.8057658442913], [837.4463597297269, 735.4202051468342], [165.4090248377867, 365.77235272521096], [393.122493855806, 50.06924091531445], [700.5748098336919, 58.645826846643374], [70.91441054730612, 506.4859783926164], [112.72104018949608, 217.54699953723863], [198.59389022643987, 819.1371748620711], [839.5640930335941, 771.0948250224192], [723.0756761224983, 561.9555447026323], [533.8443093840119, 643.8189913527477], [193.87049706018763, 582.1954464442114], [247.1927785736636, 683.8131575525589], [606.9205281055138, 509.3896823313299], [225.08553557424952, 75.10641228082523], [662.825298858821, 731.1388758557574], [28.0632472328737, 569.5401003838406], [754.2043960280462, 358.6080003715978], [521.1268108535702, 316.50582782981417], [294.8676469985503, 341.26226077392323], [88.13407309679367, 55.822034068645124], [740.9965921174384, 688.5623941874612], [424.34513465759784, 771.5782926609772]]","[-50.88163296017733, -68.84513588404349, -63.26625387953159, -73.07823458013743, -69.53874168944822, -68.53535243694807, -50.88163296017733, -77.88835256109593, -77.88835256109593, -64.25018779523275, -73.07823458013743, -58.054480672975856, -67.97253749862219, -52.808488348209394, -69.53874168944822, -60.63341612777917, -80.0, -66.4058496093143, -70.45284403154207, -67.05179238909204, -52.808488348209394, -79.19817243860231, -60.560206761962256, -77.0516637207605, -80.0, -60.63341612777917, -58.88498470931059, -63.26625387953159, -80.0, -60.560206761962256, -80.0, -80.0, -80.0, -80.0, -79.19817243860231, -67.05179238909204, -80.0, -58.054480672975856, -66.77097841477803, -70.45284403154207, -80.0, -77.61625827418786, -80.0, -68.22573838417907]","[-53.36621664767479, -62.646555423978754, -63.48458196375469, -46.14787493571593, -59.96019137824015, -64.07517767422554, -54.03157070393505, -55.140930266838176, -55.17126960365718, -63.2041659024019, -49.27480404013938, -61.30125709362214, -61.771844011164994, -59.946255825769654, -58.94196685279042, -62.03829492810322, -60.57197542585227, -58.930515438698414, -56.12125052084142, -62.46860939289903, -60.353030575104924, -47.562921825872635, -56.602498374251724, -60.57648180364481, -62.78549544709704, -62.629304674206345, -61.019300643164904, -62.75866905487177, -58.9900933831062, -57.02338796585292, -52.55835398762936, -32.30685951656763, -58.244296876470955, -56.80981247015837, -50.15482333256547, -63.355949950263415, -50.12498447601588, -61.512340526262506, -57.86961595371763, -57.32150263433049, -58.98385592337383, -64.51243483034405, -52.83583017314079, -52.26108086765767]","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]","[552.017912576724, 641.4685655411786]",32,1,2.0544111898905193,3.6104574302920485,random
21,"[[475.29677023445544, 436.3843584664696], [388.16784488468267, 263.58051514006877], [186.79489899994707, 284.64851557807464], [145.84519679516038, 293.1259206784436], [467.8117251249238, 288.3451633305826], [553.8966180294053, 477.83198098032057], [263.73824195374016, 476.43201862395625], [464.6488168256659, 112.24092838679096], [183.70735200210288, 582.9448117907081], [461.25439895652505, 483.4855107734611], [556.670778088657, 347.3694190779546], [134.80739416763788, 73.31529036399769], [189.2425764192157, 263.84347621134543], [78.63636466902088, 299.242199942819], [50.33134877169402, 131.10433592381548], [284.910115813906, 174.8552590022632], [520.396317673833, 578.5741655041874], [240.2890209243922, 403.03337545202737], [288.67744421936004, 86.76576573748063], [188.35340011400015, 360.98358632893644], [113.60455372259904, 602.1248720732169]]","[-59.02227570019659, -71.56523839687078, -51.901023831377955, -63.58942425394284, -71.56523839687078, -69.30935990031156, -70.14926552535856, -80.0, -66.14956236583835, -59.02227570019659, -74.10647311752703, -80.0, -51.901023831377955, -72.13375131756467, -80.0, -77.15934799075089, -71.11561521663593, -69.20495737534804, -77.15934799075089, -69.20495737534804, -66.14956236583835]","[-57.51327745520629, -54.24517243416684, -47.42358096940435, -46.02488847806437, -56.23313786943179, -59.01093784937771, -54.762834041234505, -56.07847646102033, -56.246089839821266, -57.78296606167105, -58.171071784306406, -46.51783231783371, -46.80177241000362, -44.75260743494595, -40.15866807162978, -50.599395723538336, -59.49323673081676, -52.68050646578417, -51.636829503280595, -50.30516006909103, -56.369385409131326]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]","[72.86437324048605, 190.92049576293846]",34,2,3.176570009680022,5.005968123532947,random
18,"[[314.98679267303123, 466.48586207299695], [208.8268200538161, 207.54729591749575], [602.4474193599067, 170.690207943199], [351.0463296311755, 599.5338341119593], [164.91134094304024, 403.04974509188224], [408.1909943137548, 75.7490026103458], [283.53872026439916, 137.23002976903118], [305.4928628181119, 296.49981373286204], [49.984354565332865, 33.615860883755346], [364.2441470682082, 438.39742634968013], [256.40661459986495, 233.18034198516176], [477.1611416068297, 138.0134734872998], [105.20773541331292, 362.41567462544793], [213.34000827951132, 431.39002832084697], [199.76790380866353, 65.66659053969626], [354.1583298448714, 357.70167969784865], [496.562035087216, 545.9088144384989], [607.143937074873, 157.78718771263394]]","[-57.50421097939113, -50.701148889805296, -38.80015204986938, -72.43427566505189, -52.03554444969352, -59.1555231019374, -59.69736449424559, -58.50229651981604, -64.6256751322838, -57.50421097939113, -50.701148889805296, -59.1555231019374, -55.03313467522317, -52.03554444969352, -60.75328092657855, -60.63260660841764, -80.0, -38.80015204986938]","[-58.82367300133667, -60.05015659834104, -52.90194002389584, -61.16894681589099, -61.473809011361894, -57.33301497073186, -58.78554576016671, -56.5700748592441, -64.49547824054119, -56.88857084772822, -58.49680621387965, -53.42119643760959, -62.504897890057904, -60.65174190834263, -61.703124207935474, -55.161528450576036, -58.562851894209224, -53.685394326412776]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]","[516.7961669809177, 280.0788885973792]",26,4,2.928928954978253,4.303092430495339,random
46,"[[888.4225988664834, 1225.6627888011114], [167.84380145071273, 1042.6024421815607], [213.00533070767798, 675.6288832772848], [639.4832036287927, 1318.2971513968128], [513.5477431608233, 672.093649946078], [933.4844872619739, 431.8163873649801], [1139.800868559392, 488.2732011037636], [783.2469856188518, 787.0533791813679], [1094.6259355569598, 1084.8739192413755], [914.1781092278103, 1186.3598397979295], [1004.7553463475776, 1093.0614993553506], [827.530992526919, 112.23325640688091], [730.28746693876, 255.50637414272657], [162.4054242489047, 1130.0003198216664], [355.16662938569976, 527.8073822332082], [479.78958455842167, 287.8901834395931], [1325.7246715324306, 632.0198838134755], [458.6179369118595, 812.3230762414328], [277.8028307420754, 1243.7915929895587], [159.5255760882116, 113.45848406428995], [59.252454235086596, 953.0255061145625], [1081.2894366968005, 508.20482174844886], [179.47236354692524, 1117.5898751706595], [172.41102956751783, 854.8316380554119], [297.8956043148781, 980.2670049040636], [304.7167983559907, 937.0920769225911], [994.3515530642198, 894.0581580985286], [1050.545537020223, 114.77643224337078], [1296.9655167829083, 1297.379908580589], [641.6390689855057, 355.0280785671339], [751.7192191807503, 1309.646878469907], [550.7805833094013, 647.5062982401556], [214.14442158333384, 357.9867110981071], [329.02087559744047, 687.5161042932687], [1004.1117721137601, 963.4823433887378], [80.01323283816497, 51.54371300605333], [1194.5575765374685, 437.9633241668882], [1144.7956474232042, 703.4014171589946], [613.8107565763944, 964.5409398471612], [1235.206275175482, 1011.4517569161653], [1112.557619383372, 296.2277452698559], [563.3672456159493, 1367.584592205583], [261.9782098564822, 496.2676481119295], [100.70793738273441, 776.2150419517162], [305.1450365825557, 119.22251355449924], [1266.971802047163, 72.29127402662769]]","[-51.48612168375402, -59.442150601685604, -73.9515213666207, -59.63360480077603, -57.17819280172661, -75.0717935543964, -55.6972160632076, -80.0, -59.789346223373265, -51.48612168375402, -59.789346223373265, -79.245783061135, -77.7849531870155, -44.53251961633816, -77.53372090749467, -80.0, -74.28431993783082, -78.19786023207159, -71.58223262303157, -70.23338762012378, -70.66373498885426, -55.6972160632076, -44.53251961633816, -68.43410286731128, -51.73595051262587, -51.73595051262587, -56.87755102770346, -75.24251051205077, -79.21757068819889, -77.7849531870155, -63.38984645641062, -57.17819280172661, -80.0, -73.9515213666207, -56.87755102770346, -70.23338762012378, -58.26042511053708, -74.28431993783082, -80.0, -69.08558518097101, -72.30993337840295, -59.63360480077603, -77.53372090749467, -68.43410286731128, -78.73098686023242, -77.65987031237204]","[-67.39722679605646, -65.47030661641061, -61.72858953528588, -67.50715592470758, -61.561491420037925, -61.81043218545796, -64.04324158090391, -63.823426765891384, -67.21456772197004, -67.22465914337002, -66.93753044358714, -58.17327857228969, -57.53063754313633, -66.15907627311297, -59.25909879751558, -54.2623009635756, -66.06880869834255, -63.11481753563126, -66.86621286594946, -52.85891645340021, -64.98276549211977, -63.668441484541034, -66.04053395923566, -63.797959672537196, -64.77264954735037, -64.37287318130821, -65.62981207488963, -61.608135349734425, -68.9810347212306, -57.63660922646167, -67.62203443506395, -61.3558933706704, -56.71175121370993, -61.62911626844668, -66.12705859277752, -54.787448144075924, -64.25972173606291, -65.26263008015748, -64.84047303623792, -67.38908173380852, -62.88942459868955, -67.74172206214291, -58.96727886825404, -63.24145899217414, -47.40237568377667, -63.974360138034996]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[384.78888432149716, 15.005019060059732]",31,4,2.418967485843679,5.333760965782959,random
22,"[[630.9186752755826, 352.25012821442937], [286.154181794476, 696.267878082058], [620.4983397287496, 234.6104439415753], [686.7696420202412, 727.0024859711436], [99.78456511447959, 40.59660467935647], [122.81644927244369, 220.25237687216733], [758.0838186532526, 543.7184571009342], [749.0052730754614, 553.6761501873509], [198.75736632811373, 610.8064289409001], [400.1993828884688, 901.0084439074838], [480.0924134977837, 185.76944886934245], [623.6351368539958, 436.3276804396986], [347.4440411291225, 604.6066680278748], [148.5931356485078, 12.990877423810463], [606.1312534361024, 96.91043924210965], [318.30602445146855, 354.00812835193017], [356.7662223171934, 573.7169680216547], [665.2526943488506, 576.6965259383036], [783.7436554885877, 671.9728908484765], [519.0691321022219, 92.47538990977803], [53.82497558270136, 290.20419869854646], [282.4850116175344, 445.82914433829694]]","[-58.020214605005954, -63.424283216765076, -64.0475959031844, -58.03308725127252, -50.275509741483894, -64.16792212957345, -35.6365728899836, -35.6365728899836, -64.47682614659414, -74.17382254765934, -64.8010422068653, -58.020214605005954, -43.220823990156276, -50.275509741483894, -59.065164088229665, -78.73024323081202, -43.220823990156276, -55.76040272298816, -58.03308725127252, -59.065164088229665, -64.16792212957345, -75.2083835267475]","[-57.98671020210952, -37.830908878407314, -59.47443541841936, -56.598597316093226, -61.411697526175175, -58.70975323414215, -58.29458962103211, -58.0785995940452, -47.09198373146209, -53.116383389991256, -59.11365845528178, -56.722255855947495, -41.58083878944279, -61.57478334238008, -61.125971680285375, -54.84143006814015, -44.94203953317012, -56.20908228834533, -58.48228882425887, -60.69607834500597, -58.19744834924574, -51.86734970905428]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","[314.1221244678899, 662.8516000326815]",31,4,3.380384358515774,3.4008891886715067,random
16,"[[31.810399336472663, 123.26134513209881], [754.47906279519, 918.9727228907707], [588.2322642274022, 697.5990728036405], [609.1613828812721, 541.3630927874318], [9.408148887925794, 849.4289516083536], [719.3831596575517, 353.7628579207175], [599.3340653015887, 347.05336437673355], [907.9380953728318, 668.9778913362036], [772.0619617919889, 540.39402985906], [746.6719423470046, 463.0026447573152], [955.6591316822881, 701.9400823685869], [651.0206574576283, 686.102696062004], [505.83053104698877, 67.12177385578586], [598.2522253693949, 28.32732537086233], [21.089221652439576, 170.56739899530845], [809.1904621987283, 472.5732350879376]]","[-51.400044367553456, -80.0, -67.19386291737214, -80.0, -80.0, -73.18602875400904, -73.18602875400904, -69.51911371740746, -69.1524130253561, -64.44760161565569, -69.51911371740746, -67.19386291737214, -65.89442412740446, -65.89442412740446, -51.400044367553456, -64.44760161565569]","[-58.20422198279722, -40.295813030316516, -47.983140495282555, -49.86637268938434, -55.97308150424247, -51.834799646358746, -52.66075191927033, -43.32468872229317, -48.056356541041694, -49.84878376444214, -42.32291479730269, -46.775858087953644, -56.08536148210124, -56.09156113450598, -58.03377435331747, -49.31232648965916]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[892.8716094359343, 874.458447761446]",42,1,3.053718216511845,3.104548567893484,random
26,"[[1041.9129678233187, 142.21601840076528], [697.9214262633028, 1017.6762542147754], [240.02459495490382, 585.0812371301623], [1336.4929534113776, 336.92220652158403], [1097.973631865742, 53.84586732229119], [335.49054081754883, 60.0034287470252], [655.5372794471094, 529.2682893162957], [246.56428749884304, 793.9791011882929], [818.0983868912712, 752.4325141688661], [874.1292040773081, 371.8798556785971], [80.59196519816398, 918.1318804669584], [843.5977737609995, 804.8158822712428], [1225.582190111056, 464.2709459246857], [8.695855304036096, 83.70245838953399], [1283.525860669796, 1335.3581350196473], [945.5835368024278, 216.67956746277113], [9.891445826764091, 1252.0362183397945], [47.51485849595818, 699.3691874132097], [688.3422286671606, 157.17703560715836], [1136.3151863805822, 698.9200642643148], [279.35964337162284, 1245.4107673952226], [506.94869806039713, 1164.535764222887], [386.86375719797337, 1078.0017774639468], [128.10503642270908, 839.1803267103818], [547.9314280991199, 1324.086112615474], [136.8512148117734, 246.6795024556905]]","[-75.93983587827697, -80.0, -80.0, -80.0, -75.93983587827697, -80.0, -80.0, -79.6984496540087, -73.01832878715824, -80.0, -73.29152879065788, -73.01832878715824, -80.0, -80.0, -80.0, -79.11581971031394, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -73.29152879065788, -80.0, -80.0]","[-35.627913711469496, -56.78452441119303, -56.94897935356324, -46.077560983234235, -36.84015447463465, -55.06414360743172, -52.70425822565896, -57.81211451207128, -53.68823288517899, -47.62580350032845, -59.32118950023205, -54.14393927860252, -47.47260242698477, -58.028602777139724, -58.61830053385175, -42.801874364973784, -60.96886035133765, -58.717549760858105, -49.884874846977645, -51.88190680059406, -59.88784956551905, -58.56583304439322, -58.549534408511136, -58.736719944216425, -59.401109089345354, -57.000855536328274]","[1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[1126.704475861976, 147.18198162396467]",43,0,3.2483811921789543,2.322429342560527,random
