num_samples,node_positions,node_rssi,node_noise,node_states,jammer_position,jammer_power,jammer_gain,pl_exp,sigma,node_placement
31,"[[0.0, 0.0], [270.2, 0.0], [540.4, 0.0], [810.5999999999999, 0.0], [1080.8, 0.0], [1351.0, 0.0], [0.0, 270.2], [270.2, 270.2], [540.4, 270.2], [810.5999999999999, 270.2], [1080.8, 270.2], [1351.0, 270.2], [0.0, 540.4], [270.2, 540.4], [540.4, 540.4], [810.5999999999999, 540.4], [1080.8, 540.4], [1351.0, 540.4], [0.0, 810.5999999999999], [270.2, 810.5999999999999], [540.4, 810.5999999999999], [810.5999999999999, 810.5999999999999], [1080.8, 810.5999999999999], [1351.0, 810.5999999999999], [0.0, 1080.8], [270.2, 1080.8], [540.4, 1080.8], [810.5999999999999, 1080.8], [1080.8, 1080.8], [1351.0, 1080.8], [0.0, 1351.0]]","[-80.0, -80.0, -80.0, -80.0, -80.0, -78.33635726161977, -80.0, -80.0, -80.0, -80.0, -80.0, -78.2529860533887, -80.0, -80.0, -80.0, -80.0, -79.6345045158056, -77.82250230632872, -80.0, -80.0, -80.0, -80.0, -78.6030258074663, -77.11619533739602, -80.0, -80.0, -79.6345045158056, -78.6030258074663, -77.43088330062373, -77.11619533739602, -80.0]","[-52.84383976562416, -53.42139184908852, -56.364893218745976, -59.20066150623412, -61.512101819301826, -63.39789655431463, -44.16486917295924, -47.28100786366128, -54.25894223673802, -58.23163229584661, -60.96955650301925, -63.05433086902091, -46.578118803726916, -48.62471686903995, -54.563786648862866, -58.356329348140775, -61.03637818240168, -63.095792242594484, -53.99054032797064, -54.44074397541474, -56.912242766514254, -59.49412387347114, -61.68682396209037, -63.51185760487446, -58.072351929348315, -58.253817256370795, -59.45496878206672, -61.07518849643297, -62.70782880052402, -64.20879633531531, -60.8571145407999]","[1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[95.2809156060644, 377.10133913365684]",38,1,2.4547025106893425,2.393440427802239,rectangle
36,"[[0.0, 0.0], [246.33333333333334, 0.0], [492.6666666666667, 0.0], [739.0, 0.0], [985.3333333333334, 0.0], [1231.6666666666667, 0.0], [1478.0, 0.0], [0.0, 246.33333333333334], [246.33333333333334, 246.33333333333334], [492.6666666666667, 246.33333333333334], [739.0, 246.33333333333334], [985.3333333333334, 246.33333333333334], [1231.6666666666667, 246.33333333333334], [1478.0, 246.33333333333334], [0.0, 492.6666666666667], [246.33333333333334, 492.6666666666667], [492.6666666666667, 492.6666666666667], [739.0, 492.6666666666667], [985.3333333333334, 492.6666666666667], [1231.6666666666667, 492.6666666666667], [1478.0, 492.6666666666667], [0.0, 739.0], [246.33333333333334, 739.0], [492.6666666666667, 739.0], [739.0, 739.0], [985.3333333333334, 739.0], [1231.6666666666667, 739.0], [1478.0, 739.0], [0.0, 985.3333333333334], [246.33333333333334, 985.3333333333334], [492.6666666666667, 985.3333333333334], [739.0, 985.3333333333334], [985.3333333333334, 985.3333333333334], [1231.6666666666667, 985.3333333333334], [1478.0, 985.3333333333334], [0.0, 1231.6666666666667]]","[-71.0960059985573, -71.0960059985573, -72.07902619715409, -72.77989934277507, -73.01068073928036, -72.69439967579436, -72.69439967579436, -71.0960059985573, -72.56076796852903, -74.01067641674118, -75.16010633016805, -75.56747597009479, -75.01323111431154, -73.78723689677686, -72.07902619715409, -74.01067641674118, -76.20295773075836, -78.31604406859537, -79.20548910629716, -78.01755444460736, -75.83878729165325, -72.77989934277507, -75.16010633016805, -78.31604406859537, -80.0, -80.0, -80.0, -77.73826858483639, -73.01068073928036, -75.56747597009479, -79.20548910629716, -80.0, -80.0, -80.0, -78.51202759499, -73.01068073928036]","[-62.113539384118354, -60.41006730296115, -58.60641090857614, -57.044580811455106, -56.4502923825824, -57.25288518642161, -58.89448152631263, -61.255063148921, -59.06978456212384, -56.37145810569585, -53.31419182138141, -51.753201823760776, -53.790810057694635, -56.84319764465553, -60.783257580299335, -58.259075335377766, -54.71575071157343, -48.86641335663731, -40.885914385425025, -50.082066592526466, -55.39016738287213, -60.8442304204854, -58.367522715078564, -54.95723423470114, -49.72958511317027, -44.65378634627122, -50.74977926666878, -55.59773141616074, -61.41723742772815, -59.33485938798839, -56.85260249852739, -54.23744391536771, -53.02207386741919, -54.62673968845262, -57.27720337752386, -62.333846392793404]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0]","[965.4865012606091, 588.8135434872063]",39,0,3.499346827222225,2.954593078113037,rectangle
46,"[[0.0, 0.0], [126.66666666666667, 0.0], [253.33333333333334, 0.0], [380.0, 0.0], [506.6666666666667, 0.0], [633.3333333333334, 0.0], [760.0, 0.0], [0.0, 126.66666666666667], [126.66666666666667, 126.66666666666667], [253.33333333333334, 126.66666666666667], [380.0, 126.66666666666667], [506.6666666666667, 126.66666666666667], [633.3333333333334, 126.66666666666667], [760.0, 126.66666666666667], [0.0, 253.33333333333334], [126.66666666666667, 253.33333333333334], [253.33333333333334, 253.33333333333334], [380.0, 253.33333333333334], [506.6666666666667, 253.33333333333334], [633.3333333333334, 253.33333333333334], [760.0, 253.33333333333334], [0.0, 380.0], [126.66666666666667, 380.0], [253.33333333333334, 380.0], [380.0, 380.0], [506.6666666666667, 380.0], [633.3333333333334, 380.0], [760.0, 380.0], [0.0, 506.6666666666667], [126.66666666666667, 506.6666666666667], [253.33333333333334, 506.6666666666667], [380.0, 506.6666666666667], [506.6666666666667, 506.6666666666667], [633.3333333333334, 506.6666666666667], [760.0, 506.6666666666667], [0.0, 633.3333333333334], [126.66666666666667, 633.3333333333334], [253.33333333333334, 633.3333333333334], [380.0, 633.3333333333334], [506.6666666666667, 633.3333333333334], [633.3333333333334, 633.3333333333334], [760.0, 633.3333333333334], [0.0, 760.0], [126.66666666666667, 760.0], [253.33333333333334, 760.0], [380.0, 760.0]]","[-79.37005135159045, -78.54698815377323, -72.68048705351818, -68.44616949079477, -65.5101885064187, -63.293631767830654, -61.591456284079, -78.54698815377323, -80.0, -73.4857778645054, -68.73265566351635, -65.65353130184548, -63.379098347199026, -61.57637401934922, -72.68048705351818, -73.4857778645054, -70.71676516778352, -67.5981307757175, -65.05824455515874, -63.0167702068221, -61.33380620910063, -68.44616949079477, -68.73265566351635, -67.5981307757175, -65.80176794011983, -63.967761049617266, -62.3039727491513, -60.83756298537708, -65.5101885064187, -65.65353130184548, -65.05824455515874, -63.967761049617266, -62.68236359036925, -61.388030617840776, -60.165029001018254, -63.293631767830654, -63.379098347199026, -63.0167702068221, -62.3039727491513, -61.38803061784083, -60.39227233716103, -60.165029001018254, -61.591456284079, -61.57637401934922, -61.33380620910063, -61.33380620910063]","[-48.98348704906121, -47.41346496445388, -52.047272202916204, -55.9595964193388, -58.79495523061284, -60.9691854527561, -62.72158602257573, -44.98039360502625, -38.735220815097485, -50.51436579127724, -55.40044793312216, -58.512903698605356, -60.800434336927935, -62.6096089244382, -50.52832248357983, -49.49045759873054, -52.87864204005447, -56.31670093658095, -58.98449229715297, -61.085045526851765, -62.79930975847205, -55.09863459022506, -54.76377204337691, -56.07004914853408, -58.05341656623305, -60.008782635404756, -61.74445905052838, -63.25441443054626, -58.21599955652509, -58.055879238401396, -58.71698407629438, -59.9050952106382, -61.27628957469672, -62.63372900852336, -63.90079216088885, -60.53781089254528, -60.44472385343543, -60.838268342354695, -61.60484319635767, -62.57739132728745, -63.62195187264308, -64.65930799222498, -62.37932845913795, -62.3186450270509, -62.57826026180936, -63.10636842635894]","[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[86.88627676419773, 110.08371123786092]",33,1,3.3404268287539094,4.565591563392589,rectangle
35,"[[0.0, 0.0], [289.4, 0.0], [578.8, 0.0], [868.1999999999999, 0.0], [1157.6, 0.0], [1447.0, 0.0], [0.0, 289.4], [289.4, 289.4], [578.8, 289.4], [868.1999999999999, 289.4], [1157.6, 289.4], [1447.0, 289.4], [0.0, 578.8], [289.4, 578.8], [578.8, 578.8], [868.1999999999999, 578.8], [1157.6, 578.8], [1447.0, 578.8], [0.0, 868.1999999999999], [289.4, 868.1999999999999], [578.8, 868.1999999999999], [868.1999999999999, 868.1999999999999], [1157.6, 868.1999999999999], [1447.0, 868.1999999999999], [0.0, 1157.6], [289.4, 1157.6], [578.8, 1157.6], [868.1999999999999, 1157.6], [1157.6, 1157.6], [1447.0, 1157.6], [0.0, 1447.0], [289.4, 1447.0], [578.8, 1447.0], [868.1999999999999, 1447.0], [1157.6, 1447.0]]","[-80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -79.90745286281324, -80.0, -80.0, -80.0, -80.0, -80.0, -79.90745286281324, -80.0, -80.0, -80.0, -79.90745286281324, -79.90745286281324]","[-61.91307774057782, -61.969924595027635, -62.86024826003071, -64.19589771139896, -65.63591693977455, -67.0168128220127, -58.50562341885313, -58.62926763541321, -60.36436549545903, -62.5123455641394, -64.49735014759037, -66.21931525636724, -53.05067577512807, -53.470206804772715, -57.63848328130456, -61.060057169523, -63.6358989496551, -65.65922523909619, -45.13287442178569, -47.249265562972525, -56.14171006463589, -60.44237525113465, -63.30554001032611, -65.45491190609685, -53.03431397348856, -53.4553542615739, -57.632801510606, -61.05747424957861, -63.63447209679399, -65.65833007865747, -58.496312984253585, -58.620218841933806, -60.35829951958718, -62.508647930922294, -64.49500987882132]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[127.15784461087806, 868.5252039689614]",37,0,3.090843275523445,2.0947890679598853,rectangle
15,"[[0.0, 0.0], [281.0, 0.0], [562.0, 0.0], [843.0, 0.0], [0.0, 281.0], [281.0, 281.0], [562.0, 281.0], [843.0, 281.0], [0.0, 562.0], [281.0, 562.0], [562.0, 562.0], [843.0, 562.0], [0.0, 843.0], [281.0, 843.0], [562.0, 843.0]]","[-78.74459964292873, -78.74459964292873, -79.28698986574742, -79.28698986574742, -78.74459964292873, -80.0, -80.0, -80.0, -79.28698986574742, -80.0, -80.0, -80.0, -79.28698986574742, -80.0, -80.0]","[-51.04878578219441, -44.98349694566117, -41.95366727043898, -49.022705089724454, -50.91468775929795, -44.414078093263505, -40.722354797002154, -48.80688430355769, -53.00076262474205, -50.159914000384575, -49.441317531454104, -51.82119044205538, -55.51039787915555, -54.14733431024561, -53.87452185598295]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[477.0814611269961, 154.09890267365168]",39,4,3.1307885183481785,2.5987523567804636,rectangle
35,"[[0.0, 0.0], [194.0, 0.0], [388.0, 0.0], [582.0, 0.0], [776.0, 0.0], [970.0, 0.0], [0.0, 194.0], [194.0, 194.0], [388.0, 194.0], [582.0, 194.0], [776.0, 194.0], [970.0, 194.0], [0.0, 388.0], [194.0, 388.0], [388.0, 388.0], [582.0, 388.0], [776.0, 388.0], [970.0, 388.0], [0.0, 582.0], [194.0, 582.0], [388.0, 582.0], [582.0, 582.0], [776.0, 582.0], [970.0, 582.0], [0.0, 776.0], [194.0, 776.0], [388.0, 776.0], [582.0, 776.0], [776.0, 776.0], [970.0, 776.0], [0.0, 970.0], [194.0, 970.0], [388.0, 970.0], [582.0, 970.0], [776.0, 970.0]]","[-69.02635523605225, -69.02635523605225, -69.86472053444862, -70.56433066216587, -71.01914028457665, -71.14252251589349, -69.02635523605225, -70.15267388656822, -71.27391864645357, -72.27476977720063, -72.96744164970991, -73.15306064095367, -69.86472053444862, -71.27391864645357, -72.78943263860387, -74.28781889459009, -75.44759941842308, -75.78180271011868, -70.56433066216587, -72.27476977720063, -74.28781889459009, -76.59422527689239, -78.80264219580378, -79.56179465879924, -71.01914028457665, -72.96744164970991, -75.44759941842308, -78.80264219580378, -80.0, -80.0, -71.14252251589349, -73.15306064095367, -75.78180271011868, -79.56179465879924, -80.0]","[-58.49929535253808, -56.5017506652717, -53.914776561306404, -50.26000451158636, -44.22511604035079, -38.55343752376488, -58.516962729157875, -56.52970405333651, -53.965360894824734, -50.376470936969525, -44.67474813334654, -40.02290302476158, -58.887521637118724, -57.10164924588404, -54.94853716968002, -52.36453289013373, -49.66860855511826, -48.65491399410732, -59.53150405655879, -58.03990997286661, -56.39719273469288, -54.71440224654559, -53.35236855492094, -52.94691997327786, -60.34175420717212, -59.143024963719455, -57.92659163582524, -56.814715365824824, -56.02652545823033, -55.812206163294064, -61.22676775573585, -60.27542023783457, -59.36986279821529, -58.60230220322716, -58.09637488431356]","[0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[934.924161631926, 87.73530470105483]",41,0,3.047293097388273,2.8270687638613667,rectangle
39,"[[0.0, 0.0], [201.83333333333334, 0.0], [403.6666666666667, 0.0], [605.5, 0.0], [807.3333333333334, 0.0], [1009.1666666666667, 0.0], [1211.0, 0.0], [0.0, 201.83333333333334], [201.83333333333334, 201.83333333333334], [403.6666666666667, 201.83333333333334], [605.5, 201.83333333333334], [807.3333333333334, 201.83333333333334], [1009.1666666666667, 201.83333333333334], [1211.0, 201.83333333333334], [0.0, 403.6666666666667], [201.83333333333334, 403.6666666666667], [403.6666666666667, 403.6666666666667], [605.5, 403.6666666666667], [807.3333333333334, 403.6666666666667], [1009.1666666666667, 403.6666666666667], [1211.0, 403.6666666666667], [0.0, 605.5], [201.83333333333334, 605.5], [403.6666666666667, 605.5], [605.5, 605.5], [807.3333333333334, 605.5], [1009.1666666666667, 605.5], [1211.0, 605.5], [0.0, 807.3333333333334], [201.83333333333334, 807.3333333333334], [403.6666666666667, 807.3333333333334], [605.5, 807.3333333333334], [807.3333333333334, 807.3333333333334], [1009.1666666666667, 807.3333333333334], [1211.0, 807.3333333333334], [0.0, 1009.1666666666667], [201.83333333333334, 1009.1666666666667], [403.6666666666667, 1009.1666666666667], [605.5, 1009.1666666666667]]","[-80.0, -80.0, -78.98814831962443, -75.18131609812332, -72.5387527067817, -70.5140160773858, -68.87774322011236, -80.0, -80.0, -78.25895245696607, -74.86281970265368, -72.36254527058226, -70.40263737131785, -68.79600216519536, -78.98814831962443, -78.25895245696607, -76.03129245247092, -73.70137277628493, -71.67177216464975, -69.95024298270857, -68.47854108988219, -75.18131609812332, -74.86281970265368, -73.70137277628493, -72.19320946059142, -70.66742079036108, -69.24973385000007, -67.96808601230744, -72.5387527067817, -72.36254527058226, -71.67177216464975, -70.66742079036108, -69.5405614391234, -68.40850584619304, -67.96808601230744, -70.52147693980383, -70.40263737131785, -69.95024298270857, -69.95024298270857]","[-55.69723395272935, -55.769148502569735, -56.06788726233995, -56.5508193287273, -57.16156827177081, -57.846929463659826, -58.5655185618566, -54.11252587559534, -54.21573719675443, -54.63688780835699, -55.294641791301245, -56.09242683806349, -56.95126761517912, -57.81897616570105, -52.17339689997134, -52.33364107098037, -52.96724452353882, -53.90212550665368, -54.967034262989145, -56.05048966453402, -57.09581861614522, -49.67498530418587, -49.95588159217359, -50.9992819946455, -52.391403858590984, -53.83245855609303, -55.19316126065428, -56.436668934296165, -46.161139636733644, -46.76835283821542, -48.715625770199495, -50.86229664438469, -52.79234602437072, -54.45820068166584, -55.89666845915807, -40.221935541575775, -42.23346746474796, -46.395576726583734, -49.59864597606804]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[40.415121064038665, 1208.7243724424948]",42,4,2.7899227849858734,2.0966829655382675,rectangle
56,"[[0.0, 0.0], [206.57142857142858, 0.0], [413.14285714285717, 0.0], [619.7142857142858, 0.0], [826.2857142857143, 0.0], [1032.857142857143, 0.0], [1239.4285714285716, 0.0], [1446.0, 0.0], [0.0, 206.57142857142858], [206.57142857142858, 206.57142857142858], [413.14285714285717, 206.57142857142858], [619.7142857142858, 206.57142857142858], [826.2857142857143, 206.57142857142858], [1032.857142857143, 206.57142857142858], [1239.4285714285716, 206.57142857142858], [1446.0, 206.57142857142858], [0.0, 413.14285714285717], [206.57142857142858, 413.14285714285717], [413.14285714285717, 413.14285714285717], [619.7142857142858, 413.14285714285717], [826.2857142857143, 413.14285714285717], [1032.857142857143, 413.14285714285717], [1239.4285714285716, 413.14285714285717], [1446.0, 413.14285714285717], [0.0, 619.7142857142858], [206.57142857142858, 619.7142857142858], [413.14285714285717, 619.7142857142858], [619.7142857142858, 619.7142857142858], [826.2857142857143, 619.7142857142858], [1032.857142857143, 619.7142857142858], [1239.4285714285716, 619.7142857142858], [1446.0, 619.7142857142858], [0.0, 826.2857142857143], [206.57142857142858, 826.2857142857143], [413.14285714285717, 826.2857142857143], [619.7142857142858, 826.2857142857143], [826.2857142857143, 826.2857142857143], [1032.857142857143, 826.2857142857143], [1239.4285714285716, 826.2857142857143], [1446.0, 826.2857142857143], [0.0, 1032.857142857143], [206.57142857142858, 1032.857142857143], [413.14285714285717, 1032.857142857143], [619.7142857142858, 1032.857142857143], [826.2857142857143, 1032.857142857143], [1032.857142857143, 1032.857142857143], [1239.4285714285716, 1032.857142857143], [1446.0, 1032.857142857143], [0.0, 1239.4285714285716], [206.57142857142858, 1239.4285714285716], [413.14285714285717, 1239.4285714285716], [619.7142857142858, 1239.4285714285716], [826.2857142857143, 1239.4285714285716], [1032.857142857143, 1239.4285714285716], [1239.4285714285716, 1239.4285714285716], [1446.0, 1239.4285714285716]]","[-75.32580240954339, -75.32580240954339, -75.34683315239363, -72.81537333793642, -70.05972750851458, -67.74155222651359, -65.83346954206726, -64.51422178364056, -75.32580240954339, -80.0, -80.0, -75.38920266423315, -71.23478795493898, -68.39147181673589, -66.2409586674421, -64.51422178364056, -75.34683315239363, -80.0, -80.0, -75.4105434497793, -71.24297414398463, -68.3957229889904, -66.24354875622964, -64.51596168178398, -72.81537333793642, -75.38920266423315, -75.4105434497793, -72.85082515984993, -70.07848653953036, -67.75254126886126, -65.84054731117855, -64.24119235771009, -70.05972750851458, -71.23478795493898, -71.24297414398463, -70.07848653953036, -68.39997832755506, -66.69356746372944, -65.12993124450223, -63.737448846728796, -67.74155222651359, -68.39147181673589, -68.3957229889904, -67.75254126886126, -66.69356746372944, -65.47179934180265, -64.24282616494969, -63.076319455223285, -66.2409586674421, -66.2409586674421, -66.24354875622964, -65.84054731117855, -65.12993124450223, -64.24282616494969, -63.286138776137236, -63.076319455223285]","[-63.4695861468372, -63.1175954867914, -63.1153727090095, -63.46343438223624, -64.0873662702876, -64.88251209055319, -65.75734999877047, -66.64966054119287, -61.68457088135558, -61.14199101794761, -61.138486844071295, -61.675287143317846, -62.585762546411125, -63.671265269206984, -64.79393323526925, -65.88223894972232, -59.525906672914275, -58.59418262984221, -58.587879495598486, -59.510633165032516, -60.92195806370761, -62.43432154314399, -63.87146713463448, -65.18194162277102, -56.91363512151013, -55.026835191160224, -55.012489268518934, -56.8857204393884, -59.197410389235536, -61.29172066158428, -63.08243128637482, -64.61273556919825, -54.11807433293865, -49.29277480355157, -49.238807183202226, -54.06478061773534, -57.76756673773207, -60.465834065643335, -62.55359263806267, -64.24784619558945, -52.94433649388692, -43.77376942507687, -43.57829930566666, -52.87437054471039, -57.299372795157886, -60.220612717733, -62.403625491016406, -64.14690777452806, -54.884749738874845, -51.29718204777676, -51.26324387688011, -54.840125433243074, -58.115131845292154, -60.655992769701356, -62.672137453175196, -64.32843737445226]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[311.1167590511754, 1002.9464241645428]",33,4,3.311577948096362,5.745926082104738,rectangle
45,"[[0.0, 0.0], [116.5, 0.0], [233.0, 0.0], [349.5, 0.0], [466.0, 0.0], [582.5, 0.0], [699.0, 0.0], [0.0, 116.5], [116.5, 116.5], [233.0, 116.5], [349.5, 116.5], [466.0, 116.5], [582.5, 116.5], [699.0, 116.5], [0.0, 233.0], [116.5, 233.0], [233.0, 233.0], [349.5, 233.0], [466.0, 233.0], [582.5, 233.0], [699.0, 233.0], [0.0, 349.5], [116.5, 349.5], [233.0, 349.5], [349.5, 349.5], [466.0, 349.5], [582.5, 349.5], [699.0, 349.5], [0.0, 466.0], [116.5, 466.0], [233.0, 466.0], [349.5, 466.0], [466.0, 466.0], [582.5, 466.0], [699.0, 466.0], [0.0, 582.5], [116.5, 582.5], [233.0, 582.5], [349.5, 582.5], [466.0, 582.5], [582.5, 582.5], [699.0, 582.5], [0.0, 699.0], [116.5, 699.0], [233.0, 699.0]]","[-80.0, -80.0, -80.0, -77.8405042147207, -75.08190264889704, -72.7631703425919, -71.26111406168405, -80.0, -80.0, -80.0, -80.0, -76.25228565354105, -73.41058401819924, -71.26111406168405, -80.0, -80.0, -80.0, -80.0, -76.25665415501327, -73.4128539960719, -71.26249757257482, -77.8405042147207, -80.0, -80.0, -77.85942830252417, -75.09191845217536, -72.76903941538704, -70.85891679249659, -75.08190264889704, -76.25228565354105, -76.25665415501327, -75.09191845217536, -73.41512516124469, -71.7105407189951, -70.14833168306636, -72.7631703425919, -73.41058401819924, -73.4128539960719, -72.76903941538704, -71.7105407189951, -70.48968147820919, -70.14833168306636, -71.26111406168405, -71.26111406168405, -71.31457850177672]","[-59.35141889745203, -58.59351651811487, -58.590824069113545, -59.344632000639166, -60.5477145481191, -61.89303520364121, -63.21320717821627, -56.897166648747415, -55.459615417909276, -55.45407283270174, -56.885216127255845, -58.82307214961646, -60.69878907024752, -62.36521032601576, -54.06717627623422, -50.68807776762696, -50.6714267152435, -54.044217099288744, -57.22860807893156, -59.732419291745856, -61.73080818225181, -51.99285781134249, -43.07275019317935, -42.97570053291934, -51.95578106278501, -56.348860631803944, -59.26025818291565, -61.438846599903194, -52.98506852162751, -47.84640971340448, -47.814318609242775, -52.95559055048219, -56.7395689733685, -59.464482648788646, -61.563641759055784, -55.762704357212115, -53.78407461767229, -53.775919939939754, -55.747179719581126, -58.129824974235206, -60.26150884993859, -62.07214790436359, -58.40423090111231, -57.439648322503686, -57.43613603585365]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[175.1299158394347, 373.3372077721345]",29,4,2.864703551569162,4.984029874356474,rectangle
15,"[[0.0, 0.0], [177.0, 0.0], [354.0, 0.0], [531.0, 0.0], [0.0, 177.0], [177.0, 177.0], [354.0, 177.0], [531.0, 177.0], [0.0, 354.0], [177.0, 354.0], [354.0, 354.0], [531.0, 354.0], [0.0, 531.0], [177.0, 531.0], [354.0, 531.0]]","[-80.0, -80.0, -79.96442212510854, -77.3507706008281, -80.0, -80.0, -80.0, -77.3507706008281, -79.96442212510854, -80.0, -80.0, -77.35833276148917, -77.3507706008281, -77.3507706008281, -77.35833276148917]","[-55.77024881027991, -55.0372435799536, -55.571045164352725, -57.01338033809545, -52.427856725637554, -50.65405737878952, -51.985725682279956, -54.77183969885797, -48.606839757774615, -41.433790740223245, -47.45296194761273, -52.96018379927445, -48.48671305102955, -40.76719815395451, -47.29560702905119]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[191.9284543381857, 445.99100119248567]",34,4,2.9915365623658094,2.548744223041804,rectangle
