num_samples,node_positions,node_rssi,node_noise,node_states,jammer_position,jammer_power,jammer_gain,pl_exp,sigma,node_placement
30,"[[0.0, 0.0], [219.6, 0.0], [439.2, 0.0], [658.8, 0.0], [878.4, 0.0], [1098.0, 0.0], [0.0, 219.6], [219.6, 219.6], [439.2, 219.6], [658.8, 219.6], [878.4, 219.6], [1098.0, 219.6], [0.0, 439.2], [219.6, 439.2], [439.2, 439.2], [658.8, 439.2], [878.4, 439.2], [1098.0, 439.2], [0.0, 658.8], [219.6, 658.8], [439.2, 658.8], [658.8, 658.8], [878.4, 658.8], [1098.0, 658.8], [0.0, 878.4], [219.6, 878.4], [439.2, 878.4], [658.8, 878.4], [878.4, 878.4], [1098.0, 878.4]]","[-72.82695990438205, -72.82695990438205, -73.44351856568261, -74.01783407767311, -74.51739499279448, -74.90408536481851, -72.82695990438205, -73.56985990459953, -74.31182228078919, -75.02422496739882, -75.66410859447178, -76.1747752406215, -73.44351856568261, -74.31182228078919, -75.2072245875443, -76.10062457797031, -76.93890338398792, -77.63850953707879, -74.01783407767311, -75.02422496739882, -76.10062457797031, -77.22672703599171, -78.34774320557094, -79.34845575929698, -74.51739499279448, -75.66410859447178, -76.93890338398792, -78.34774320557094, -79.86278840421751, -80.0]","[-57.83801042912054, -56.85696068507495, -55.814785297044736, -54.73440950712188, -53.67165033170144, -52.73635659593927, -57.32233859339278, -56.20023639868067, -54.96137238427285, -53.60610452830522, -52.17055373073474, -50.78141738942176, -56.912513164545544, -55.66180138275642, -54.22944580018759, -52.5719074298035, -50.652974170412655, -48.51868693252533, -56.64669698391946, -55.30351404355062, -53.722717840922705, -51.807921452368944, -49.39817153067673, -46.225751735044255, -56.55439960249186, -55.177270687424254, -53.53986108077812, -51.52032216218566, -48.884232792464715, -45.08104995375141]","[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]","[1497.717659009208, 878.3098819390649]",45,2,3.3295309567117064,2.462871038889253,rectangle
48,"[[0.0, 0.0], [200.33333333333334, 0.0], [400.6666666666667, 0.0], [601.0, 0.0], [801.3333333333334, 0.0], [1001.6666666666667, 0.0], [1202.0, 0.0], [0.0, 200.33333333333334], [200.33333333333334, 200.33333333333334], [400.6666666666667, 200.33333333333334], [601.0, 200.33333333333334], [801.3333333333334, 200.33333333333334], [1001.6666666666667, 200.33333333333334], [1202.0, 200.33333333333334], [0.0, 400.6666666666667], [200.33333333333334, 400.6666666666667], [400.6666666666667, 400.6666666666667], [601.0, 400.6666666666667], [801.3333333333334, 400.6666666666667], [1001.6666666666667, 400.6666666666667], [1202.0, 400.6666666666667], [0.0, 601.0], [200.33333333333334, 601.0], [400.6666666666667, 601.0], [601.0, 601.0], [801.3333333333334, 601.0], [1001.6666666666667, 601.0], [1202.0, 601.0], [0.0, 801.3333333333334], [200.33333333333334, 801.3333333333334], [400.6666666666667, 801.3333333333334], [601.0, 801.3333333333334], [801.3333333333334, 801.3333333333334], [1001.6666666666667, 801.3333333333334], [1202.0, 801.3333333333334], [0.0, 1001.6666666666667], [200.33333333333334, 1001.6666666666667], [400.6666666666667, 1001.6666666666667], [601.0, 1001.6666666666667], [801.3333333333334, 1001.6666666666667], [1001.6666666666667, 1001.6666666666667], [1202.0, 1001.6666666666667], [0.0, 1202.0], [200.33333333333334, 1202.0], [400.6666666666667, 1202.0], [601.0, 1202.0], [801.3333333333334, 1202.0], [1001.6666666666667, 1202.0]]","[-69.99096211850811, -69.99096211850811, -70.60514491772652, -71.17767541439605, -71.67651591459538, -72.06405995698249, -72.30328716067089, -69.99096211850811, -70.73028233415863, -71.46868577866046, -72.17799861166857, -72.81598868956056, -73.32689876629453, -73.64993700464696, -70.60514491772652, -71.46868577866046, -72.35891119207645, -73.24718346375218, -74.0813996397487, -74.77971291429162, -75.23807871159664, -71.17767541439605, -72.17799861166857, -73.24718346375218, -74.365141812086, -75.47816454959843, -76.47384984496969, -77.16923301530524, -71.67651591459538, -72.81598868956056, -74.0813996397487, -75.47816454959843, -76.97858842057241, -78.46256273014555, -79.61965640259828, -72.06405995698249, -73.32689876629453, -74.77971291429162, -76.47384984496969, -78.46256273014555, -80.0, -80.0, -72.30328716067089, -73.64993700464696, -75.23807871159664, -77.16923301530524, -79.61965640259828, -80.0]","[-58.07603575751392, -56.80573725438215, -55.341151888038375, -53.62718992086387, -51.60260120472327, -49.262739120810686, -46.97183568494139, -57.84840982836193, -56.49796322908088, -54.903526895717064, -52.96084048372883, -50.485961163045076, -47.12611330187448, -42.30532796559517, -57.79723308295857, -56.42796771317129, -54.80211440448705, -52.801153728146836, -50.199511592459245, -46.47937251085078, -39.940748984734924, -57.928730855367256, -56.60721693105009, -55.060382295533, -53.20374867565937, -50.906626328550416, -47.991376760287245, -44.52989413825889, -58.22722954059564, -57.007133252381294, -55.620775480076816, -54.03592226152335, -52.23704603941825, -50.29938588346761, -48.606075229906565, -58.66085780839862, -57.572619557516674, -56.38123032858398, -55.09324527839509, -53.7510994252016, -52.47861930192134, -51.5339816716306, -59.191391703305165, -58.24310924143375, -57.24355214617482, -56.21753972228415, -55.2200669726098, -54.35243856486818]","[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1]","[1371.978819660147, 356.2497226735166]",45,0,3.3669599305265443,3.949836532794408,rectangle
25,"[[0.0, 0.0], [206.4, 0.0], [412.8, 0.0], [619.2, 0.0], [825.6, 0.0], [1032.0, 0.0], [0.0, 206.4], [206.4, 206.4], [412.8, 206.4], [619.2, 206.4], [825.6, 206.4], [1032.0, 206.4], [0.0, 412.8], [206.4, 412.8], [412.8, 412.8], [619.2, 412.8], [825.6, 412.8], [1032.0, 412.8], [0.0, 619.2], [206.4, 619.2], [412.8, 619.2], [619.2, 619.2], [825.6, 619.2], [1032.0, 619.2], [0.0, 825.6]]","[-80.0, -80.0, -76.55902925212865, -72.63272028601045, -69.92736958418863, -67.8804651488448, -80.0, -80.0, -75.99236948014071, -72.39429708135378, -69.79786480739199, -67.78335319512706, -76.55902925212865, -75.99236948014071, -73.67234971631919, -71.22705609163523, -69.11754409841623, -67.34328734158169, -72.63272028601045, -72.39429708135378, -71.22705609163523, -69.6721104723483, -68.09708639885802, -67.34328734158169, -72.63272028601045]","[-56.829943014367636, -56.91067124913036, -57.349424171630346, -58.05177070574592, -58.904309027092324, -59.81663001260503, -54.770613916752104, -54.89960255065884, -55.577449919098754, -56.594851589989034, -57.745502488580016, -58.90248263964185, -52.07162349541708, -52.30876996360418, -53.470674994127656, -55.02040631073584, -56.59174251910528, -58.04732419058694, -48.15866314171515, -48.72077602300504, -51.02726580245544, -53.4642889422267, -55.56958585975349, -57.34158042046413, -41.111678045480474]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1]","[59.950511605396606, 973.6121907914913]",39,4,2.8772083245855957,2.7398207081149626,rectangle
22,"[[0.0, 0.0], [187.0, 0.0], [374.0, 0.0], [561.0, 0.0], [748.0, 0.0], [0.0, 187.0], [187.0, 187.0], [374.0, 187.0], [561.0, 187.0], [748.0, 187.0], [0.0, 374.0], [187.0, 374.0], [374.0, 374.0], [561.0, 374.0], [748.0, 374.0], [0.0, 561.0], [187.0, 561.0], [374.0, 561.0], [561.0, 561.0], [748.0, 561.0], [0.0, 748.0], [187.0, 748.0]]","[-75.65738484674925, -75.65738484674925, -76.22775775726161, -76.76625740778543, -77.24871288399362, -75.65738484674925, -76.33208831364848, -77.00616204499103, -77.6587139701651, -78.25919378792263, -76.22775775726161, -77.00616204499103, -77.80446005091079, -78.60150561010079, -79.36102063221308, -76.76625740778543, -77.6587139701651, -78.60150561010079, -79.57849751982374, -80.0, -77.24871288399362, -78.25919378792263]","[-59.50774485248441, -58.44074210660142, -57.25903881729441, -55.95232576800706, -54.52806072929039, -59.16354780167765, -57.995603826229726, -56.664763212661796, -55.12849753385855, -53.33702771775255, -58.94822931629325, -57.71162042043037, -56.2742374833629, -54.56098574536952, -52.44835689795654, -58.882660870136974, -57.62423066185928, -56.152072981038344, -54.37847781334908, -52.14745926387227, -58.97367327940951, -57.74541480531642]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]","[1386.1921511149499, 545.672784029162]",44,0,2.1231137326035205,4.704655140306333,rectangle
29,"[[0.0, 0.0], [264.4, 0.0], [528.8, 0.0], [793.1999999999999, 0.0], [1057.6, 0.0], [1322.0, 0.0], [0.0, 264.4], [264.4, 264.4], [528.8, 264.4], [793.1999999999999, 264.4], [1057.6, 264.4], [1322.0, 264.4], [0.0, 528.8], [264.4, 528.8], [528.8, 528.8], [793.1999999999999, 528.8], [1057.6, 528.8], [1322.0, 528.8], [0.0, 793.1999999999999], [264.4, 793.1999999999999], [528.8, 793.1999999999999], [793.1999999999999, 793.1999999999999], [1057.6, 793.1999999999999], [1322.0, 793.1999999999999], [0.0, 1057.6], [264.4, 1057.6], [528.8, 1057.6], [793.1999999999999, 1057.6], [1057.6, 1057.6]]","[-76.36421764363585, -76.36421764363585, -77.10668038515196, -77.76405145339822, -78.26981707149882, -78.5543270989698, -76.36421764363585, -77.3110928838035, -78.25545469402009, -79.13324844338551, -79.84252428256815, -80.0, -77.10668038515196, -78.25545469402009, -79.46394221916697, -80.0, -80.0, -80.0, -77.76405145339822, -79.13324844338551, -80.0, -80.0, -80.0, -80.0, -78.26981707149882, -79.84252428256815, -80.0, -80.0, -80.0]","[-56.66754254778694, -55.73259649008928, -54.80298086875605, -53.9420272699345, -53.24901480005813, -52.84503316216387, -55.921539190786085, -54.78652970175055, -53.59697176099557, -52.41998572654331, -51.39955215517445, -50.76477060924452, -55.2568369841522, -53.90180057794418, -52.391468315052435, -50.758861726197146, -49.16638830223771, -48.045881852691046, -54.73916416582411, -53.177983956770525, -51.32704482528383, -49.10584355505529, -46.51611010061192, -44.16056873327683, -54.43862400295145, -52.74069448200149, -50.638107410635875, -47.88737936180544, -43.96588143778793]","[0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1468.7733181314288, 1221.3566634181173]",45,4,3.279208801206531,3.793539096102009,rectangle
19,"[[0.0, 0.0], [192.0, 0.0], [384.0, 0.0], [576.0, 0.0], [768.0, 0.0], [0.0, 192.0], [192.0, 192.0], [384.0, 192.0], [576.0, 192.0], [768.0, 192.0], [0.0, 384.0], [192.0, 384.0], [384.0, 384.0], [576.0, 384.0], [768.0, 384.0], [0.0, 576.0], [192.0, 576.0], [384.0, 576.0], [576.0, 576.0]]","[-76.11100294407836, -76.11100294407836, -77.2298046389392, -77.75970858771962, -77.7681307702172, -76.11100294407836, -78.08624697437833, -80.0, -80.0, -80.0, -77.2298046389392, -80.0, -80.0, -80.0, -80.0, -77.75970858771962, -80.0, -80.0, -80.0]","[-57.28723026500137, -56.600077697487954, -56.11083903136067, -55.90353185932416, -56.020457163822854, -56.002841900396746, -55.05159376837298, -54.33461801945691, -54.01866229872923, -54.197837214682906, -54.63802303429766, -53.27515697284788, -52.14516011501259, -51.60884614891651, -51.91630983163822, -53.287289384740504, -51.29714561214476, -49.3503558185569, -48.265191416198554]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[603.2234920528113, 983.3742709534741]",40,4,2.310312940172537,2.9732347537976933,rectangle
32,"[[0.0, 0.0], [148.2, 0.0], [296.4, 0.0], [444.59999999999997, 0.0], [592.8, 0.0], [741.0, 0.0], [0.0, 148.2], [148.2, 148.2], [296.4, 148.2], [444.59999999999997, 148.2], [592.8, 148.2], [741.0, 148.2], [0.0, 296.4], [148.2, 296.4], [296.4, 296.4], [444.59999999999997, 296.4], [592.8, 296.4], [741.0, 296.4], [0.0, 444.59999999999997], [148.2, 444.59999999999997], [296.4, 444.59999999999997], [444.59999999999997, 444.59999999999997], [592.8, 444.59999999999997], [741.0, 444.59999999999997], [0.0, 592.8], [148.2, 592.8], [296.4, 592.8], [444.59999999999997, 592.8], [592.8, 592.8], [741.0, 592.8], [0.0, 741.0], [148.2, 741.0]]","[-77.15926291648634, -77.15926291648634, -77.76054228060305, -78.3232706822167, -78.81791528914843, -79.20959295431031, -77.15926291648634, -77.87924932663752, -78.5984045158326, -79.29090588732677, -79.91832196105085, -80.0, -77.76054228060305, -78.5984045158326, -79.46075414979252, -80.0, -80.0, -80.0, -78.3232706822167, -79.29090588732677, -80.0, -80.0, -80.0, -80.0, -78.81791528914843, -79.91832196105085, -80.0, -80.0, -80.0, -80.0, -79.20959295431031, -80.0]","[-56.02139717090949, -55.607527600806385, -55.223538043592896, -54.881864678029366, -54.596055872846215, -54.379556682278874, -55.42408044144401, -54.94570401862903, -54.49511249750234, -54.08803079568848, -53.7425607568035, -53.477581508658474, -54.81219115561058, -54.25661158668012, -53.72359630384075, -53.23274074180428, -52.80828303938862, -52.47722053857125, -54.19313960328136, -53.545792163771, -52.91073491592394, -52.3115711762438, -51.78045434738231, -51.35654657738945, -53.578729151270764, -52.82397140373321, -52.06346566734405, -51.32364272821232, -50.64576091047557, -50.086816996937685, -52.986605085216915, -52.10973090336692]","[0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1038.4729410876157, 1437.3989991641906]",45,4,3.353506462832873,2.137789370200684,rectangle
51,"[[0.0, 0.0], [191.85714285714286, 0.0], [383.7142857142857, 0.0], [575.5714285714286, 0.0], [767.4285714285714, 0.0], [959.2857142857143, 0.0], [1151.142857142857, 0.0], [1343.0, 0.0], [0.0, 191.85714285714286], [191.85714285714286, 191.85714285714286], [383.7142857142857, 191.85714285714286], [575.5714285714286, 191.85714285714286], [767.4285714285714, 191.85714285714286], [959.2857142857143, 191.85714285714286], [1151.142857142857, 191.85714285714286], [1343.0, 191.85714285714286], [0.0, 383.7142857142857], [191.85714285714286, 383.7142857142857], [383.7142857142857, 383.7142857142857], [575.5714285714286, 383.7142857142857], [767.4285714285714, 383.7142857142857], [959.2857142857143, 383.7142857142857], [1151.142857142857, 383.7142857142857], [1343.0, 383.7142857142857], [0.0, 575.5714285714286], [191.85714285714286, 575.5714285714286], [383.7142857142857, 575.5714285714286], [575.5714285714286, 575.5714285714286], [767.4285714285714, 575.5714285714286], [959.2857142857143, 575.5714285714286], [1151.142857142857, 575.5714285714286], [1343.0, 575.5714285714286], [0.0, 767.4285714285714], [191.85714285714286, 767.4285714285714], [383.7142857142857, 767.4285714285714], [575.5714285714286, 767.4285714285714], [767.4285714285714, 767.4285714285714], [959.2857142857143, 767.4285714285714], [1151.142857142857, 767.4285714285714], [1343.0, 767.4285714285714], [0.0, 959.2857142857143], [191.85714285714286, 959.2857142857143], [383.7142857142857, 959.2857142857143], [575.5714285714286, 959.2857142857143], [767.4285714285714, 959.2857142857143], [959.2857142857143, 959.2857142857143], [1151.142857142857, 959.2857142857143], [1343.0, 959.2857142857143], [0.0, 1151.142857142857], [191.85714285714286, 1151.142857142857], [383.7142857142857, 1151.142857142857]]","[-71.41232202728501, -71.41232202728501, -72.07672683922013, -72.6854483332032, -73.195174874626, -73.55667587463833, -73.72609045661102, -73.73497429330229, -71.41232202728501, -72.22931470700078, -73.04492242922227, -73.8199878980993, -74.49426029696357, -74.98923839039664, -75.22669615751141, -75.16157213987329, -72.07672683922013, -73.04492242922227, -74.04996976380687, -75.05181040680228, -75.97214939230209, -76.6850369191327, -77.04067742586113, -76.94217021873749, -72.6854483332032, -73.8199878980993, -75.05181040680228, -76.35632841394151, -77.65157136712526, -78.74655671055211, -79.33339222662381, -79.16767622075427, -73.195174874626, -74.49426029696357, -75.97214939230209, -77.65157136712526, -79.50568331591661, -80.0, -80.0, -80.0, -73.55667587463833, -74.98923839039664, -76.6850369191327, -78.74655671055211, -80.0, -80.0, -80.0, -80.0, -73.72609045661102, -75.22669615751141, -77.04067742586113]","[-55.08235999223777, -54.45945981368578, -53.866716350242015, -53.332732395243355, -52.89299615714553, -52.58557631156829, -52.442848677050044, -52.48168239323425, -54.39247370612655, -53.652693968439785, -52.92832020200678, -52.25507418538315, -51.68300239409797, -51.27200121424959, -51.07772004984276, -51.13080994412317, -53.71159181110522, -52.8327036752231, -51.9413375790382, -51.078177315948714, -50.311477803774736, -49.73736045726397, -49.4580341400851, -49.534910292331666, -53.06623283735121, -52.02839973678495, -50.93090403348321, -49.810099586391665, -48.749321638564915, -47.90101134569886, -47.467129353252844, -47.5880977582134, -52.49382447495714, -51.287600568009466, -49.95142921845765, -48.494431231887646, -46.98621235152153, -45.64144455359744, -44.884403714434164, -45.101235260668915, -52.041143033503445, -50.67941547446175, -49.10145151786408, -47.25308234503384, -45.103045592363074, -42.80535235412035, -41.21044550555525, -41.69989108487299, -51.75687173197316, -50.28557846460501, -48.52313162675544]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1206.4214535029141, 1316.6306431883847]",48,2,3.494358186570941,2.4211368974247347,rectangle
38,"[[0.0, 0.0], [178.0, 0.0], [356.0, 0.0], [534.0, 0.0], [712.0, 0.0], [890.0, 0.0], [1068.0, 0.0], [0.0, 178.0], [178.0, 178.0], [356.0, 178.0], [534.0, 178.0], [712.0, 178.0], [890.0, 178.0], [1068.0, 178.0], [0.0, 356.0], [178.0, 356.0], [356.0, 356.0], [534.0, 356.0], [712.0, 356.0], [890.0, 356.0], [1068.0, 356.0], [0.0, 534.0], [178.0, 534.0], [356.0, 534.0], [534.0, 534.0], [712.0, 534.0], [890.0, 534.0], [1068.0, 534.0], [0.0, 712.0], [178.0, 712.0], [356.0, 712.0], [534.0, 712.0], [712.0, 712.0], [890.0, 712.0], [1068.0, 712.0], [0.0, 890.0], [178.0, 890.0], [356.0, 890.0]]","[-61.70807462598542, -61.70807462598542, -62.30671968440994, -62.86742070825315, -63.361126586292556, -63.753483534560814, -64.00985097818861, -61.70807462598542, -62.424161714970396, -63.139444014549696, -63.828547550529336, -64.45376316171512, -64.96522279466248, -65.30743395739925, -62.30671968440994, -63.139444014549696, -63.99624635339332, -64.8513770360375, -65.65897159521528, -66.34762415477218, -66.82539300738948, -62.86742070825315, -63.828547550529336, -64.8513770360375, -65.91724775741376, -66.97905467313831, -67.94124861477304, -68.64890661074716, -63.361126586292556, -64.45376316171512, -65.65897159521528, -66.97905467313831, -68.38752147547483, -69.78330081413658, -70.91726444370292, -63.753483534560814, -64.96522279466248, -66.34762415477218]","[-58.14282167770174, -56.86041622671525, -55.3669317065394, -53.586375827446915, -51.40269981215478, -48.6553762252714, -45.32972160503965, -58.01129199219674, -56.6827637498796, -55.11420286546666, -53.19971060575298, -50.74342326498589, -47.3174254039541, -41.66217273589997, -58.052566088554904, -56.73871498188412, -55.19427270020025, -53.32351412013849, -50.95907222242053, -47.77865208938075, -43.16059844673384, -58.26187532475642, -57.01962941251754, -55.58984271122635, -53.91804225875976, -51.93814906366291, -49.61408538851401, -47.18014589048892, -58.616533713720685, -57.48563822486673, -56.22482002560916, -54.821913998621845, -53.28948605392178, -51.71811799735946, -50.38515459024276, -59.083324759354866, -58.082136125740675, -57.00513418796885]","[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]","[1253.0705539932435, 224.82128817085385]",44,0,2.7672103070749916,4.833641599259142,rectangle
44,"[[0.0, 0.0], [100.16666666666667, 0.0], [200.33333333333334, 0.0], [300.5, 0.0], [400.6666666666667, 0.0], [500.83333333333337, 0.0], [601.0, 0.0], [0.0, 100.16666666666667], [100.16666666666667, 100.16666666666667], [200.33333333333334, 100.16666666666667], [300.5, 100.16666666666667], [400.6666666666667, 100.16666666666667], [500.83333333333337, 100.16666666666667], [601.0, 100.16666666666667], [0.0, 200.33333333333334], [100.16666666666667, 200.33333333333334], [200.33333333333334, 200.33333333333334], [300.5, 200.33333333333334], [400.6666666666667, 200.33333333333334], [500.83333333333337, 200.33333333333334], [601.0, 200.33333333333334], [0.0, 300.5], [100.16666666666667, 300.5], [200.33333333333334, 300.5], [300.5, 300.5], [400.6666666666667, 300.5], [500.83333333333337, 300.5], [601.0, 300.5], [0.0, 400.6666666666667], [100.16666666666667, 400.6666666666667], [200.33333333333334, 400.6666666666667], [300.5, 400.6666666666667], [400.6666666666667, 400.6666666666667], [500.83333333333337, 400.6666666666667], [601.0, 400.6666666666667], [0.0, 500.83333333333337], [100.16666666666667, 500.83333333333337], [200.33333333333334, 500.83333333333337], [300.5, 500.83333333333337], [400.6666666666667, 500.83333333333337], [500.83333333333337, 500.83333333333337], [601.0, 500.83333333333337], [0.0, 601.0], [100.16666666666667, 601.0]]","[-75.77006688452303, -75.77006688452303, -76.12632799695422, -76.47623978432063, -76.81550606322602, -77.13899617319021, -77.44076826954995, -75.77006688452303, -76.16157121249134, -76.55300694925393, -76.94070831026809, -77.31999636745113, -77.68506070239442, -78.02891272643984, -76.12632799695422, -76.55300694925393, -76.98325768224097, -77.41340666014528, -77.83851752247185, -78.25215643064556, -78.6462174566437, -76.47623978432063, -76.94070831026809, -77.41340666014528, -77.89089905741847, -78.36823507623126, -78.83854638416183, -79.29265828197353, -76.81550606322602, -77.31999636745113, -77.83851752247185, -78.36823507623126, -78.90459671900042, -79.44070686034803, -79.96661161623732, -77.13899617319021, -77.68506070239442, -78.25215643064556, -78.83854638416183, -79.44070686034803, -80.0, -80.0, -77.44076826954995, -78.02891272643984]","[-58.972147304168416, -58.424770618097924, -57.856125282302735, -57.26790463160885, -56.66358746850051, -56.04932383208975, -55.43510835772402, -58.67115664053134, -58.081705519698744, -57.46282452235212, -56.81447359790884, -56.13820061083847, -55.43823769511488, -54.723168493269945, -58.398727130337384, -57.76820531477276, -57.09924031139402, -56.389389055905895, -55.63720154558232, -54.8433510598729, -54.01263722505295, -58.16191955917095, -57.49319612463043, -56.77668733072581, -56.00696429867972, -55.17850795693431, -54.28651882356391, -53.328720264654415, -57.96779240362797, -57.26588938240289, -56.507314445785155, -55.68336051408073, -54.7837090586618, -53.796443172935255, -52.708699105955375, -57.82284747253354, -57.09500973844062, -56.30304051934955, -55.435166098471754, -54.476317841462006, -53.40697465924493, -52.201675678008726, -57.73240017884132, -56.98785292832713]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0]","[1209.786598577891, 705.8270934251794]",42,2,2.6874982301551062,5.878782468366184,rectangle
