num_samples,node_positions,node_rssi,node_noise,node_states,jammer_position,jammer_power,jammer_gain,pl_exp,sigma,node_placement
33,"[[949.0, 474.5], [940.4251668511544, 564.2997154490147], [915.0105842161265, 650.8538352108254], [873.6748013283955, 731.034067882681], [817.9118010808559, 801.942490948262], [749.7370035915335, 861.0162892478843], [671.6144236693951, 906.1203817957189], [586.3676148992232, 935.6245891695205], [497.07761905836577, 948.4625524423373], [406.97160923932626, 944.1702741725026], [319.30625140588353, 922.9028884801103], [237.2500000000001, 885.4290540957161], [163.76858174296228, 833.1031730310956], [101.51780654454745, 767.8164389616772], [52.747579613238884, 691.9284845596562], [19.220584019921034, 608.1820982212586], [2.148572739071369, 519.6040925478347], [2.148572739071369, 429.3959074521653], [19.22058401992092, 340.81790177874177], [52.74757961323883, 257.0715154403438], [101.51780654454723, 181.18356103832298], [163.76858174296217, 115.89682696890452], [237.2499999999998, 63.570945904283974], [319.30625140588336, 26.097111519889893], [406.97160923932614, 4.829725827497441], [497.07761905836577, 0.5374475576627447], [586.3676148992229, 13.375410830479382], [671.6144236693949, 42.87961820428097], [749.7370035915335, 87.98371075211566], [817.9118010808558, 147.05750905173784], [873.6748013283952, 217.96593211731863], [915.0105842161263, 298.14616478917435], [940.4251668511542, 384.70028455098515]]","[-59.597018363075705, -56.67189629496046, -51.35374789482847, -51.421141433196055, -41.90718817087557, -46.71796578739363, -47.12665049674265, -54.5768687432092, -49.0997221817008, -47.30983164335615, -47.737903540158825, -56.76477976708429, -63.08132579433996, -58.26480673751381, -43.29797532609069, -65.56387952600781, -40.10738264322493, -42.11280273903485, -72.09142274853943, -80.0, -64.28661436243056, -70.15661578888466, -79.07207736102647, -60.23476538828949, -48.1817445426988, -47.087834791886316, -66.53142441042664, -49.57746991961129, -56.88614700437381, -64.51369827034986, -47.844953304406296, -40.80369054766236, -61.96815901632051]","[-52.89107434220124, -53.68178887421958, -59.14475479824047, -50.04165439042232, -44.59614972949233, -49.12724124661173, -53.988555480537585, -53.0480179918327, -54.778982879018976, -54.2126530221679, -50.683884175020154, -43.33922321093573, -44.32838646314235, -42.53310236890173, -34.094883923762694, -32.03356686026839, -40.518419445184165, -43.72198277960869, -41.37010990805243, -54.50504303019666, -41.934357765027386, -47.54015019947917, -53.80342320124451, -47.94107111269639, -55.301045070405614, -48.31180263019164, -44.45864688387533, -56.71685566980525, -55.41058997285102, -60.108505056721924, -67.66341415380265, -60.5430180033877, -56.772325276624414]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[141.23159690379543, 576.4650289780434]",38,0,2.0517242436236502,5.546591059663081,circle
41,"[[733.0, 366.5], [728.7047753154977, 422.4459626662175], [715.9197776881321, 477.080599385138], [694.9446766262269, 529.1233205782407], [666.2711107210021, 577.3542889701245], [630.5711640546884, 620.6430115403566], [588.6816131192728, 657.9748373217108], [541.5843134847444, 688.4747399588605], [490.38318593671625, 711.4278275845093], [436.278341508851, 726.2960992788474], [380.53795189739793, 732.7310553551218], [324.4685245914862, 730.5818658969208], [269.38427944492344, 719.8989060835761], [216.57634447670392, 700.9325754386556], [167.28249292455232, 674.1274286773596], [122.6581308893202, 640.1117557207842], [83.74921559525791, 599.6828551126841], [51.46773903919075, 553.7883460173659], [26.570351671082335, 503.50395682964177], [9.640627148793953, 450.0083110129998], [1.075383866159143, 394.5553011645756], [1.075383866159143, 338.44469883542433], [9.64062714879401, 282.9916889869999], [26.570351671082392, 229.49604317035815], [51.4677390391908, 179.21165398263398], [83.74921559525797, 133.3171448873158], [122.65813088932029, 92.88824427921571], [167.28249292455254, 58.87257132264028], [216.57634447670415, 32.067424561344296], [269.38427944492355, 13.10109391642385], [324.4685245914864, 2.418134103079069], [380.53795189739793, 0.26894464487816094], [436.27834150885104, 6.70390072115265], [490.3831859367165, 21.57217241549074], [541.5843134847444, 44.52526004113963], [588.6816131192729, 75.02516267828929], [630.5711640546884, 112.35698845964336], [666.2711107210021, 155.6457110298756], [694.944676626227, 203.87667942175943], [715.9197776881321, 255.919400614862], [728.7047753154977, 310.5540373337826]]","[-80.0, -72.97948626003432, -64.01211404140221, -50.7827043667976, -66.59327296129173, -74.79154387626642, -69.39575272969664, -63.41640645988368, -80.0, -77.86619789345707, -80.0, -70.430171039952, -76.08888391807709, -63.80531715275327, -80.0, -64.01034746440342, -80.0, -73.45070575772988, -80.0, -78.45687564509221, -67.57055557380784, -80.0, -80.0, -75.4921074778264, -80.0, -80.0, -79.54994445739125, -80.0, -76.9024127222119, -80.0, -80.0, -80.0, -70.4707825514677, -78.80615486329903, -80.0, -69.90148410138815, -71.80893952072032, -59.13773718107954, -70.50523459233663, -68.27393366139728, -80.0]","[-56.063641243379465, -66.17146036031465, -51.81999846914592, -55.211309500682205, -61.79758935634595, -58.360693298587435, -62.02774702223704, -66.64711130019305, -57.81390852972688, -64.06085864317431, -58.553899173509684, -60.177195669382385, -58.481557984996996, -46.69969670334366, -56.664287089762894, -47.721049790687935, -46.30064039408532, -54.49490498781642, -48.10184007687808, -40.08057401309924, -36.61296035118794, -44.00305264134851, -31.965881827758295, -20.142503666078863, -38.5436460474704, -39.80119067793424, -51.53841488806688, -46.45838183216479, -40.6751285062267, -48.82844688201522, -57.461845827207696, -55.96042700063027, -50.32834224287676, -48.3314835982753, -56.99886150102279, -54.00029167827419, -55.54652502359528, -64.18827841900352, -66.47637881865259, -61.98846265475023, -50.740390250358004]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1]","[51.28972740998145, 238.2402893165922]",42,4,2.5478863766981825,5.4613091916049425,circle
29,"[[594.0, 297.0], [587.0563050458957, 360.8462207426742], [566.5498996422742, 421.7070631633986], [533.4396405145762, 476.73674191254827], [489.27372658020283, 523.362130372908], [436.1173068878377, 559.4030772004688], [376.45591654317855, 583.1743477782093], [313.079255849869, 593.5644239137838], [248.95074702382888, 590.0874771948332], [187.06896786404542, 572.906085785587], [130.32744158737248, 542.8236324525965], [81.37933889883013, 501.24673927946674], [42.513418678225975, 450.1194955815754], [15.547008158707683, 391.832554450386], [1.7410267251552227, 329.11134847191073], [1.7410267251552227, 264.8886515280893], [15.547008158707683, 202.16744554961394], [42.51341867822603, 143.88050441842452], [81.37933889883018, 92.75326072053323], [130.3274415873724, 51.176367547403544], [187.06896786404542, 21.093914214412962], [248.95074702382885, 3.912522805166759], [313.079255849869, 0.4355760862162015], [376.45591654317866, 10.82565222179079], [436.1173068878377, 34.59692279953123], [489.2737265802029, 70.63786962709204], [533.4396405145762, 117.26325808745182], [566.5498996422741, 172.2929368366013], [587.0563050458957, 233.15377925732577]]","[-80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -75.339454289933, -78.7079588080328, -70.35814012889563, -72.16331223644293, -78.99004781578272, -76.18642283807709, -80.0, -63.13472837367438, -73.82982489636528, -77.1479477553373, -76.0534963908861, -80.0, -74.90685396738559, -80.0, -64.92231768882323, -80.0, -69.98867265806119, -71.88595659956152, -78.00302275955693, -80.0, -80.0, -71.73083941075268]","[-71.73097575832826, -74.07620975771226, -80.06157687542984, -72.57777788857423, -76.3357239863449, -78.92109964397866, -81.56474538056884, -75.39704299820505, -77.93612651151489, -79.8996946051224, -78.94411853521368, -70.926549085943, -76.18349608166417, -81.37914910958324, -72.57317041372488, -71.49572960310418, -74.58199006432692, -78.5635914494758, -73.87566207191136, -65.78184886822197, -66.73672559191675, -60.154971012818194, -64.1926056024589, -51.45637647599511, -48.851591825564114, -46.52528376356098, -66.79757598940634, -60.76182122597835, -72.61444405903612]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[406.1405810707109, 81.70934796174683]",36,3,3.1423638920974972,4.749223739107462,circle
36,"[[1309.0, 654.5], [1299.0566743464901, 768.1527322830059], [1269.528820304377, 878.3521838066501], [1221.313626776915, 981.75], [1155.876088021371, 1075.20449053984], [1075.20449053984, 1155.876088021371], [981.75, 1221.313626776915], [878.3521838066503, 1269.528820304377], [768.152732283006, 1299.0566743464901], [654.5, 1309.0], [540.8472677169941, 1299.0566743464901], [430.64781619334985, 1269.528820304377], [327.25000000000017, 1221.313626776915], [233.79550946015996, 1155.876088021371], [153.12391197862894, 1075.2044905398402], [87.68637322308484, 981.75], [39.47117969562305, 878.3521838066503], [9.943325653509874, 768.1527322830061], [0.0, 654.5000000000001], [9.94332565350976, 540.8472677169943], [39.471179695622936, 430.64781619334985], [87.68637322308484, 327.25000000000017], [153.12391197862888, 233.79550946016008], [233.7955094601599, 153.12391197862894], [327.2499999999997, 87.68637322308507], [430.6478161933494, 39.47117969562305], [540.8472677169941, 9.943325653509874], [654.4999999999999, 0.0], [768.1527322830057, 9.94332565350976], [878.3521838066498, 39.47117969562282], [981.75, 87.68637322308496], [1075.20449053984, 153.12391197862883], [1155.8760880213708, 233.79550946015985], [1221.313626776915, 327.2499999999997], [1269.528820304377, 430.64781619334934], [1299.0566743464901, 540.8472677169941]]","[-71.0640713374076, -51.98677412229995, -60.33071779180169, -53.17489842375241, -58.29578079025028, -57.93505857628898, -49.877205319049665, -63.78942148923449, -63.84833188651784, -65.24587739971271, -53.828171632811376, -61.87350436270144, -64.31943066839959, -62.27660185573264, -71.8108162257961, -60.75568412759816, -66.36619417511507, -77.93380651271707, -70.74389158952539, -68.19348952303784, -78.37171671676906, -80.0, -80.0, -78.65305396563512, -79.284015859895, -67.31340031842478, -80.0, -68.79225886098621, -77.5037723516919, -64.41288053133927, -55.75309282802347, -62.54153998589464, -63.60903797082052, -54.171401144381306, -54.383597104223796, -51.30845240937599]","[-75.44251730332665, -71.06138215112752, -74.11924513599591, -72.6547545566705, -80.6085992451747, -74.28386671621527, -67.5562589895951, -85.52445881729011, -83.39696582176879, -76.99575323127289, -80.42188363707754, -67.42481829736134, -68.70961814454736, -79.11531083630842, -76.4359412313543, -74.29876347542879, -60.67572733664646, -64.74259023100876, -61.73523988759239, -45.58893642254041, -42.454287466803706, -54.36296031993066, -59.40688783878151, -66.37350782427859, -63.03304566765352, -70.52068259985711, -74.53533556097943, -75.11850214502411, -78.90444552080194, -65.83829738922454, -74.07735369737978, -69.98211771997063, -80.22078425064626, -76.0740031710224, -77.77009366017106, -77.62426270840878]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[44.289998893620776, 478.7583189192199]",38,1,2.788428089246633,5.799740710053176,circle
24,"[[615.0, 307.5], [604.5221915838886, 387.0868563690251], [573.8028116637149, 461.25], [524.9353352148634, 524.9353352148634], [461.25, 573.8028116637149], [387.0868563690252, 604.5221915838885], [307.5, 615.0], [227.9131436309749, 604.5221915838886], [153.75000000000006, 573.8028116637149], [90.06466478513664, 524.9353352148634], [41.197188336285194, 461.2500000000001], [10.477808416111543, 387.0868563690252], [0.0, 307.50000000000006], [10.477808416111486, 227.913143630975], [41.19718833628508, 153.75000000000009], [90.06466478513653, 90.06466478513676], [153.74999999999986, 41.197188336285194], [227.91314363097462, 10.477808416111543], [307.49999999999994, 0.0], [387.086856369025, 10.477808416111486], [461.2499999999998, 41.19718833628497], [524.9353352148632, 90.06466478513659], [573.8028116637148, 153.74999999999986], [604.5221915838885, 227.91314363097462]]","[-64.83072121215302, -64.9048217717783, -69.2366580986202, -78.49196470878002, -56.76551503664569, -74.8358222956396, -70.4717070619981, -60.12856450013219, -63.081816775921524, -65.48480439807724, -69.29006568439844, -71.63348594207613, -75.76444055849709, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -76.81352633995168, -66.20777921384258, -67.29012726231575, -65.69039449322803, -67.81013521199681]","[-56.92236936185327, -56.92359203812628, -53.8782186111111, -56.180375504294105, -55.83411969459915, -47.255651265429094, -42.90603054210066, -42.17728136718038, -35.25583984913676, -36.3942533011199, -40.69334472074898, -48.00960125664084, -46.761116329872024, -53.9378887634099, -58.60347548540582, -52.57825304468418, -55.747207476507924, -57.888960474128524, -62.25674447525026, -63.541486491417146, -60.104314117325615, -62.40257758414068, -56.66957374643519, -55.34220405024573]","[0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[179.0364102556627, 513.1337660430896]",47,0,2.751104050468534,3.2556937257788188,circle
20,"[[899.0, 449.5], [876.9999040746716, 588.4031389715389], [813.1531389715389, 713.7094709054667], [713.7094709054667, 813.1531389715389], [588.4031389715389, 876.9999040746716], [449.5, 899.0], [310.59686102846115, 876.9999040746716], [185.29052909453338, 813.1531389715389], [85.84686102846115, 713.7094709054668], [22.00009592532848, 588.403138971539], [0.0, 449.50000000000006], [22.000095925328424, 310.5968610284612], [85.84686102846109, 185.29052909453338], [185.29052909453327, 85.84686102846115], [310.59686102846103, 22.00009592532848], [449.49999999999994, 0.0], [588.4031389715387, 22.000095925328424], [713.7094709054666, 85.84686102846109], [813.1531389715389, 185.2905290945332], [876.9999040746716, 310.59686102846103]]","[-64.78538584580362, -76.22011781344116, -69.43771826381187, -80.0, -63.881057204536916, -75.42355614240918, -80.0, -64.81481787579688, -61.396318210733185, -71.1412576026515, -79.34795373630827, -80.0, -80.0, -80.0, -80.0, -80.0, -76.91945010872395, -71.70400726420311, -68.38991682930276, -69.82637544887261]","[-72.04394144190414, -62.64732585120698, -67.52556717663782, -73.98169389052909, -60.05130568400049, -67.41565544644133, -62.226361291138154, -59.096921489713914, -61.198401085342454, -62.3621101132889, -62.045509302084895, -45.032940923174074, -41.285152469203595, -37.89835154193647, -59.00601780767303, -56.27118951559577, -58.087182231698044, -62.63414728485196, -62.78125603207591, -61.125083108255076]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[207.06997487146765, 228.71234312950648]",38,4,2.6071240474644903,4.566534738451802,circle
26,"[[1168.0, 584.0], [1151.0300213768144, 723.7603479439338], [1101.1063189814745, 855.3983324735608], [1021.1302769319232, 971.2636324126242], [915.7498120909951, 1064.6225776818953], [791.0892540328409, 1130.0494857282822], [654.3934212691088, 1163.7419824732635], [513.6065787308914, 1163.7419824732635], [376.9107459671593, 1130.0494857282822], [252.2501879090051, 1064.6225776818953], [146.86972306807712, 971.2636324126246], [66.89368101852551, 855.3983324735609], [16.96997862318574, 723.760347943934], [0.0, 584.0000000000001], [16.96997862318551, 444.23965205606646], [66.8936810185254, 312.6016675264392], [146.86972306807684, 196.73636758737575], [252.25018790900492, 103.37742231810466], [376.9107459671591, 37.95051427171779], [513.606578730891, 4.258017526736467], [654.3934212691082, 4.258017526736467], [791.0892540328407, 37.95051427171779], [915.7498120909949, 103.37742231810455], [1021.1302769319228, 196.7363675873754], [1101.1063189814745, 312.6016675264388], [1151.0300213768141, 444.2396520560658]]","[-72.80479021450306, -80.0, -69.6470473905915, -69.46234916144053, -74.0090054224695, -76.63561679398843, -73.61493971508072, -72.2904534369179, -73.18363095016575, -67.06389015852965, -71.7791437522335, -68.89056988189265, -75.36662116543758, -67.48110212807569, -62.53242415244374, -69.32640759009023, -69.04669586030101, -65.3668589359616, -68.51183667632978, -59.386410321759584, -71.52944223123416, -72.13093526493975, -74.90434926619407, -68.87719782134646, -78.31837550569563, -74.43397184213612]","[-52.41472860531491, -55.22080870759643, -56.924665613299496, -51.601859796853525, -55.26259276758449, -59.084404326598104, -53.866566441199566, -59.36042471027682, -55.9919790624437, -60.7947449104761, -57.26156607130065, -56.53105163266225, -53.150722767319756, -51.04335300867081, -52.67389284531588, -49.95268081910463, -49.249474090589416, -49.29349087995001, -42.76024880600768, -38.178069485374834, -30.63218682471629, -30.242979894813274, -40.97393941437708, -46.319281415308836, -48.23855613646703, -49.14255052750579]","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[710.8805588041978, 81.06953337951235]",39,2,2.1230654305108287,2.8693503200011516,circle
20,"[[932.0, 466.0], [909.1923365935415, 610.0019193787255], [843.0019193787255, 739.9079275682925], [739.9079275682925, 843.0019193787255], [610.0019193787255, 909.1923365935415], [466.00000000000006, 932.0], [321.99808062127454, 909.1923365935415], [192.09207243170755, 843.0019193787255], [88.99808062127454, 739.9079275682925], [22.80766340645846, 610.0019193787256], [0.0, 466.00000000000006], [22.807663406458403, 321.99808062127454], [88.99808062127443, 192.09207243170755], [192.0920724317075, 88.99808062127454], [321.9980806212744, 22.80766340645846], [465.9999999999999, 0.0], [610.0019193787255, 22.807663406458403], [739.9079275682924, 88.99808062127443], [843.0019193787255, 192.09207243170744], [909.1923365935415, 321.9980806212744]]","[-62.71276195893502, -70.79986670448521, -64.32846354488062, -63.77468417310533, -72.83394575440761, -77.73286168691686, -63.279564634090036, -65.28163254348468, -71.85375920459936, -77.96077133228079, -73.29428204409616, -73.64870072018785, -80.0, -80.0, -80.0, -79.51729330760878, -78.3615567510737, -68.37420976423618, -74.08255606516062, -67.96482418505043]","[-62.6242615607446, -66.03760398486574, -63.70848846846361, -58.23838831875608, -62.68200674033358, -58.8895339442991, -54.1493707203874, -53.41640759696395, -48.27142873730958, -45.16724318846947, -50.55712547949946, -57.91679394509253, -58.350192532036715, -62.68492496189266, -68.8238431995344, -61.97147457813071, -64.2016002230406, -61.3759994042081, -67.90574170309098, -66.35979022829802]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[30.751994319434214, 843.8084933858955]",28,1,2.0700224492813764,3.3579294560637254,circle
38,"[[1413.0, 706.5], [1403.3642608540233, 822.7860780333385], [1374.7198812614984, 935.9001749931089], [1327.8482052273844, 1042.7568331806924], [1264.027769888552, 1140.4412815152502], [1184.9994303535861, 1226.2889428905673], [1092.9188737134946, 1297.9581168924765], [990.297817517323, 1353.493855281798], [879.9354966649746, 1391.3812878861368], [764.8423075762029, 1410.5869443092124], [648.1576924237972, 1410.5869443092124], [533.0645033350254, 1391.3812878861368], [422.70218248267724, 1353.493855281798], [320.08112628650554, 1297.9581168924765], [228.00056964641408, 1226.2889428905676], [148.97223011144797, 1140.4412815152505], [85.15179477261552, 1042.7568331806924], [38.28011873850164, 935.900174993109], [9.635739145976686, 822.7860780333386], [0.0, 706.5000000000001], [9.635739145976572, 590.2139219666616], [38.28011873850153, 477.09982500689114], [85.15179477261552, 370.2431668193076], [148.97223011144786, 272.5587184847497], [228.00056964641368, 186.71105710943277], [320.08112628650537, 115.04188310752363], [422.7021824826768, 59.506144718201995], [533.0645033350254, 21.618712113863126], [648.1576924237969, 2.4130556907877008], [764.8423075762028, 2.4130556907877008], [879.9354966649744, 21.618712113863012], [990.297817517323, 59.506144718201995], [1092.9188737134943, 115.0418831075234], [1184.9994303535857, 186.7110571094321], [1264.027769888552, 272.55871848474953], [1327.8482052273844, 370.2431668193071], [1374.7198812614984, 477.0998250068909], [1403.364260854023, 590.213921966661]]","[-80.0, -80.0, -74.42403611761723, -80.0, -80.0, -79.00085202854711, -79.56945257395407, -80.0, -76.95015688507851, -80.0, -68.64710099053329, -67.24162236554689, -70.48262009233041, -69.88767710672911, -63.8462795195915, -72.0873937680265, -71.86187145768216, -78.2957921821716, -78.95364640296219, -75.7962427730919, -65.88022625830402, -67.78738694886272, -65.53100148325463, -57.96971706181665, -74.53745324592606, -70.09943505264913, -71.65808796417849, -73.4828177770739, -80.0, -65.1627538886608, -64.54388093894524, -74.98617473040481, -64.05138523102477, -61.10671864510533, -75.57243586753688, -68.84429824009953, -76.27323118056393, -77.82419834035464]","[-45.19888887703008, -45.482550342702446, -38.94745366206001, -47.79077048883558, -34.96588837164476, -32.88034748609576, -39.458296055036605, -36.528235689016114, -43.264791793714124, -47.9254491401758, -47.80852378165706, -50.677939342171, -51.97985803128311, -47.61403359228293, -49.92698638014843, -49.00584853257194, -55.70434143982142, -53.34642927810606, -55.593807319516614, -54.6103568732816, -58.30378023255928, -62.1094421977042, -58.57025820180125, -61.059152242869644, -54.366270213428024, -61.51705554541037, -53.85676856010073, -61.78403863072976, -58.99342339351405, -55.8572395812384, -50.503315431098926, -57.588465101705864, -56.502567461788885, -52.34671385592756, -51.04091003365842, -55.74760836999168, -53.7856966834983, -49.911830766856085]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1]","[1074.3284053942284, 1155.141320894613]",44,2,2.3095924299878483,3.571875864877937,circle
29,"[[701.0, 350.5], [692.8055047763853, 425.84713929396395], [668.6051845946704, 497.67113009687273], [629.5306195298281, 562.6135624254148], [577.4088928160306, 617.6378003222366], [514.6771584652764, 660.1709715783311], [444.26868265449184, 688.2242723779877], [369.47568745918886, 700.4859615548189], [293.79541020825593, 696.3826961508049], [220.76657655335998, 676.1063402957855], [153.803933590485, 640.6049938539902], [96.03858008094264, 591.5386603281249], [50.17155975325994, 531.201626940546], [18.347563500427725, 462.4151863126609], [2.0546460173969763, 388.3957159575916], [2.0546460173969763, 312.60428404240844], [18.347563500427725, 238.58481368733902], [50.17155975326, 169.79837305945384], [96.03858008094267, 109.4613396718751], [153.80393359048495, 60.395006146009905], [220.76657655335998, 24.8936597042146], [293.79541020825593, 4.617303849195082], [369.47568745918886, 0.514038445181086], [444.26868265449195, 12.775727622012369], [514.6771584652765, 40.82902842166902], [577.4088928160306, 83.3621996777635], [629.5306195298282, 138.3864375745854], [668.6051845946704, 203.32886990312713], [692.8055047763853, 275.15286070603594]]","[-66.70237663351557, -71.87260462214385, -63.009936969682016, -64.48573455619794, -68.37679254038261, -67.58185573033731, -65.07420932121272, -69.50073008535678, -68.47876921404382, -60.93003491615043, -70.53539660556939, -71.21020358184781, -64.25939531076278, -66.00284644304884, -69.95638580981469, -71.22163729517416, -80.0, -80.0, -78.27957687005467, -79.48414493926539, -77.32374230790339, -66.4593852318998, -72.71674468561717, -68.51446951989276, -70.6726840005385, -69.32665134140079, -57.491536430033264, -62.68216768225055, -59.94913086945]","[-60.52118955276815, -64.16258067865148, -59.351765363847846, -63.210193668158034, -61.00950139165551, -55.6259531176201, -57.97974798206113, -59.576687178260556, -53.204306248590726, -55.563791014073836, -55.29442780639453, -48.66626067760137, -54.80484002537209, -45.986830238715314, -39.94919734352517, -41.346429070990105, -26.164289134922022, -34.520986512779864, -49.11021336599469, -49.02567683627923, -52.38924962590915, -47.98223995911936, -49.976479409423064, -56.13876335143112, -59.178674699195, -64.95285024177636, -57.66844436269218, -59.92223219087913, -62.673793159642244]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[35.18603675860723, 231.20536639563147]",34,0,2.2141358659964063,2.5634233243861098,circle
