num_samples,node_positions,node_rssi,node_noise,node_states,jammer_position,jammer_power,jammer_gain,pl_exp,sigma,node_placement
34,"[[1256.0, 628.0], [1245.3071066014904, 743.3946971888062], [1213.5925600659355, 854.8597663655321], [1161.9363612381976, 958.5993982869794], [1092.0976000145738, 1051.0808642100378], [1006.4545516461731, 1129.1548187319904], [907.923687427666, 1190.1625469709793], [799.860357765268, 1232.0265039125304], [685.9445297429537, 1253.3210627132817], [570.0554702570464, 1253.3210627132817], [456.1396422347319, 1232.0265039125304], [348.076312572334, 1190.1625469709793], [249.54544835382706, 1129.1548187319904], [163.90239998542614, 1051.080864210038], [94.06363876180228, 958.5993982869794], [42.40743993406454, 854.8597663655321], [10.692893398509682, 743.3946971888062], [0.0, 628.0000000000001], [10.692893398509682, 512.605302811194], [42.407439934064655, 401.14023363446785], [94.0636387618024, 297.40060171302054], [163.9023999854261, 204.91913578996207], [249.54544835382688, 126.84518126800958], [348.07631257233413, 65.83745302902082], [456.1396422347318, 23.973496087469584], [570.0554702570464, 2.6789372867183374], [685.9445297429534, 2.6789372867183374], [799.860357765268, 23.973496087469584], [907.9236874276662, 65.83745302902093], [1006.4545516461728, 126.84518126800947], [1092.097600014574, 204.91913578996213], [1161.9363612381976, 297.4006017130203], [1213.5925600659355, 401.1402336344679], [1245.3071066014904, 512.605302811194]]","[-80.0, -80.0, -77.63195633499537, -78.74908708034734, -80.0, -78.4606649520833, -80.0, -80.0, -80.0, -75.01909785528659, -75.58167005830788, -72.49503090957994, -78.47297806646459, -68.20921046102619, -65.55140491693302, -76.912543511888, -70.48592872120359, -72.1639741956441, -77.71651069530807, -80.0, -74.94585432133424, -80.0, -80.0, -77.3633080242032, -75.00986636322772, -64.1547372499967, -74.25194234706558, -73.47876169612067, -77.5887961105507, -80.0, -74.72120480986023, -76.25286590750392, -71.3137259114234, -80.0]","[-60.91728004372109, -63.44387511168626, -53.29611076869141, -53.71001772773697, -49.54292425629206, -52.981536749578986, -44.50793836758101, -31.248078292372902, -32.72267872865544, -46.80085476958613, -49.59532998879756, -51.86512330478362, -57.11142827009428, -57.8506644752152, -57.86534950218126, -57.37079391456856, -66.88167555029634, -66.83885217119871, -63.574993185961176, -68.61852244479265, -61.68774922776018, -62.71589290725117, -68.12957446437046, -68.77558055141827, -69.58790604914539, -65.1243083297875, -66.23014097485924, -63.61969149309124, -69.19491049570357, -67.65194765280584, -58.500292044000844, -61.89600991965365, -64.92469627800897, -59.54857579518393]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[756.5141173631113, 1265.6892989324292]",47,4,2.737455973084589,2.6264383737155828,circle
33,"[[1039.0, 519.5], [1029.6119582279762, 617.8160214452331], [1001.7871412018496, 712.5786457155401], [956.5312103057986, 800.3629046681829], [895.4798327955839, 877.9960464649571], [820.8395645222374, 942.6722070901494], [735.30809925448, 992.0538215866723], [641.9767669971475, 1024.35610974408], [544.2188052704341, 1038.4115827055725], [445.56744151702844, 1033.7122390571446], [349.58819305659955, 1010.4279253222703], [259.7500000000001, 969.400197266016], [179.29984871542445, 912.1119038770371], [111.14541728112198, 840.6335933416046], [57.74998442376733, 757.5486780373898], [21.04340020726869, 665.8600632791229], [2.3523362232825775, 568.881614496523], [2.3523362232825775, 470.1183855034771], [21.043400207268576, 373.1399367208775], [57.74998442376727, 281.45132196261034], [111.14541728112175, 198.3664066583957], [179.29984871542433, 126.8880961229629], [259.7499999999998, 69.59980273398429], [349.5881930565993, 28.572074677729802], [445.5674415170283, 5.287760942855471], [544.2188052704341, 0.5884172944273587], [641.9767669971471, 14.643890255919985], [735.3080992544798, 46.94617841332763], [820.8395645222373, 96.32779290985053], [895.4798327955839, 161.0039535350428], [956.5312103057984, 238.63709533181674], [1001.7871412018496, 326.42135428445954], [1029.6119582279762, 421.18397855476667]]","[-49.350619306647474, -54.48883988363966, -49.70286718509074, -59.84300391894858, -62.16959056145838, -62.38194515325075, -60.49683519706562, -58.93749234419121, -68.1810880516669, -64.19601633361582, -55.9481730301645, -56.06486839759408, -51.791253673262375, -69.5260323165061, -51.482520979110014, -63.06889110134887, -66.47592695111132, -75.76987785476058, -80.0, -71.6550189407327, -80.0, -78.725589448645, -61.29587645005942, -71.31119211359623, -74.05749623453639, -76.48249935680022, -71.33107102213657, -65.89077676099711, -73.6598441587794, -52.23574590310419, -58.72366453724398, -57.47424557154386, -65.90121199869598]","[-60.21776729481796, -58.50541301505857, -54.94980971266591, -51.45401999152155, -56.1061110906404, -56.22091019415849, -51.60846844488881, -50.20164020982485, -48.97013772471632, -50.10132339309163, -44.44005950594593, -52.66280319348315, -48.87901342650601, -48.723723097762594, -51.90403899681634, -55.79819836527144, -52.165082888750206, -51.907404869255956, -55.69490235058118, -60.178753061018135, -53.75728848818136, -61.18859046548546, -61.64031629349553, -60.15660795381753, -54.45656791162082, -65.64285839231533, -62.7281017399001, -61.320829182043425, -61.99205403980456, -55.262492224032364, -61.210829316571456, -51.21359246850002, -55.565662706311244]","[0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[51.63640220700605, 1414.22564655754]",40,3,2.186851552910414,3.713418242100583,circle
37,"[[801.0, 400.5], [795.2391720942572, 468.18482853890055], [778.1224169071643, 533.922487794194], [750.1421523210558, 595.8218249973606], [712.103319604535, 652.1021089169047], [665.1002267177277, 701.1442582537161], [610.4850670646713, 741.5374196621912], [549.8290193510136, 772.119555432252], [484.87704763328844, 792.0108731985483], [417.49770188005743, 800.6391359649749], [349.62936319137515, 797.7561243211802], [283.2244801037416, 783.44477726307], [220.1934002005218, 758.1168061889022], [162.34941289013324, 722.5008507119596], [111.35658437121299, 677.6215170255073], [68.68188547784126, 624.769901848107], [35.55298959955172, 565.4664499217191], [12.922954753133752, 501.41721358474274], [1.4428058387181295, 434.46477275244155], [1.4428058387181295, 366.53522724755874], [12.922954753133638, 299.58278641525754], [35.552989599551665, 235.53355007828097], [68.6818854778412, 176.23009815189306], [111.35658437121288, 123.37848297449278], [162.34941289013327, 78.49914928804026], [220.19340020052172, 42.88319381109784], [283.2244801037416, 17.555222736929977], [349.62936319137486, 3.2438756788198475], [417.4977018800574, 0.36086403502503117], [484.87704763328816, 8.989126801451619], [549.8290193510135, 28.880444567747986], [610.4850670646711, 59.462580337808674], [665.1002267177275, 99.8557417462838], [712.103319604535, 148.89789108309526], [750.1421523210558, 205.1781750026392], [778.1224169071642, 267.0775122058059], [795.2391720942571, 332.8151714610992]]","[-80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -75.71709079343708, -80.0, -75.61422135258053, -75.77674968373579, -79.2451718391271, -63.280598648389976, -76.27855781766326, -80.0, -80.0, -65.24800569356063, -76.7656247758448, -68.27587404617998, -80.0, -74.2027866535413, -65.56274727505992, -77.1137088329447, -79.50245378953393, -80.0, -75.63723190380047, -78.34425266125817, -78.54080593446783, -72.42982578208573, -71.57792420957075, -75.52267123197565, -70.37521364494621, -74.58624194672433, -75.47451688596007, -80.0, -80.0]","[-59.90509860740117, -59.23046296338046, -58.1157850513975, -61.354489581345454, -64.38998013281966, -52.98541050345228, -57.72587605549158, -56.83888755415589, -53.362664721046585, -50.79133847521908, -55.38970293000828, -49.72595370332462, -62.67725061069961, -57.62075346223311, -55.33145876543955, -60.75339705467931, -58.785282615535806, -63.97827384593822, -65.02013939282193, -57.555649756803064, -63.231887642521684, -67.64928801066729, -58.85591413364498, -61.244479800566644, -66.26386422011313, -63.94189024839402, -64.8319000979877, -69.20414281246774, -68.51042919609117, -63.05495441174183, -60.321744941285544, -63.11730979754883, -65.22686643847665, -59.866505992871836, -61.00878149599447, -64.00040409209643, -59.32118362481698]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[837.1166386854084, 1175.0300131885501]",48,1,2.604208590252453,3.367016348167125,circle
38,"[[1236.0, 618.0], [1227.5712855028823, 719.7194567934936], [1202.5150553709923, 818.6642719684944], [1161.5147782456102, 912.1354888969115], [1105.6888348069713, 997.5834564422147], [1036.560011264708, 1072.6773767959953], [956.0139617196598, 1135.3688835662426], [866.2477724355351, 1183.9479158728254], [769.710031053014, 1217.089364350506], [669.0340355019014, 1233.889216678122], [566.9659644980986, 1233.889216678122], [466.28996894698616, 1217.089364350506], [369.752227564465, 1183.9479158728254], [279.9860382803403, 1135.3688835662429], [199.43998873529216, 1072.6773767959955], [130.31116519302884, 997.5834564422148], [74.48522175438984, 912.1354888969115], [33.48494462900783, 818.6642719684945], [8.428714497117653, 719.7194567934937], [0.0, 618.0000000000001], [8.42871449711754, 516.2805432065065], [33.484944629007714, 417.33572803150565], [74.48522175438973, 323.86451110308855], [130.31116519302873, 238.4165435577853], [199.43998873529182, 163.3226232040049], [279.98603828034015, 100.63111643375737], [369.75222756446465, 52.05208412717457], [466.28996894698616, 18.910635649493884], [566.9659644980984, 2.110783321877989], [669.0340355019014, 2.110783321877989], [769.7100310530136, 18.91063564949377], [866.2477724355351, 52.05208412717457], [956.0139617196596, 100.63111643375726], [1036.5600112647076, 163.32262320400434], [1105.688834806971, 238.41654355778513], [1161.5147782456102, 323.86451110308815], [1202.5150553709923, 417.3357280315055], [1227.5712855028823, 516.2805432065061]]","[-57.97311629527247, -77.63348961497657, -63.95860069498985, -66.93684626372756, -57.58833608570398, -53.28852466203133, -67.89122483585751, -67.31287414455603, -67.46117447059227, -68.6840604892478, -69.24931358702409, -64.11511816157653, -68.35003389889535, -62.865357550838766, -68.45140662676799, -59.278617997590246, -69.99977619198656, -75.71940344276592, -63.18552720101522, -65.73783445267848, -75.21794866047308, -80.0, -67.28614832124394, -77.34554309547356, -80.0, -76.33668217005787, -68.72616506310965, -74.1432307967038, -80.0, -80.0, -54.00481357221756, -56.97746232131372, -65.96399821354794, -60.14902515508206, -63.881839025215385, -60.32428383257839, -64.54555932196256, -60.80076696792808]","[-60.54611579287466, -64.30106628810594, -57.14300413178446, -58.258163651619554, -59.68305225032814, -62.73546682370003, -54.28891917638897, -59.87228717190442, -45.76772774726092, -52.641611040923976, -50.584226192949444, -52.189346643631396, -41.6064862020367, -53.43971158800365, -56.74230459563454, -47.41811393353145, -55.13640182068359, -61.28495586142957, -60.60115801367304, -64.41925092444161, -64.66213958688228, -70.65895014035199, -62.74116390660953, -55.00830420917573, -63.208781141645815, -76.28495564084153, -63.84713436660232, -67.90050468618522, -67.22873341674999, -76.14109673092959, -72.93430122491432, -73.48334720925938, -66.25562155891981, -66.31256669333762, -59.042225736722045, -65.18369969250115, -61.409279760013035, -67.4328392552435]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[341.7902392876838, 1383.5493488062275]",30,4,2.1864209471909195,4.820586786679316,circle
30,"[[1438.0, 719.0], [1422.2881249276063, 868.488505697969], [1375.83918404503, 1011.4436463715003], [1300.683218955587, 1141.6175963982882], [1200.104905972019, 1253.3211295182464], [1078.5, 1341.6722653210113], [941.1832189555872, 1402.8096352162154], [794.155965089443, 1434.0612427697884], [643.8440349105573, 1434.0612427697886], [496.8167810444129, 1402.8096352162156], [359.50000000000017, 1341.6722653210113], [237.89509402798114, 1253.3211295182466], [137.3167810444129, 1141.6175963982882], [62.160815954970076, 1011.4436463715006], [15.71187507239381, 868.4885056979692], [0.0, 719.0000000000001], [15.711875072393696, 569.5114943020312], [62.16081595496985, 426.55635362849995], [137.31678104441266, 296.38240360171187], [237.89509402798075, 184.67887048175373], [359.49999999999966, 96.3277346789888], [496.81678104441266, 35.19036478378462], [643.8440349105566, 3.938757230211536], [794.1559650894425, 3.938757230211422], [941.1832189555871, 35.1903647837845], [1078.4999999999995, 96.32773467898835], [1200.1049059720187, 184.67887048175328], [1300.683218955587, 296.38240360171164], [1375.83918404503, 426.55635362849915], [1422.288124927606, 569.5114943020307]]","[-56.94621423793157, -57.339620259123926, -62.05523717344113, -58.74005278543905, -60.74195324760689, -65.60863733791815, -59.529463276510334, -55.6416925252879, -63.58494236338372, -61.25858549973252, -62.37294949473411, -50.71381779365882, -58.79147501672568, -50.40009668950955, -55.30691540268991, -56.26253224946922, -49.65489127488803, -51.909138766126, -54.08044883921079, -55.52797665978721, -56.11477380939972, -50.02892654404424, -46.11202965252649, -58.57012072567865, -54.905807898310044, -53.123115137511746, -52.73433209753148, -47.96362614150683, -57.93823017229081, -53.84310601014198]","[-52.27184779024567, -53.69383667295011, -49.78419188462471, -44.15043027610298, -49.778329476806775, -44.58483333392641, -35.17088731851773, -24.093183556894093, -39.18644082232889, -42.74523790551779, -40.85926234710249, -50.634815215851184, -53.73733834135414, -52.18205556659612, -53.30065991058091, -56.9485927554416, -56.214841266284395, -57.32328227810924, -58.20343997785176, -55.77869375086951, -61.856154349602534, -56.57769166646623, -57.0239190200898, -59.9060566902252, -58.15532623398202, -61.74884396403094, -58.389554918436886, -55.46509005277349, -59.35897281454893, -56.3090165104565]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[806.8096989771418, 1461.039863796808]",39,1,2.083755717338544,2.751901246426821,circle
27,"[[1318.0, 659.0], [1300.236569712104, 810.9758588192681], [1247.9039099731285, 954.7586597521046], [1163.8232880154064, 1082.5970347834293], [1052.5275119321361, 1187.5991840255738], [920.0165658198043, 1264.1044144341006], [773.4341490825071, 1307.988309235045], [620.6825577479965, 1316.8850763007658], [469.99666964339156, 1290.3150886159071], [329.50000000000017, 1229.7107410939452], [206.76676064450464, 1138.3392297966393], [108.41353227887498, 1021.1264165486614], [39.74256290208643, 884.3912744516158], [4.455922248059551, 735.5052304085268], [4.455922248059551, 582.4947695914733], [39.74256290208632, 433.6087255483843], [108.41353227887487, 296.87358345133885], [206.76676064450453, 179.66077020336098], [329.4999999999997, 88.28925890605512], [469.9966696433913, 27.684911384092857], [620.6825577479962, 1.1149236992342821], [773.4341490825068, 10.011690764954892], [920.0165658198041, 53.89558556589941], [1052.527511932136, 130.400815974426], [1163.8232880154064, 235.4029652165704], [1247.9039099731285, 363.24134024789527], [1300.236569712104, 507.02414118073176]]","[-80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -72.42765704151834, -80.0, -80.0, -80.0, -65.9959283858701, -80.0, -72.93584186526876, -74.37234484947862, -80.0, -71.13038023014074, -72.27936292329512, -73.06755374063383, -80.0, -70.65571842547106, -70.24483731473308, -80.0, -77.00164708520158, -80.0, -79.65910115668376, -80.0]","[-68.99446032665604, -52.68536943594991, -56.04821567041006, -49.26978449134133, -47.79336595936005, -55.14827352891972, -50.4333896974397, -62.18420862751519, -54.189201424882576, -64.55666339146495, -71.13945732324768, -59.61692744919035, -74.36545413365343, -73.7555956861006, -68.76041921226314, -73.84930574958668, -70.97771414707579, -63.58196822119687, -65.51737483703124, -73.0562489758513, -67.84090322688321, -64.87405774028514, -72.67338035335965, -77.52669305861983, -63.93063547994947, -70.51847467235645, -69.8425680706863]","[0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1120.735933540717, 1419.4193622350292]",44,1,2.617218376240397,5.058973105272118,circle
31,"[[1302.0, 651.0], [1288.673991755374, 782.0453365777178], [1249.2415353647702, 907.7256616787704], [1185.317000225937, 1022.8956080267099], [1099.517464318272, 1122.840104486157], [995.3555707228525, 1203.467411629083], [877.095719601978, 1261.4766380277492], [749.5794831554795, 1294.4928791376005], [618.027391085998, 1301.1644461683554], [487.82520149957304, 1281.2182043818989], [364.30340733598, 1235.4707552605528], [252.51900536147144, 1165.7950047464417], [157.04846212699317, 1075.0434862521668], [81.8003528898771, 966.9315776077337], [29.855344083568184, 845.8853930556561], [3.340070471876288, 716.8605776138185], [3.340070471876288, 585.1394223861818], [29.855344083568184, 456.11460694434413], [81.80035288987699, 335.06842239226637], [157.048462126993, 226.95651374783347], [252.5190053614716, 136.2049952535582], [364.3034073359801, 66.52924473944711], [487.825201499573, 20.781795618101], [618.027391085998, 0.8355538316446882], [749.5794831554795, 7.507120862399461], [877.095719601978, 40.523361972250655], [995.3555707228525, 98.5325883709171], [1099.517464318272, 179.1598955138429], [1185.317000225937, 279.10439197329015], [1249.2415353647702, 394.2743383212295], [1288.673991755374, 519.9546634222821]]","[-73.79383841992865, -80.0, -79.74374008295366, -78.37676459341756, -80.0, -72.90959357474807, -80.0, -80.0, -73.62044519528692, -76.10187426240864, -80.0, -80.0, -73.84883616821395, -80.0, -80.0, -77.74521530382628, -77.87750313689463, -80.0, -80.0, -66.00917412421627, -80.0, -80.0, -78.45033647231061, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0]","[-69.91855029169513, -74.90720725363974, -71.68379790806225, -70.31984287248771, -66.19489647275257, -61.62713205042501, -53.865536692217695, -53.15691727316847, -45.921940455331224, -52.46018687131095, -60.414350725837664, -62.61395310229094, -68.43380306989897, -66.4181572164427, -67.76147513631426, -69.77538606279538, -73.4511096328305, -75.46018739214257, -73.33214833410803, -75.95312735164717, -77.7539351925866, -75.61283632495554, -79.1663738066072, -76.50204283398668, -77.80840869974276, -76.7445239143344, -79.53223548469434, -76.25814402970255, -79.82978832501641, -71.68681172881877, -67.66446640210484]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[617.9908462397608, 1386.8891490537337]",44,1,2.8695675450944034,3.1521651299419307,circle
35,"[[1147.0, 573.5], [1137.783619061314, 675.9023791670181], [1110.4306983118893, 775.01346161065], [1065.8203831306703, 867.6477355922872], [1005.3864857530709, 950.8278593264251], [931.0714013659838, 1021.8803551954152], [845.2636779282648, 1078.5215375198393], [750.7212462740324, 1118.9309120952705], [650.4827779464255, 1141.8096883739106], [547.7700197939797, 1146.4225236614438], [445.88424437605374, 1132.6211576362757], [348.10014434647485, 1100.849177558257], [257.5605811372193, 1052.127761009167], [177.17557080603314, 988.0228544050091], [109.5287537259677, 910.5948421897334], [56.79435425796271, 822.3323243839196], [20.66729939092818, 726.0721309324882], [2.3087423937304266, 624.9081436561191], [2.3087423937304266, 522.091856343881], [20.667299390928065, 420.9278690675119], [56.794354257962596, 324.6676756160805], [109.52875372596759, 236.4051578102667], [177.17557080603308, 158.977145594991], [257.5605811372191, 94.87223899083301], [348.10014434647474, 46.15082244174312], [445.8842443760536, 14.378842363724175], [547.7700197939796, 0.5774763385560391], [650.4827779464254, 5.190311626089397], [750.7212462740322, 28.069087904729372], [845.2636779282645, 68.47846248016072], [931.0714013659835, 125.11964480458482], [1005.3864857530707, 196.1721406735747], [1065.82038313067, 279.3522644077127], [1110.4306983118893, 371.98653838934985], [1137.783619061314, 471.09762083298176]]","[-80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -79.20186116030784, -80.0, -80.0, -78.32459716793905, -80.0, -80.0, -80.0, -80.0, -80.0, -79.84192143198976, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -78.92031465674671, -80.0, -80.0, -78.29850023189745, -80.0, -80.0, -80.0, -80.0, -75.4143201937391]","[-32.286986878750554, -41.65192467766566, -49.62703803274209, -60.658113807741564, -55.96735204859597, -62.4744995512423, -64.04141355715495, -63.579275579148, -67.64565563774462, -65.48221998788691, -69.11686809765172, -74.13795119616915, -80.26568407233233, -74.65257983620651, -75.25416786811087, -77.95338928615972, -79.23920062206942, -75.74709611750124, -72.84363840094443, -83.05686154855843, -69.31526026188752, -68.50107846448824, -77.23973424530448, -76.24675342299243, -59.89606049925743, -70.15849575829225, -70.34617348212423, -69.07149350803368, -66.94788393981474, -62.3219652276116, -70.78323498190596, -67.12129850511515, -52.71533947842396, -52.12787601785115, -46.57226347129149]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[1203.2068160435729, 581.3392444108599]",48,4,3.0707072720625015,4.289808510616879,circle
29,"[[749.0, 374.5], [740.2443981134275, 455.0064298590285], [714.3869946667734, 531.748468534319], [672.6368531067635, 601.137743590065], [616.9461636507945, 659.9296896452998], [549.9189610420714, 705.3752606450356], [474.6893627791932, 735.349472198449], [394.7750212652389, 748.4507634872459], [313.9126422909896, 744.0665326918015], [235.88326082520203, 722.4017815713884], [164.33544402178785, 684.4695298097555], [102.61468827478751, 632.043447340607], [53.6069875252378, 567.5749195127946], [19.603887392040463, 494.0784230359244], [2.1953350456923317, 414.9905723997663], [2.1953350456923317, 334.00942760023383], [19.603887392040463, 254.9215769640755], [53.606987525237855, 181.42508048720532], [102.61468827478757, 116.95655265939291], [164.33544402178777, 64.5304701902445], [235.88326082520203, 26.59821842861163], [313.9126422909896, 4.9334673081984874], [394.7750212652389, 0.5492365127541348], [474.6893627791933, 13.650527801550993], [549.9189610420715, 43.62473935496445], [616.9461636507946, 89.07031035470021], [672.6368531067637, 147.86225640993504], [714.3869946667734, 217.25153146568078], [740.2443981134275, 293.99357014097137]]","[-80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -73.0554589651424, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -71.99075006591495, -80.0, -80.0, -80.0, -80.0, -80.0]","[-46.59455801938479, -46.319459668118654, -45.464734382627555, -42.5566807149999, -35.763909596164886, -38.32619559778042, -25.373726094065212, -33.5146613655542, -37.96395474346657, -44.827936286332566, -37.87295768407061, -56.657800540269356, -39.728033987178115, -55.035697456421644, -39.59806783691137, -49.0913011371221, -59.27527692339943, -51.415110506957305, -52.44289886164908, -48.68845478156597, -49.27138354939525, -67.49196070277901, -51.647500479702096, -57.19842192706005, -51.31579131389927, -56.84217861108884, -51.33295233719782, -41.26996436674652, -49.54813839211106]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[443.73400376291033, 822.4100161153102]",46,4,2.443438352792671,4.657220054062753,circle
42,"[[1371.0, 685.5], [1363.3435313773257, 787.6684734637676], [1340.5451583663994, 887.5546720586749], [1303.1141589471083, 982.9273031650861], [1251.8866797936143, 1071.655899802613], [1188.0070581393459, 1151.7584117419653], [1112.9022591741618, 1221.4454812318345], [1028.25, 1279.1604142942329], [935.9412722031637, 1323.613954695602], [838.0381002270535, 1353.81308380064], [736.7274791534937, 1369.083202967699], [634.2725208465062, 1369.083202967699], [532.9618997729465, 1353.81308380064], [435.05872779683614, 1323.613954695602], [342.74999999999983, 1279.1604142942326], [258.0977408258382, 1221.4454812318345], [182.99294186065407, 1151.7584117419651], [119.11332020638542, 1071.6558998026128], [67.8858410528918, 982.9273031650862], [30.454841633600495, 887.5546720586749], [7.656468622674424, 787.6684734637674], [0.0, 685.5000000000001], [7.656468622674424, 583.3315265362324], [30.45484163360061, 483.44532794132505], [67.88584105289169, 388.072696834914], [119.11332020638554, 299.3441001973871], [182.99294186065413, 219.2415882580347], [258.09774082583806, 149.55451876816562], [342.7500000000003, 91.83958570576715], [435.0587277968363, 47.38604530439795], [532.9618997729464, 17.18691619935987], [634.2725208465065, 1.9167970323010195], [736.727479153494, 1.9167970323010195], [838.0381002270534, 17.18691619935987], [935.9412722031641, 47.38604530439807], [1028.25, 91.83958570576738], [1112.9022591741618, 149.5545187681655], [1188.007058139346, 219.24158825803494], [1251.8866797936143, 299.34410019738715], [1303.114158947108, 388.07269683491376], [1340.5451583663994, 483.4453279413254], [1363.3435313773257, 583.3315265362324]]","[-72.47697004676448, -67.7165001045554, -80.0, -80.0, -80.0, -80.0, -80.0, -75.62282697077002, -78.18062510437763, -75.61068606070806, -80.0, -71.20885366580247, -70.81792211248428, -66.0790467715603, -73.65987256841775, -70.12961341162749, -69.66145360386002, -60.6817475711544, -67.08939225916893, -59.30848098221823, -62.98988639219898, -70.13328193592453, -50.991491697824046, -62.177141621945815, -59.35499436375433, -57.09357957414568, -64.23375714916553, -60.68307097909381, -64.4897283475547, -63.571845395586394, -66.96397486039268, -70.86256597008457, -67.55594656769796, -63.11800906575308, -59.759926644465246, -71.50721522705754, -69.58591155874275, -65.01596675782574, -67.44988013292706, -77.29782092133613, -70.12866077655406, -71.71407022426379]","[-60.99930560150704, -57.106390268819275, -51.861220668165664, -54.25101263923522, -48.010686286121185, -53.61401375397718, -42.96576795080669, -38.75263268342151, -45.718756889660995, -47.060346714258124, -51.50708327913445, -50.05691395809707, -55.569385205548144, -58.49489498121146, -61.55218373174827, -62.14841715334583, -64.95754161320484, -62.48695155871001, -65.58425039965843, -66.08898948465806, -64.96158875559632, -60.9503026022805, -64.59358786736297, -59.229253628008316, -59.820876905316695, -70.32623853133336, -64.1017171603608, -69.53391817048418, -66.9093210817749, -70.3711971577009, -62.61428907205034, -65.74715949215069, -66.1020014591551, -68.27342949300068, -63.40000890941805, -66.85814489986758, -63.85206085564036, -59.66281859650949, -63.91478907946062, -62.35141320832256, -60.669613121284385, -63.76669092640974]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1141.3440564143984, 1395.835221389924]",37,3,2.3348510978318986,2.6188380839960823,circle
