num_samples,node_positions,node_rssi,node_noise,node_states,jammer_position,jammer_power,jammer_gain,pl_exp,sigma,node_placement
65,"[[0.0, 0.0], [156.25, 0.0], [312.5, 0.0], [468.75, 0.0], [625.0, 0.0], [781.25, 0.0], [937.5, 0.0], [1093.75, 0.0], [1250.0, 0.0], [0.0, 156.25], [156.25, 156.25], [312.5, 156.25], [468.75, 156.25], [625.0, 156.25], [781.25, 156.25], [937.5, 156.25], [1093.75, 156.25], [1250.0, 156.25], [0.0, 312.5], [156.25, 312.5], [312.5, 312.5], [468.75, 312.5], [625.0, 312.5], [781.25, 312.5], [937.5, 312.5], [1093.75, 312.5], [1250.0, 312.5], [0.0, 468.75], [156.25, 468.75], [312.5, 468.75], [468.75, 468.75], [625.0, 468.75], [781.25, 468.75], [937.5, 468.75], [1093.75, 468.75], [1250.0, 468.75], [0.0, 625.0], [156.25, 625.0], [312.5, 625.0], [468.75, 625.0], [625.0, 625.0], [781.25, 625.0], [937.5, 625.0], [1093.75, 625.0], [1250.0, 625.0], [0.0, 781.25], [156.25, 781.25], [312.5, 781.25], [468.75, 781.25], [625.0, 781.25], [781.25, 781.25], [937.5, 781.25], [1093.75, 781.25], [1250.0, 781.25], [0.0, 937.5], [156.25, 937.5], [312.5, 937.5], [468.75, 937.5], [625.0, 937.5], [781.25, 937.5], [937.5, 937.5], [1093.75, 937.5], [1250.0, 937.5], [0.0, 1093.75], [156.25, 1093.75]]","[-73.04012092707006, -80.0, -80.0, -80.0, -71.77799959447162, -80.0, -77.76340302358511, -80.0, -79.788825063785, -80.0, -75.00860277901835, -80.0, -80.0, -80.0, -80.0, -78.86510881513044, -80.0, -80.0, -80.0, -80.0, -61.76825725116424, -80.0, -76.25145052834182, -68.370456087893, -72.95092943376376, -80.0, -77.99488153004849, -79.79139843675746, -80.0, -74.53556506650231, -78.04387099562496, -64.58388396020379, -80.0, -76.52915470996305, -80.0, -80.0, -80.0, -80.0, -74.96624278845206, -77.25068906628859, -80.0, -74.6380818223455, -75.59139367359619, -79.09225896033544, -80.0, -68.19179767326283, -65.0108704709164, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -75.00830766037899, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0]","[-70.25403796534837, -71.72978620818824, -71.25631807738259, -65.34090780486952, -71.62105462572912, -67.90374992056218, -64.33513370350666, -74.86430760695178, -72.54100600445602, -69.67287626516482, -70.93768800007331, -68.13106476836938, -59.677512872893445, -59.30837413172992, -66.23791293313487, -64.48635711407405, -69.2345229905119, -58.2800522756303, -71.98924686216631, -79.12123864238667, -71.9196451465109, -73.21008021954293, -54.127192853283496, -68.14812478551472, -62.541840283213475, -66.25176399564468, -67.06604328465619, -69.06725262432383, -68.17712341362261, -65.2926322355282, -63.22506338370327, -66.45153581435595, -59.45188969836579, -71.51825410329009, -58.17915378934721, -65.07502101817686, -66.29785904263728, -58.69971193924486, -71.81288985345815, -55.76844259038617, -58.70117439873723, -55.76276276272778, -57.03461045362388, -59.175498664727364, -51.62143911763482, -70.07721449299468, -70.8876710977537, -62.592185904186536, -67.5185679997547, -69.14296693621664, -58.67515612546868, -60.95887814925371, -51.77567257907881, -49.518120198971125, -76.57895474985403, -58.507034468095355, -65.62974671114812, -53.93335771297959, -62.185901700114236, -49.0034708980463, -51.46453513830987, -45.19833570369539, -47.39789271899451, -69.15735389736017, -65.08876108651485]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0]","[1058.9499236966797, 1136.2446982971728]",47,1,2.7305402014846565,4.690354265286043,rectangle
30,"[[0.0, 0.0], [221.0, 0.0], [442.0, 0.0], [663.0, 0.0], [884.0, 0.0], [1105.0, 0.0], [0.0, 221.0], [221.0, 221.0], [442.0, 221.0], [663.0, 221.0], [884.0, 221.0], [1105.0, 221.0], [0.0, 442.0], [221.0, 442.0], [442.0, 442.0], [663.0, 442.0], [884.0, 442.0], [1105.0, 442.0], [0.0, 663.0], [221.0, 663.0], [442.0, 663.0], [663.0, 663.0], [884.0, 663.0], [1105.0, 663.0], [0.0, 884.0], [221.0, 884.0], [442.0, 884.0], [663.0, 884.0], [884.0, 884.0], [1105.0, 884.0]]","[-80.0, -78.93318301352946, -79.83846439467405, -80.0, -72.66348026584481, -80.0, -67.39693353751265, -80.0, -80.0, -80.0, -70.25776388260502, -70.19527913296928, -78.38758098841798, -80.0, -80.0, -80.0, -79.27336547434128, -80.0, -80.0, -80.0, -71.91657277150262, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -79.72780542742143]","[-48.37145861826302, -41.57640738249725, -45.19884705012065, -49.74957673145536, -46.01462226120007, -54.331821244538354, -49.38204817502289, -42.25621427650614, -39.65978620621061, -49.35472235217774, -58.15333844852728, -49.51448860372243, -45.65509427091092, -30.157073245157807, -32.95336718218599, -45.31063656838019, -48.921482012145496, -47.13162838194755, -46.43554940259722, -35.63599271380217, -43.303450197330974, -51.622786654366166, -58.04431815528958, -56.140838627780745, -50.07621084935846, -50.16273967328893, -49.07391653683236, -47.10474564176842, -46.99473121410173, -55.63762234099731]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]","[391.56633762595857, 365.7057336797309]",43,0,2.195341691955176,4.209330567445756,rectangle
21,"[[0.0, 0.0], [148.0, 0.0], [296.0, 0.0], [444.0, 0.0], [592.0, 0.0], [0.0, 148.0], [148.0, 148.0], [296.0, 148.0], [444.0, 148.0], [592.0, 148.0], [0.0, 296.0], [148.0, 296.0], [296.0, 296.0], [444.0, 296.0], [592.0, 296.0], [0.0, 444.0], [148.0, 444.0], [296.0, 444.0], [444.0, 444.0], [592.0, 444.0], [0.0, 592.0]]","[-75.34996893856538, -76.68631262443085, -68.1770963229509, -72.78556223919502, -63.251207552792415, -76.04141684336025, -80.0, -75.60173838066058, -70.12836674031382, -66.082883420374, -68.00858274135439, -80.0, -64.91565653485308, -66.5802950871913, -67.10246517844723, -67.23817116799599, -63.55623824461348, -66.01424237334096, -65.3705057467537, -64.17415778321613, -68.18999553147322]","[-60.076462413637316, -54.683188114362984, -58.55096270529664, -64.35524395345632, -63.42063059573697, -55.55467743916988, -36.49726950269599, -57.8313677929405, -58.706854775103196, -66.73903715980232, -60.40231814093492, -52.945253443659894, -58.96266899496776, -65.2346005031251, -69.71573718697402, -60.97260865332472, -62.84002245634433, -67.53290065731973, -69.15951610867748, -67.31415699360157, -67.86750624464898]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[163.45047470234064, 122.84776444368616]",26,4,2.457881329804726,2.38458640301799,rectangle
31,"[[0.0, 0.0], [178.8, 0.0], [357.6, 0.0], [536.4000000000001, 0.0], [715.2, 0.0], [894.0, 0.0], [0.0, 178.8], [178.8, 178.8], [357.6, 178.8], [536.4000000000001, 178.8], [715.2, 178.8], [894.0, 178.8], [0.0, 357.6], [178.8, 357.6], [357.6, 357.6], [536.4000000000001, 357.6], [715.2, 357.6], [894.0, 357.6], [0.0, 536.4000000000001], [178.8, 536.4000000000001], [357.6, 536.4000000000001], [536.4000000000001, 536.4000000000001], [715.2, 536.4000000000001], [894.0, 536.4000000000001], [0.0, 715.2], [178.8, 715.2], [357.6, 715.2], [536.4000000000001, 715.2], [715.2, 715.2], [894.0, 715.2], [0.0, 894.0]]","[-67.42773956676218, -60.74251527494128, -60.57830778204729, -57.12088125722531, -78.3567419907345, -67.08392469963532, -61.25405088870242, -62.469085633889115, -70.51959308233613, -63.91417146380476, -69.21782304796679, -55.42546462969307, -63.509639763509874, -59.33013141961035, -72.56041151076595, -69.72722952559785, -66.31500414131398, -74.11040206493004, -51.24251079622091, -64.27704387897096, -63.00746430435815, -62.16295223103238, -68.46796341331373, -77.86107099340823, -63.74260307558464, -72.31327362135289, -75.33495848248712, -78.78679557394435, -80.0, -80.0, -73.1271521704364]","[-54.64932025416469, -54.70152936837388, -43.08645136910976, -43.847064987178825, -36.976990433097036, -37.822143405351, -50.14114118999145, -57.50239474320879, -46.694593529986015, -41.545698615656974, -24.449276681744244, -41.211351726349186, -54.15827308862426, -46.813811807842484, -49.25521633367998, -47.266270705729816, -42.343246202518415, -43.43043697031181, -56.40702910112418, -53.16027285826343, -44.16899785405546, -56.22380514300106, -48.38441673806975, -40.93533161757407, -52.83166031024489, -50.908291754857956, -52.22036138556301, -50.785065476156376, -43.476414436626236, -51.52755694738212, -61.67360052795132]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[784.4879589217123, 149.5205194711601]",44,0,2.2089447382431606,5.15265970775727,rectangle
20,"[[0.0, 0.0], [268.25, 0.0], [536.5, 0.0], [804.75, 0.0], [1073.0, 0.0], [0.0, 268.25], [268.25, 268.25], [536.5, 268.25], [804.75, 268.25], [1073.0, 268.25], [0.0, 536.5], [268.25, 536.5], [536.5, 536.5], [804.75, 536.5], [1073.0, 536.5], [0.0, 804.75], [268.25, 804.75], [536.5, 804.75], [804.75, 804.75], [1073.0, 804.75]]","[-58.94841027226887, -45.76804948309251, -54.509756240215346, -63.54533596653087, -71.75263340016596, -66.16369102142805, -50.764302970486796, -61.47225174102958, -58.91913628794363, -56.298417987795865, -64.97888490145544, -67.65712029016265, -66.11541475735122, -65.09778388305128, -78.36620528114128, -71.60222715438323, -60.378002726206084, -73.56156126428849, -69.47864774706719, -80.0]","[-56.81823656152705, -64.30318818785142, -55.97125980387699, -52.01128405675039, -63.584499250342084, -53.829497168641105, -60.22113337029485, -56.925524140479894, -51.46296445065697, -50.02822080034362, -59.22486878804983, -47.18055115565282, -50.35747984796523, -54.249368909478754, -56.39635858061277, -55.67863104233221, -48.14295607937633, -48.088308638995734, -43.88285056001274, -56.00549681542742]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0]","[984.153229762578, 987.2261072388927]",31,4,2.0191689571741955,5.690546038861296,rectangle
42,"[[0.0, 0.0], [219.83333333333334, 0.0], [439.6666666666667, 0.0], [659.5, 0.0], [879.3333333333334, 0.0], [1099.1666666666667, 0.0], [1319.0, 0.0], [0.0, 219.83333333333334], [219.83333333333334, 219.83333333333334], [439.6666666666667, 219.83333333333334], [659.5, 219.83333333333334], [879.3333333333334, 219.83333333333334], [1099.1666666666667, 219.83333333333334], [1319.0, 219.83333333333334], [0.0, 439.6666666666667], [219.83333333333334, 439.6666666666667], [439.6666666666667, 439.6666666666667], [659.5, 439.6666666666667], [879.3333333333334, 439.6666666666667], [1099.1666666666667, 439.6666666666667], [1319.0, 439.6666666666667], [0.0, 659.5], [219.83333333333334, 659.5], [439.6666666666667, 659.5], [659.5, 659.5], [879.3333333333334, 659.5], [1099.1666666666667, 659.5], [1319.0, 659.5], [0.0, 879.3333333333334], [219.83333333333334, 879.3333333333334], [439.6666666666667, 879.3333333333334], [659.5, 879.3333333333334], [879.3333333333334, 879.3333333333334], [1099.1666666666667, 879.3333333333334], [1319.0, 879.3333333333334], [0.0, 1099.1666666666667], [219.83333333333334, 1099.1666666666667], [439.6666666666667, 1099.1666666666667], [659.5, 1099.1666666666667], [879.3333333333334, 1099.1666666666667], [1099.1666666666667, 1099.1666666666667], [1319.0, 1099.1666666666667]]","[-65.117544538354, -65.85975167167487, -61.14693890025996, -62.81001728282072, -63.49578271007897, -71.86491099044731, -66.4501423835664, -61.248161162071426, -67.96096476045066, -64.76848559657259, -73.47758313521122, -69.45797772798866, -70.88852968988563, -65.88587290878948, -59.34079535295174, -63.446419766695875, -69.54603475225215, -70.89875302485319, -75.27007645011503, -73.75999764921552, -71.3865228968827, -58.44365263958873, -66.27724936546774, -67.59641348510863, -80.0, -80.0, -73.90166587202106, -71.02966016872519, -55.31856444946688, -73.30243827825646, -70.65248064246714, -80.0, -80.0, -80.0, -67.23959841551056, -64.01519187059495, -58.36217035706697, -69.64817931361253, -72.9417747767987, -79.50149195736788, -80.0, -78.13401934801217]","[-69.1379261344064, -66.61986353085032, -64.03728381924067, -57.19510517915279, -39.57561904980908, -56.24606699184354, -60.843362178568185, -66.70807720280821, -65.58249583091335, -59.85264348283809, -55.69814861311534, -50.4673850235699, -53.94867826527624, -61.13982469832492, -72.32295378860509, -70.73960950432352, -64.49351602577724, -60.82522005834512, -61.64313174118816, -63.8638820806587, -61.48681191055296, -68.97480592875607, -65.63519844116509, -70.23129802927151, -64.31797873385916, -61.82707395885801, -65.19591711273449, -67.5691035477969, -71.74362938958629, -69.58269595353869, -68.71239731911461, -69.80265851141436, -67.37382223516632, -63.84017117474905, -72.72250425372374, -72.94545985920922, -69.87727939709978, -70.49652598742304, -69.22345778747763, -72.44324194770631, -69.3808876697181, -74.32333322942893]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[878.1474840142698, 84.68804081816732]",31,1,2.347983452555263,2.6492577783602593,rectangle
23,"[[0.0, 0.0], [243.75, 0.0], [487.5, 0.0], [731.25, 0.0], [975.0, 0.0], [0.0, 243.75], [243.75, 243.75], [487.5, 243.75], [731.25, 243.75], [975.0, 243.75], [0.0, 487.5], [243.75, 487.5], [487.5, 487.5], [731.25, 487.5], [975.0, 487.5], [0.0, 731.25], [243.75, 731.25], [487.5, 731.25], [731.25, 731.25], [975.0, 731.25], [0.0, 975.0], [243.75, 975.0], [487.5, 975.0]]","[-80.0, -80.0, -74.63930011850653, -71.42381543209635, -68.57227292440494, -78.07338086416141, -77.4335124507364, -72.54871238255451, -67.04937369661916, -60.006449886491936, -71.05847014829328, -64.35802694415916, -63.42060691279842, -55.505029095984966, -64.44601636111508, -64.62042810857386, -56.87893492782369, -70.6346568468734, -63.64738650566967, -59.80721631811788, -71.53722652028624, -60.67624523071569, -56.39163759645547]","[-65.83775700347911, -68.46269147027242, -68.63371951757665, -70.619018988991, -71.81368492679516, -58.40203214503227, -65.49370724725517, -71.08644639005871, -73.93603271052525, -75.2560619742363, -48.75229291575031, -54.445268216168046, -57.405265448877486, -71.1657669765437, -75.00451187848137, -57.62309255102102, -53.438762176686296, -65.20898413561332, -72.232786464223, -77.37752067090189, -62.920936995800155, -62.405180617406124, -70.07919977662644]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[26.52784152372316, 588.6556734399754]",27,0,2.2564130118268952,3.748910631006912,rectangle
16,"[[0.0, 0.0], [141.0, 0.0], [282.0, 0.0], [423.0, 0.0], [564.0, 0.0], [0.0, 141.0], [141.0, 141.0], [282.0, 141.0], [423.0, 141.0], [564.0, 141.0], [0.0, 282.0], [141.0, 282.0], [282.0, 282.0], [423.0, 282.0], [564.0, 282.0], [0.0, 423.0]]","[-47.77386613093326, -44.06019814992524, -56.471343916127935, -45.29248423901892, -40.687481575600216, -50.66860463988274, -42.101875171023124, -42.66898535210393, -51.38943847954433, -43.39409223825413, -52.75749628388013, -55.7445242275596, -49.703905054336786, -62.835025100857045, -60.267997387555624, -45.71583832090322]","[-79.79360403361368, -55.70834062617003, -50.64416729328242, -57.93913595752264, -50.97701235405491, -66.40461128002578, -61.28581245340868, -56.62806940368128, -39.370861071634614, -50.1780334315556, -66.27586300487968, -64.79036601988912, -54.753309023022176, -57.62969239225647, -58.766515445726284, -66.7084884611947]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","[402.91763060969214, 134.11593878990715]",25,0,2.201602944908224,4.082703433439688,rectangle
50,"[[0.0, 0.0], [155.71428571428572, 0.0], [311.42857142857144, 0.0], [467.14285714285717, 0.0], [622.8571428571429, 0.0], [778.5714285714287, 0.0], [934.2857142857143, 0.0], [1090.0, 0.0], [0.0, 155.71428571428572], [155.71428571428572, 155.71428571428572], [311.42857142857144, 155.71428571428572], [467.14285714285717, 155.71428571428572], [622.8571428571429, 155.71428571428572], [778.5714285714287, 155.71428571428572], [934.2857142857143, 155.71428571428572], [1090.0, 155.71428571428572], [0.0, 311.42857142857144], [155.71428571428572, 311.42857142857144], [311.42857142857144, 311.42857142857144], [467.14285714285717, 311.42857142857144], [622.8571428571429, 311.42857142857144], [778.5714285714287, 311.42857142857144], [934.2857142857143, 311.42857142857144], [1090.0, 311.42857142857144], [0.0, 467.14285714285717], [155.71428571428572, 467.14285714285717], [311.42857142857144, 467.14285714285717], [467.14285714285717, 467.14285714285717], [622.8571428571429, 467.14285714285717], [778.5714285714287, 467.14285714285717], [934.2857142857143, 467.14285714285717], [1090.0, 467.14285714285717], [0.0, 622.8571428571429], [155.71428571428572, 622.8571428571429], [311.42857142857144, 622.8571428571429], [467.14285714285717, 622.8571428571429], [622.8571428571429, 622.8571428571429], [778.5714285714287, 622.8571428571429], [934.2857142857143, 622.8571428571429], [1090.0, 622.8571428571429], [0.0, 778.5714285714287], [155.71428571428572, 778.5714285714287], [311.42857142857144, 778.5714285714287], [467.14285714285717, 778.5714285714287], [622.8571428571429, 778.5714285714287], [778.5714285714287, 778.5714285714287], [934.2857142857143, 778.5714285714287], [1090.0, 778.5714285714287], [0.0, 934.2857142857143], [155.71428571428572, 934.2857142857143]]","[-80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -79.9293832574898, -80.0, -80.0, -80.0, -77.28779286149786, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -79.83962539344745, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0]","[-69.73458948847244, -66.90382983068473, -65.28783959962308, -63.95597915014348, -52.003797772970344, -64.09977052921592, -58.69373337391123, -61.8563633918507, -56.41423212871966, -60.39360473623633, -61.15434481562439, -56.28428151666044, -50.51388598922506, -55.03007857756248, -47.29096561041289, -58.319472689508764, -69.09139739114406, -67.30217851229736, -55.8305341765662, -53.049132563802544, -50.18779981905243, -37.66847866693412, -36.94226170444947, -52.89442802564977, -68.04208172732432, -64.29966628695395, -56.56642292959087, -54.149608278227525, -42.71006922055494, -30.843318182026913, -48.31102121250562, -51.71116510519649, -63.24326242276796, -61.251622236014896, -59.44006348286598, -49.49123083056905, -52.08346081549714, -52.02798873053692, -52.414657453626354, -58.04546919965176, -60.88584250172926, -67.41410416627046, -61.209879866338255, -56.74420716701703, -66.30915583021361, -54.49040369495471, -64.59670544799368, -60.05983706468668, -69.78942655854712, -65.85733167996013]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[797.7124903840908, 401.7652100003568]",44,2,2.7109174736775303,4.591830375640441,rectangle
19,"[[0.0, 0.0], [157.25, 0.0], [314.5, 0.0], [471.75, 0.0], [629.0, 0.0], [0.0, 157.25], [157.25, 157.25], [314.5, 157.25], [471.75, 157.25], [629.0, 157.25], [0.0, 314.5], [157.25, 314.5], [314.5, 314.5], [471.75, 314.5], [629.0, 314.5], [0.0, 471.75], [157.25, 471.75], [314.5, 471.75], [471.75, 471.75]]","[-80.0, -78.99649655467122, -79.63907803540386, -79.33147996669169, -79.73219787832768, -80.0, -78.5268570685202, -80.0, -80.0, -80.0, -76.9740167017988, -80.0, -80.0, -79.56489631141233, -80.0, -80.0, -80.0, -80.0, -80.0]","[-65.30164679582055, -64.7426749112804, -66.72977988577408, -66.90678844162463, -63.56634435555462, -61.120430925436196, -62.48411360068786, -61.00066662177339, -66.29349859749661, -63.408265143031024, -61.66431069344305, -59.66934584436663, -57.44675539776351, -53.45628743365779, -63.605692081011746, -63.13084204029088, -53.560120445164316, -36.62055230955156, -52.990323456564965]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[346.50238415618463, 477.72889148034005]",31,3,2.5448212628924836,2.1317026005002515,rectangle
