num_samples,node_positions,node_rssi,node_noise,node_states,jammer_position,jammer_power,jammer_gain,pl_exp,sigma,node_placement
37,"[[0.0, 0.0], [181.83333333333334, 0.0], [363.6666666666667, 0.0], [545.5, 0.0], [727.3333333333334, 0.0], [909.1666666666667, 0.0], [1091.0, 0.0], [0.0, 181.83333333333334], [181.83333333333334, 181.83333333333334], [363.6666666666667, 181.83333333333334], [545.5, 181.83333333333334], [727.3333333333334, 181.83333333333334], [909.1666666666667, 181.83333333333334], [1091.0, 181.83333333333334], [0.0, 363.6666666666667], [181.83333333333334, 363.6666666666667], [363.6666666666667, 363.6666666666667], [545.5, 363.6666666666667], [727.3333333333334, 363.6666666666667], [909.1666666666667, 363.6666666666667], [1091.0, 363.6666666666667], [0.0, 545.5], [181.83333333333334, 545.5], [363.6666666666667, 545.5], [545.5, 545.5], [727.3333333333334, 545.5], [909.1666666666667, 545.5], [1091.0, 545.5], [0.0, 727.3333333333334], [181.83333333333334, 727.3333333333334], [363.6666666666667, 727.3333333333334], [545.5, 727.3333333333334], [727.3333333333334, 727.3333333333334], [909.1666666666667, 727.3333333333334], [1091.0, 727.3333333333334], [0.0, 909.1666666666667], [181.83333333333334, 909.1666666666667]]","[-80.0, -80.0, -80.0, -76.1159436553003, -80.0, -73.42494634801656, -62.81520799622061, -79.38396066638671, -80.0, -80.0, -76.76844827635458, -78.14611487307691, -76.57534239628882, -50.929405384213396, -80.0, -80.0, -80.0, -72.65923517621019, -70.35877807198834, -74.84966563013856, -74.17283020321713, -80.0, -80.0, -76.5355036378283, -72.90394792037385, -75.90722204373222, -75.40492631114334, -70.03160622047773, -78.52775677653128, -78.87585813650067, -78.86355183042487, -68.23949628319625, -67.4187124097491, -78.00474254868043, -73.54690132232035, -80.0, -77.24132772787621]","[-52.786558840948494, -48.74554969595039, -49.06004675590032, -51.997321305799645, -54.49865724322066, -50.82410848886185, -47.94793887335466, -54.95878823164358, -47.36173161059578, -45.7936516084617, -53.07642896218746, -57.913745845182305, -53.59585178202859, -48.64450142318642, -56.56919217752801, -43.764455749865476, -46.315798842537916, -47.18590834912845, -53.88704819368981, -56.78758946740854, -55.98800449031414, -45.51011867855181, -43.61246658833516, -38.66912171952247, -44.08848804682187, -47.62961304475243, -57.01391758473615, -49.85440141471028, -40.47707575284911, -34.21640723195347, -44.28770638193252, -48.42596849591109, -43.52317789644263, -49.49803443072121, -52.03024607403986, -34.72930965108402, -29.981459061167733]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[232.6897309436589, 1005.0585355607617]",38,4,2.0763688761927277,3.5325414769565295,rectangle
20,"[[0.0, 0.0], [166.75, 0.0], [333.5, 0.0], [500.25, 0.0], [667.0, 0.0], [0.0, 166.75], [166.75, 166.75], [333.5, 166.75], [500.25, 166.75], [667.0, 166.75], [0.0, 333.5], [166.75, 333.5], [333.5, 333.5], [500.25, 333.5], [667.0, 333.5], [0.0, 500.25], [166.75, 500.25], [333.5, 500.25], [500.25, 500.25], [667.0, 500.25]]","[-68.34565498008143, -57.37733466906273, -65.66672342449374, -59.91917063634021, -63.21364984230673, -66.24739857845238, -51.28300374391895, -59.22170749001736, -58.141598123715184, -67.76558530649274, -61.41155722600113, -51.86209800246654, -62.63118376960104, -61.8283773285538, -74.22458665944154, -62.43107935351208, -65.48856289959588, -61.333788226600895, -67.57257053605181, -71.12712489669154]","[-55.077190736811694, -53.387260498758984, -56.614737511154054, -50.91940902532802, -50.26348137185596, -60.78367000352415, -54.25881363363936, -48.13740553804473, -54.10361436333643, -43.03723231152585, -53.437188944402195, -57.58556905766733, -47.30736078306971, -49.73247981624731, -35.199498553630754, -58.20581688680672, -61.2006663236643, -50.23588708655947, -57.770851466943284, -46.835815145364386]","[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1]","[696.303023933252, 274.3045171672079]",32,0,2.037214686025165,3.875048878857618,rectangle
41,"[[0.0, 0.0], [184.0, 0.0], [368.0, 0.0], [552.0, 0.0], [736.0, 0.0], [920.0, 0.0], [1104.0, 0.0], [0.0, 184.0], [184.0, 184.0], [368.0, 184.0], [552.0, 184.0], [736.0, 184.0], [920.0, 184.0], [1104.0, 184.0], [0.0, 368.0], [184.0, 368.0], [368.0, 368.0], [552.0, 368.0], [736.0, 368.0], [920.0, 368.0], [1104.0, 368.0], [0.0, 552.0], [184.0, 552.0], [368.0, 552.0], [552.0, 552.0], [736.0, 552.0], [920.0, 552.0], [1104.0, 552.0], [0.0, 736.0], [184.0, 736.0], [368.0, 736.0], [552.0, 736.0], [736.0, 736.0], [920.0, 736.0], [1104.0, 736.0], [0.0, 920.0], [184.0, 920.0], [368.0, 920.0], [552.0, 920.0], [736.0, 920.0], [920.0, 920.0]]","[-79.4034793097274, -63.10832616906123, -78.38942782938247, -80.0, -80.0, -80.0, -80.0, -73.07826825613039, -76.97890594430741, -80.0, -77.63570977139867, -68.56380441395379, -80.0, -71.42586311377846, -75.89610291727774, -63.907037499109826, -71.819403809632, -67.95274891578377, -65.97265528945029, -79.9079642038062, -80.0, -75.86036428920606, -69.89813098877616, -80.0, -80.0, -70.65426322615559, -79.51453678938874, -80.0, -76.94608263940482, -78.82471915320363, -77.55069431709977, -79.97685657767559, -73.56071938302763, -80.0, -72.30226556984408, -76.53852009468393, -80.0, -78.33602131838333, -75.09935893759504, -80.0, -80.0]","[-67.7685582420713, -70.73551526602142, -64.07012634402017, -60.48559953942137, -67.89766462330914, -61.02666475032491, -46.545412692070855, -70.52389024796271, -62.901292298891136, -59.77163918001679, -54.89591865996867, -58.041303920465765, -50.750834878913324, -49.53031173413006, -66.08251942582595, -64.9715635184786, -57.209928968450825, -63.50925672496767, -58.95103755316092, -47.74961402496498, -52.169775824129204, -69.40049441171914, -60.41968127571928, -70.73377272967645, -63.00503168983447, -64.0545624416676, -57.77991195912183, -57.10297373324117, -67.50957246974824, -59.74530109063928, -76.26077895935668, -73.67328190843155, -62.058780417231176, -57.098573773505265, -61.741400901736256, -77.75731412753115, -56.46345961673031, -65.52677423443102, -70.25871633224708, -70.33157802357857, -68.43204471239459]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1491.7741665712635, 153.9269023541812]",44,0,2.4600755838620048,4.714239315716664,rectangle
48,"[[0.0, 0.0], [190.83333333333334, 0.0], [381.6666666666667, 0.0], [572.5, 0.0], [763.3333333333334, 0.0], [954.1666666666667, 0.0], [1145.0, 0.0], [0.0, 190.83333333333334], [190.83333333333334, 190.83333333333334], [381.6666666666667, 190.83333333333334], [572.5, 190.83333333333334], [763.3333333333334, 190.83333333333334], [954.1666666666667, 190.83333333333334], [1145.0, 190.83333333333334], [0.0, 381.6666666666667], [190.83333333333334, 381.6666666666667], [381.6666666666667, 381.6666666666667], [572.5, 381.6666666666667], [763.3333333333334, 381.6666666666667], [954.1666666666667, 381.6666666666667], [1145.0, 381.6666666666667], [0.0, 572.5], [190.83333333333334, 572.5], [381.6666666666667, 572.5], [572.5, 572.5], [763.3333333333334, 572.5], [954.1666666666667, 572.5], [1145.0, 572.5], [0.0, 763.3333333333334], [190.83333333333334, 763.3333333333334], [381.6666666666667, 763.3333333333334], [572.5, 763.3333333333334], [763.3333333333334, 763.3333333333334], [954.1666666666667, 763.3333333333334], [1145.0, 763.3333333333334], [0.0, 954.1666666666667], [190.83333333333334, 954.1666666666667], [381.6666666666667, 954.1666666666667], [572.5, 954.1666666666667], [763.3333333333334, 954.1666666666667], [954.1666666666667, 954.1666666666667], [1145.0, 954.1666666666667], [0.0, 1145.0], [190.83333333333334, 1145.0], [381.6666666666667, 1145.0], [572.5, 1145.0], [763.3333333333334, 1145.0], [954.1666666666667, 1145.0]]","[-66.51424661276113, -65.6259280461139, -60.93432382666944, -66.35549476004357, -69.8929645588279, -66.61623425405018, -67.30226166310585, -64.35872140826199, -64.77202032694589, -69.22344395087643, -69.59306541695223, -67.79960300463696, -70.41525930217739, -71.08438082174011, -60.32424051354366, -71.3373030966406, -65.70442027739898, -66.31126659317168, -67.4158626954293, -70.88218946507092, -70.49402868628772, -66.16942098474732, -71.01855773426594, -63.176141323583565, -70.12048833126342, -62.156147721812125, -68.50253528683004, -67.26888153921324, -67.46743738528889, -68.11853867352967, -67.41370270000473, -71.62340547190391, -73.78249182292527, -75.62213509767591, -72.38827571339775, -60.62974915639514, -68.53137455953656, -72.88086996496139, -70.69328766037538, -71.0518675444917, -69.79124502259042, -80.0, -68.49592447328413, -68.85309719171947, -71.53448692552315, -70.27104085299301, -77.34259093930186, -80.0]","[-57.018674226844475, -56.54068141380024, -51.25514043909664, -54.56085185107129, -50.484030696408524, -49.66579307116719, -42.2318673325094, -53.163572445510106, -53.70711940688444, -48.00685726898847, -49.26912246941673, -49.206328664309595, -47.26480731954083, -44.562293074212185, -56.090310383449335, -53.88584063936901, -52.317053174770436, -53.05743115328237, -43.012369897138704, -48.699135029840676, -37.618543574627054, -55.871909572153136, -57.97912578921693, -52.9234000951109, -41.20577138271378, -43.438914730346056, -38.50530455586584, -35.62973990226772, -56.959566023730375, -53.52771975819672, -48.90863647081264, -52.31666345994772, -48.42553288905673, -45.874990891738456, -35.28811845391821, -55.881130910673434, -56.178976088464054, -52.22405940679223, -50.757021368217195, -53.418862132693015, -50.25708967034616, -44.362290641576564, -50.82287935923132, -55.373241669109554, -54.701812987853, -51.44907995718113, -54.88556378194477, -44.26339273378475]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[1296.9049566978545, 597.3611791916239]",38,3,2.0477403589436936,2.3473769001276454,rectangle
28,"[[0.0, 0.0], [100.2, 0.0], [200.4, 0.0], [300.6, 0.0], [400.8, 0.0], [501.0, 0.0], [0.0, 100.2], [100.2, 100.2], [200.4, 100.2], [300.6, 100.2], [400.8, 100.2], [501.0, 100.2], [0.0, 200.4], [100.2, 200.4], [200.4, 200.4], [300.6, 200.4], [400.8, 200.4], [501.0, 200.4], [0.0, 300.6], [100.2, 300.6], [200.4, 300.6], [300.6, 300.6], [400.8, 300.6], [501.0, 300.6], [0.0, 400.8], [100.2, 400.8], [200.4, 400.8], [300.6, 400.8]]","[-68.17134480850343, -58.312992541094935, -56.42870549591926, -53.99071495940094, -58.834043562957724, -62.77896399055392, -42.02793898255011, -54.793322831872175, -54.59619644992679, -61.78902898819859, -61.94725940631572, -63.171792573382035, -61.03547577095974, -51.41646933549617, -60.65091357763918, -50.105469867889354, -61.363748278025255, -64.16969473689963, -45.143997520611194, -43.07837544143489, -57.67587373429156, -64.30223776918656, -62.041838099661305, -58.22146505844971, -55.343590903268066, -45.75391122413219, -58.590003910959226, -44.822480398335486]","[-49.70770933580235, -49.8499286506716, -45.671199273548666, -48.01872248890574, -55.89892301249722, -43.36285953479666, -56.33720371872925, -49.99097851093137, -42.11828851089416, -49.88102036323643, -54.98771999606737, -44.6673337960819, -45.216160825927794, -53.530393546716226, -47.711132018200544, -50.03822110838225, -45.51186552035149, -39.568131052761615, -36.57283783045731, -48.936393024238576, -55.2044830861766, -37.30035763058331, -46.73841725698827, -45.230547144527584, -44.59602266405338, -49.193251358610624, -49.08067804072112, -42.609412264169315]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[922.6551594809116, 869.6525534768331]",47,4,2.241311442592869,4.627220771233132,rectangle
33,"[[0.0, 0.0], [280.0, 0.0], [560.0, 0.0], [840.0, 0.0], [1120.0, 0.0], [1400.0, 0.0], [0.0, 280.0], [280.0, 280.0], [560.0, 280.0], [840.0, 280.0], [1120.0, 280.0], [1400.0, 280.0], [0.0, 560.0], [280.0, 560.0], [560.0, 560.0], [840.0, 560.0], [1120.0, 560.0], [1400.0, 560.0], [0.0, 840.0], [280.0, 840.0], [560.0, 840.0], [840.0, 840.0], [1120.0, 840.0], [1400.0, 840.0], [0.0, 1120.0], [280.0, 1120.0], [560.0, 1120.0], [840.0, 1120.0], [1120.0, 1120.0], [1400.0, 1120.0], [0.0, 1400.0], [280.0, 1400.0], [560.0, 1400.0]]","[-80.0, -80.0, -80.0, -80.0, -75.4904774396288, -80.0, -72.21315447939237, -80.0, -77.80657618891861, -80.0, -80.0, -73.42334595567253, -59.91484547927551, -59.39957663951928, -80.0, -80.0, -78.17187668393231, -80.0, -72.78204905815262, -77.9594798110035, -80.0, -69.82865510219354, -80.0, -80.0, -79.70330100157473, -80.0, -80.0, -80.0, -80.0, -76.05917166067977, -80.0, -80.0, -80.0]","[-66.6289608231569, -60.792752886796535, -67.49526175668936, -54.598136494692675, -51.46007410119341, -53.65173861967132, -61.71900254639861, -62.3653407132807, -64.5838503861118, -59.25044008336725, -48.66781669477192, -42.8868264850977, -66.85703577729333, -60.51014204560409, -47.047838477341564, -49.67114538690734, -45.79898081987399, -47.32487416161273, -59.08608596741544, -55.62187587397544, -54.187978507856734, -58.93308080260033, -47.64756733596437, -41.697890412052416, -66.57755342831437, -63.06424927385018, -56.85569893949005, -61.939278585243315, -66.0736157700352, -51.42867705201492, -76.79082583699173, -75.95740358781175, -58.754080710857785]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[1442.0958229361806, 414.0164553325922]",40,1,2.32570993789745,5.133042725965993,rectangle
21,"[[0.0, 0.0], [243.25, 0.0], [486.5, 0.0], [729.75, 0.0], [973.0, 0.0], [0.0, 243.25], [243.25, 243.25], [486.5, 243.25], [729.75, 243.25], [973.0, 243.25], [0.0, 486.5], [243.25, 486.5], [486.5, 486.5], [729.75, 486.5], [973.0, 486.5], [0.0, 729.75], [243.25, 729.75], [486.5, 729.75], [729.75, 729.75], [973.0, 729.75], [0.0, 973.0]]","[-71.00460995035945, -69.80285522100856, -62.25795380124329, -58.46748043612462, -54.42515891724606, -60.2455049910719, -70.39916148811645, -65.2981852749868, -62.295389695840925, -80.0, -75.02506357238438, -65.73342190473733, -66.89475173499292, -64.13121708946551, -66.36491774274839, -71.26559928242474, -73.9759869672161, -79.59173831631695, -75.03199636799377, -75.56067612327959, -80.0]","[-67.46496303640802, -54.95790908980729, -56.37779771184897, -66.37202427939216, -64.12044320362585, -60.39279475777997, -57.4401002621165, -61.32670929114398, -55.12525197724325, -46.000282718323106, -60.74253749872965, -59.093734478214785, -51.772622355843296, -53.894099507372616, -49.87968082801568, -53.82385798479415, -58.134010549624264, -51.843609698576394, -51.95956043052299, -41.24715439133922, -68.49926286834196]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0]","[1171.8454277297355, 739.1291534751607]",43,2,2.355077013685144,5.010221327850438,rectangle
28,"[[0.0, 0.0], [149.6, 0.0], [299.2, 0.0], [448.79999999999995, 0.0], [598.4, 0.0], [748.0, 0.0], [0.0, 149.6], [149.6, 149.6], [299.2, 149.6], [448.79999999999995, 149.6], [598.4, 149.6], [748.0, 149.6], [0.0, 299.2], [149.6, 299.2], [299.2, 299.2], [448.79999999999995, 299.2], [598.4, 299.2], [748.0, 299.2], [0.0, 448.79999999999995], [149.6, 448.79999999999995], [299.2, 448.79999999999995], [448.79999999999995, 448.79999999999995], [598.4, 448.79999999999995], [748.0, 448.79999999999995], [0.0, 598.4], [149.6, 598.4], [299.2, 598.4], [448.79999999999995, 598.4]]","[-51.88529592390622, -55.223374826789545, -52.247106036596996, -64.2796505578827, -64.89608268143382, -55.06102673725469, -47.98668085555826, -58.24627548955395, -61.95886913480832, -54.59168514599325, -59.18903015103004, -65.235899473237, -54.74240926542363, -43.4695284310008, -61.36783061558507, -49.62026322068975, -71.1591996611304, -68.52437559228616, -52.87027769018556, -56.54621409167223, -56.73863876331243, -58.181606940895264, -66.20999307818808, -71.03051321572948, -57.0350201846937, -54.20288259632893, -61.38473298825665, -68.9697066690486]","[-49.8381080805241, -58.08648271644223, -60.44962426461892, -54.885195205142814, -41.83349389318365, -49.335777431660475, -60.13276488099262, -62.85076237376419, -40.400400671877186, -57.18575338867992, -58.92833697422361, -49.611800499279056, -58.85150250998137, -54.834512769572626, -50.33610842300372, -58.85067619230974, -52.29470439938177, -43.9984559625373, -56.43054067300629, -53.94283785715382, -45.680064529143785, -54.94219049826043, -46.73369933396441, -50.51962447941413, -56.261251269845125, -48.29222159784551, -52.48135606091851, -53.90976480587981]","[1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[933.017777829718, 819.9614383321989]",42,1,2.188069279016949,5.452151403567598,rectangle
41,"[[0.0, 0.0], [171.33333333333334, 0.0], [342.6666666666667, 0.0], [514.0, 0.0], [685.3333333333334, 0.0], [856.6666666666667, 0.0], [1028.0, 0.0], [0.0, 171.33333333333334], [171.33333333333334, 171.33333333333334], [342.6666666666667, 171.33333333333334], [514.0, 171.33333333333334], [685.3333333333334, 171.33333333333334], [856.6666666666667, 171.33333333333334], [1028.0, 171.33333333333334], [0.0, 342.6666666666667], [171.33333333333334, 342.6666666666667], [342.6666666666667, 342.6666666666667], [514.0, 342.6666666666667], [685.3333333333334, 342.6666666666667], [856.6666666666667, 342.6666666666667], [1028.0, 342.6666666666667], [0.0, 514.0], [171.33333333333334, 514.0], [342.6666666666667, 514.0], [514.0, 514.0], [685.3333333333334, 514.0], [856.6666666666667, 514.0], [1028.0, 514.0], [0.0, 685.3333333333334], [171.33333333333334, 685.3333333333334], [342.6666666666667, 685.3333333333334], [514.0, 685.3333333333334], [685.3333333333334, 685.3333333333334], [856.6666666666667, 685.3333333333334], [1028.0, 685.3333333333334], [0.0, 856.6666666666667], [171.33333333333334, 856.6666666666667], [342.6666666666667, 856.6666666666667], [514.0, 856.6666666666667], [685.3333333333334, 856.6666666666667], [856.6666666666667, 856.6666666666667]]","[-67.4779660866926, -77.8846647816475, -78.1944871199934, -74.09419690578477, -71.20583941376935, -72.35502241680442, -77.00710262102099, -75.10907564553143, -65.90725923143692, -63.25086683475169, -73.34575275896516, -64.47825512650928, -74.89102945763354, -70.69251879828167, -76.45823470711345, -68.50104138525305, -80.0, -69.95878966627728, -80.0, -78.51647042162071, -74.20353741453067, -70.31144182817535, -71.0174572245891, -79.99463997173373, -80.0, -80.0, -74.9990345509623, -74.2213001061775, -79.01916638160742, -71.99174740445399, -75.5292294716224, -80.0, -80.0, -63.88972585397724, -80.0, -69.54478656666062, -72.39327122506498, -80.0, -77.21342360470717, -74.71752257229588, -80.0]","[-68.70398355266389, -71.47115456509857, -70.43511391517315, -67.1200023603752, -82.35354551465065, -75.98235277558817, -69.47335158371855, -77.26126854002322, -71.51721421423738, -67.61365507298378, -68.035725399022, -66.05081074807528, -59.33655447505183, -66.56417355236965, -66.33115689012524, -70.14406969730322, -62.39534311907655, -62.514812976792705, -71.4339912943826, -71.68480811388073, -69.94016651221868, -66.0083868213578, -62.03549073414486, -62.22479393070025, -63.38881587686452, -62.06826146481681, -64.2108120096161, -74.72738594210226, -63.84394617655144, -68.31373460009671, -48.82693972428554, -57.748739382540776, -54.50535670441688, -69.34169722991511, -61.17948114094218, -56.34288841588658, -57.73233225056914, -61.64877075020685, -50.5005366602669, -54.3239811282185, -55.006923450019265]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[568.0369769609048, 1034.3954737380404]",30,4,2.3677293071351464,3.936143810360534,rectangle
28,"[[0.0, 0.0], [135.0, 0.0], [270.0, 0.0], [405.0, 0.0], [540.0, 0.0], [675.0, 0.0], [0.0, 135.0], [135.0, 135.0], [270.0, 135.0], [405.0, 135.0], [540.0, 135.0], [675.0, 135.0], [0.0, 270.0], [135.0, 270.0], [270.0, 270.0], [405.0, 270.0], [540.0, 270.0], [675.0, 270.0], [0.0, 405.0], [135.0, 405.0], [270.0, 405.0], [405.0, 405.0], [540.0, 405.0], [675.0, 405.0], [0.0, 540.0], [135.0, 540.0], [270.0, 540.0], [405.0, 540.0]]","[-67.91499704550318, -70.25285177437627, -53.25744008302976, -59.501748035082855, -52.00848637975284, -49.85385084044742, -61.6471611470467, -72.1908665040821, -57.10553377076015, -56.10108514584981, -54.74995085690898, -58.29778773779478, -66.73539045845277, -66.72649575161819, -55.20424204236088, -57.00342023294971, -52.75130423816439, -48.44801428663156, -52.52840535653963, -55.18897988586745, -60.89271139398667, -56.815936574400425, -53.74876288791003, -57.42509727990617, -57.03341005693492, -54.854572026266034, -52.54509553879453, -55.61015610992037]","[-67.42178205455988, -63.3056946925581, -62.85939358748333, -64.12521375965387, -66.72667988379061, -67.03032070598043, -65.33806246435275, -60.371607730025836, -60.4340309640815, -63.16348308271499, -51.01737657097493, -65.77249329977984, -57.248112117613495, -58.55149473797839, -62.195887546566475, -64.22719338577595, -65.08739992746742, -62.20220908207565, -58.95352470115285, -58.13698066519667, -63.70504641659936, -63.09673858648695, -68.77028616373708, -65.91044332908271, -47.914607770543896, -54.14647352994771, -62.441045126226385, -55.70422444877135]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[65.4862403057716, 727.2526077076438]",31,3,2.3645986845254225,3.5230754736562955,rectangle
