num_samples,node_positions,node_rssi,node_noise,node_states,jammer_position,jammer_power,jammer_gain,pl_exp,sigma,node_placement
37,"[[342.3118081596325, 2.5343066081568963], [372.98921834575515, 43.89434071636505], [403.6666285318778, 85.2543748245732], [434.34403871800043, 126.61440893278136], [465.0214489041231, 167.9744430409895], [495.6988590902457, 209.33447714919765], [526.3762692763682, 250.69451125740582], [557.0536794624909, 292.054545365614], [587.7310896486135, 333.41457947382213], [618.4084998347362, 374.77461358203027], [649.0859100208588, 416.1346476902384], [679.7633202069815, 457.4946817984466], [710.4407303931041, 498.85471590665475], [741.1181405792267, 540.2147500148628], [685.6974664693863, 546.5927661283727], [630.2767923595459, 552.9707822418825], [574.8561182497053, 559.3487983553922], [519.4354441398649, 565.726814468902], [464.01477003002447, 572.1048305824119], [408.594095920184, 578.4828466959216], [353.1734218103435, 584.8608628094314], [297.75274770050305, 591.2388789229412], [242.33207359066262, 597.6168950364511], [186.91139948082218, 603.9949111499609], [131.49072537098164, 610.3729272634706], [76.0700512611412, 616.7509433769804], [98.25686433601547, 565.5662236462451], [120.44367741088973, 514.3815039155098], [142.630490485764, 463.1967841847746], [164.81730356063827, 412.0120644540393], [187.00411663551253, 360.827344723304], [209.1909297103868, 309.6426249925687], [231.37774278526106, 258.45790526183345], [253.56455586013533, 207.27318553109814], [275.7513689350096, 156.08846580036283], [297.93818200988386, 104.90374606962757], [320.1249950847581, 53.71902633889226]]","[-71.81197246441724, -61.08566018091531, -60.23731800942579, -60.488746633175566, -58.497033085602446, -71.47048580707603, -67.10932569682465, -65.0345685828215, -78.59838378220135, -80.0, -72.0522910825918, -65.85927885782223, -54.10685499293591, -69.13232186280528, -52.618425259131044, -64.16070281851387, -67.79054690236245, -72.33496155878187, -63.45604699238275, -80.0, -57.26156099032577, -71.76574937115524, -61.42195724144396, -66.01787767550684, -68.70802778237157, -71.81390033941403, -67.30000877283493, -68.56654782613307, -78.78051327740755, -71.55800760169949, -46.817559399949594, -69.78181140238456, -70.54213966725968, -76.11450790012262, -61.83771487100625, -63.54774776513311, -69.20007245004673]","[-62.81425620199158, -59.655838016295604, -48.053527285035116, -57.61732362646774, -49.11554243374199, -52.71328872864573, -57.028077597426716, -45.775937065757184, -55.698843442113024, -57.732551830562684, -47.856718814736084, -50.35939935022764, -56.192134515267625, -50.187083744531805, -41.07726188012113, -44.165844901838426, -48.95628503217286, -46.28084341147725, -53.35802643613852, -56.15456307832161, -68.91397317360385, -59.65093486572191, -53.139528509157905, -50.10626355489612, -55.33274442993745, -55.554712799673666, -54.36717620767702, -53.26771727924856, -47.075060367060146, -66.66145320668555, -50.050069725674206, -64.9982507843009, -61.10695828735764, -47.21238888780114, -57.30767197824633, -50.38701430353031, -55.58155430318524]","[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0]","[1463.8743611103898, 1090.986854680337]",47,0,2.2631303462039734,5.460337996560503,triangle
30,"[[568.5468429694843, 1.4036124819940596], [608.5426065179893, 84.03132513442122], [648.5383700664944, 166.6590377868484], [688.5341336149994, 249.28675043927555], [728.5298971635045, 331.9144630917027], [768.5256607120095, 414.54217574412985], [808.5214242605146, 497.16988839655704], [848.5171878090196, 579.7976010489842], [888.5129513575247, 662.4253137014114], [928.5087149060298, 745.0530263538385], [968.5044784545348, 827.6807390062656], [876.9488984666795, 821.0042299568131], [785.3933184788241, 814.3277209073607], [693.8377384909688, 807.6512118579082], [602.2821585031135, 800.9747028084556], [510.7265785152581, 794.2981937590032], [419.17099852740284, 787.6216847095507], [327.6154185395475, 780.9451756600981], [236.0598385516921, 774.2686666106456], [144.50425856383674, 767.5921575611932], [52.94867857598143, 760.9156485117406], [104.5084950153317, 684.9644449087659], [156.06831145468198, 609.0132413057913], [207.62812789403222, 533.0620377028167], [259.18794433338246, 457.110834099842], [310.74776077273276, 381.15963049686735], [362.307577212083, 305.2084268938927], [413.8673936514333, 229.25722329091798], [465.42721009078355, 153.30601968794338], [516.9870265301338, 77.35481608496877]]","[-65.6299755656086, -51.64079216021818, -64.2368600304168, -58.25368433825376, -71.45204356539449, -69.71743206316484, -69.58649378510985, -80.0, -74.10289390503041, -80.0, -80.0, -80.0, -80.0, -77.40511207108365, -72.83273551776924, -68.64266125051287, -58.54203076269612, -77.52437782039054, -59.38540202194029, -62.97140327967614, -61.959573629147215, -64.38442291973654, -66.54525581173328, -70.28164540446647, -60.31304070805711, -73.5027906964388, -61.36256969927501, -58.59555159671555, -71.96921257342595, -53.59427832691768]","[-63.345329870019434, -63.19504442566574, -59.48347368840383, -61.358560975802774, -63.78576138265447, -60.09679213078602, -54.72788587694672, -55.775296034541, -49.04761488549461, -45.10501548829123, -35.18423679192311, -36.743679531501364, -47.27998251535638, -49.606927213417094, -43.269160180615756, -53.509588136459676, -54.692595437232626, -60.78223507335109, -60.241658703051435, -68.08590521228375, -59.61202016905883, -64.6054878995008, -62.769790290949544, -62.3816968270041, -62.67927578635977, -56.692418631384825, -61.21475434940579, -69.91050912083819, -59.55081917753791, -54.639963097477334]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[871.8315992145635, 903.3779093620129]",45,1,2.607245604036508,5.1105144937281395,triangle
25,"[[347.1959535150706, 47.73721062297193], [436.424963582372, 113.83477083598675], [525.6539736496734, 179.93233104900156], [614.8829837169749, 246.02989126201638], [704.1119937842764, 312.1274514750312], [793.3410038515777, 378.22501168804604], [882.5700139188791, 444.3225719010608], [971.7990239861806, 510.4201321140756], [1061.028034053482, 576.5176923270905], [1150.2570441207836, 642.6152525401053], [1035.6682889012038, 692.3692880772076], [921.0795336816241, 742.1233236143098], [806.4907784620444, 791.877359151412], [691.9020232424647, 841.6313946885142], [577.3132680228849, 891.3854302256165], [462.7245128033053, 941.1394657627186], [348.13575758372554, 990.8935012998209], [233.54700236414584, 1040.647536836923], [247.75312125801148, 916.5337460601792], [261.9592401518771, 792.4199552834352], [276.1653590457428, 668.3061645066914], [290.3714779396084, 544.1923737299475], [304.577596833474, 420.0785829532035], [318.78371572733965, 295.9647921764597], [332.9898346212053, 171.85100139971576]]","[-69.70267106663307, -53.14237594905211, -61.359052181085296, -58.608554536999264, -59.55945504085903, -60.74953053807032, -58.06171377249304, -67.71432834428286, -64.00218056204035, -76.0531533677501, -80.0, -80.0, -71.33813451934381, -80.0, -68.62171123868983, -71.13963023122658, -50.63019293456951, -70.232718012387, -56.65756793566331, -65.9078386084164, -71.16415840978787, -66.24854453715554, -66.73228270185956, -62.64237732436406, -54.17411576597966]","[-63.41950788744483, -55.445306008875576, -56.637704611887514, -54.62977620674776, -56.34541060310199, -54.227631509546875, -56.06749957892103, -56.84068940555352, -54.27313994860731, -56.04830224780686, -49.768828123202276, -52.5411846340138, -46.88658463922634, -54.62573902376296, -58.17730209188244, -45.239201506260905, -50.56494980909859, -55.4286672300954, -54.616810617702846, -60.373653064363815, -60.545584518432804, -62.68887745089966, -62.110586603175115, -56.82372162205372, -54.5989409670705]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","[750.8519606816385, 1381.665908427606]",39,4,2.2345419909603526,3.7138998044630407,triangle
16,"[[251.50529212089168, 0.8475105144327131], [296.16079735694854, 65.78313904078566], [340.81630259300533, 130.7187675671386], [385.4718078290622, 195.65439609349153], [430.127313065119, 260.5900246198445], [474.78281830117584, 325.52565314619744], [519.4383235372327, 390.46128167255034], [425.1619356981613, 397.90726690064366], [330.88554785908985, 405.35325212873704], [236.6091600200184, 412.79923735683036], [142.33277218094702, 420.24522258492374], [48.056384341875656, 427.69120781301706], [88.74616589767889, 342.3224683533002], [129.43594745348213, 256.95372889358333], [170.12572900928535, 171.58498943386644], [210.8155105650886, 86.2162499741496]]","[-76.92851496367626, -75.86399442629315, -73.0771943791988, -74.80159769196165, -62.56704573235094, -70.84444762189423, -80.0, -80.0, -72.06359174271044, -80.0, -77.96300404240833, -68.10515221177195, -72.52812633207537, -80.0, -80.0, -60.93760452286023]","[-64.35530392186305, -68.54836261831773, -60.442634987160275, -49.89235529070419, -56.31915454553361, -48.483199231883, -39.45688694248739, -46.056712370790514, -59.87164236396393, -55.01467399820087, -49.51418170554413, -62.493840739054235, -67.00688056879554, -67.00245821141547, -63.34741170781477, -57.28380380610861]","[0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[689.9402739513243, 424.60108886825077]",45,1,2.797977865885761,5.958021841984033,triangle
78,"[[1197.211736038942, 419.4172414525507], [1170.091698372943, 450.0813685415595], [1142.9716607069438, 480.74549563056837], [1115.8516230409448, 511.4096227195772], [1088.7315853749458, 542.0737498085861], [1061.6115477089465, 572.7378768975949], [1034.4915100429475, 603.4020039866037], [1007.3714723769484, 634.0661310756126], [980.2514347109493, 664.7302581646214], [953.1313970449503, 695.3943852536302], [926.0113593789512, 726.058512342639], [898.891321712952, 756.7226394316478], [871.771284046953, 787.3867665206567], [844.6512463809539, 818.0508936096655], [817.5312087149548, 848.7150206986744], [790.4111710489558, 879.3791477876832], [763.2911333829567, 910.0432748766921], [736.1710957169576, 940.7074019657009], [709.0510580509585, 971.3715290547098], [681.9310203849594, 1002.0356561437186], [654.8109827189603, 1032.6997832327274], [627.6909450529613, 1063.3639103217363], [600.5709073869622, 1094.0280374107451], [573.450869720963, 1124.692164499754], [546.330832054964, 1155.3562915887628], [519.2107943889649, 1186.0204186777717], [492.0907567229658, 1216.6845457667805], [479.0948625120091, 1177.86584065193], [466.0989683010524, 1139.0471355370796], [453.10307409009573, 1100.2284304222292], [440.10717987913904, 1061.4097253073787], [427.11128566818235, 1022.5910201925283], [414.11539145722566, 983.7723150776778], [401.119497246269, 944.9536099628274], [388.12360303531227, 906.1349048479769], [375.12770882435564, 867.3161997331265], [362.1318146133989, 828.497494618276], [349.13592040244225, 789.6787895034256], [336.14002619148556, 750.8600843885752], [323.14413198052887, 712.0413792737247], [310.1482377695722, 673.2226741588743], [297.1523435586155, 634.4039690440238], [284.1564493476588, 595.5852639291734], [271.1605551367021, 556.7665588143229], [258.1646609257454, 517.9478536994725], [245.16876671478872, 479.12914858462204], [232.17287250383202, 440.3104434697716], [219.17697829287533, 401.49173835492115], [206.18108408191864, 362.6730332400707], [193.18518987096195, 323.85432812522026], [180.1892956600053, 285.0356230103698], [167.19340144904862, 246.21691789551937], [154.19750723809193, 207.39821278066893], [194.3134391150477, 215.55279080651056], [234.42937099200347, 223.70736883235216], [274.54530286895925, 231.8619468581938], [314.661234745915, 240.0165248840354], [354.77716662287077, 248.17110290987702], [394.8930984998266, 256.32568093571865], [435.00903037678233, 264.48025896156025], [475.1249622537381, 272.63483698740185], [515.2408941306938, 280.7894150132435], [555.3568260076496, 288.9439930390851], [595.4727578846055, 297.0985710649268], [635.5886897615612, 305.2531490907684], [675.704621638517, 313.40772711661], [715.8205535154727, 321.5623051424516], [755.9364853924285, 329.71688316829324], [796.0524172693843, 337.87146119413484], [836.16834914634, 346.0260392199765], [876.2842810232958, 354.1806172458181], [916.4002129002515, 362.3351952716597], [956.5161447772073, 370.4897732975013], [996.6320766541631, 378.6443513233429], [1036.748008531119, 386.79892934918456], [1076.8639404080745, 394.95350737502616], [1116.9798722850305, 403.1080854008678], [1157.095804161986, 411.2626634267094]]","[-50.17619790504549, -54.148651934547885, -51.250484679762124, -59.085601271515905, -48.6947761290968, -65.60653387234456, -56.200839086566006, -51.69833298036251, -70.75190604072581, -65.78544179616553, -64.25696150061471, -68.41171242449872, -72.14551231413886, -65.65972707512377, -70.1899561345435, -66.78513213504453, -73.93526678150815, -74.10761355477928, -65.44033189209337, -59.51653167362211, -60.58154125463274, -62.73854438198557, -48.175489934538845, -56.81157893721361, -62.46856776095949, -52.32410651752819, -51.841645072838205, -52.41990346530751, -57.62833446945095, -67.87746474430546, -68.85240736487418, -53.96003556783276, -53.1117462804393, -57.65925154558144, -55.37553936844726, -59.06615566761815, -62.76054962873282, -54.068527629328386, -64.0169731549407, -65.6191492603781, -49.17943567039404, -53.75162750649744, -50.328740067837316, -55.19901736526958, -50.319820278557486, -38.87810172920686, -48.64669913537304, -47.242967739087035, -56.837294691804956, -50.73947472494637, -46.989262511620495, -46.90337906726767, -43.59870329442908, -45.4864280902161, -55.658820436183156, -46.313340739616216, -55.40453529471519, -49.91126561351988, -45.55313142072475, -46.371089483045125, -45.13248831904404, -62.31961393288458, -45.51106272199159, -60.01880909709807, -53.89081642795726, -53.633808297742874, -47.80904784245205, -50.9188114722414, -44.78498083714201, -48.08466406668207, -50.237616040913885, -52.891987609651935, -61.665852095208734, -57.76472104194747, -57.22106856887851, -54.076175517514706, -52.652964933820456, -51.888790789847015]","[-49.0500359499643, -51.484825644945104, -53.37744987791471, -55.892741558971785, -44.62856094094037, -45.30688332013177, -48.9983196307501, -46.42433847985427, -46.88996398084743, -43.65688413627353, -48.399743604666284, -41.282714382437305, -45.04521388990513, -45.31699299508179, -50.10855931529874, -45.17086903867291, -40.77668379199239, -49.960257077364574, -44.26629926810606, -46.19723298149133, -42.85368622798486, -42.340214764865934, -41.97960343474346, -41.357915077478, -42.915006701895535, -36.97888963618412, -38.7687429891136, -38.99788588394814, -44.38770355221219, -42.739752038312176, -45.37976690059391, -47.669607241867126, -43.94879362810702, -50.95159450266465, -41.433626826645664, -44.70349516194487, -51.04182786768938, -51.478520630555224, -49.46468273879765, -56.053410227116046, -53.12143285337753, -56.50672878936326, -51.95482665486783, -52.43174653545988, -52.60444219354974, -47.570744545027814, -53.94948735143099, -52.26098124533487, -46.16387849639275, -50.45035499612436, -56.34702793004208, -56.52660766900945, -52.18322759123156, -55.75970754059347, -56.026921130303656, -52.94884917578456, -53.04739065615942, -55.98077925485819, -50.86926825848317, -50.76937218989713, -49.156085647651, -51.74891580581898, -48.83009838679704, -54.77687946035544, -52.31069772618183, -51.191069159244165, -47.41936372891013, -53.189046950289324, -45.88266940362119, -54.12873752102194, -51.3013230585075, -53.73458925982253, -53.40321582444681, -51.688390014849475, -52.779025032179604, -43.23611314907797, -52.82104780624807, -51.3777055547454]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[938.0635746596654, 1441.942012606487]",47,4,2.302094256187025,3.41586134308244,triangle
38,"[[485.6467317628554, 2.2812609694375396], [526.8296443342551, 60.46102439195204], [568.012556905655, 118.64078781446653], [609.1954694770546, 176.82055123698103], [650.3783820484545, 235.00031465949553], [691.5612946198542, 293.18007808201], [732.744207191254, 351.3598415045245], [773.9271197626538, 409.539604927039], [815.1100323340535, 467.7193683495535], [856.2929449054532, 525.899131772068], [897.475857476853, 584.0788951945825], [938.6587700482528, 642.258658617097], [979.8416826196526, 700.4384220396115], [1021.0245951910522, 758.618185462126], [950.0479857952861, 765.1937522395344], [879.07137639952, 771.7693190169429], [808.0947670037538, 778.3448857943514], [737.1181576079877, 784.9204525717598], [666.1415482122216, 791.4960193491683], [595.1649388164553, 798.0715861265767], [524.1883294206892, 804.6471529039852], [453.2117200249231, 811.2227196813936], [382.235110629157, 817.7982864588021], [311.2585012333909, 824.3738532362105], [240.2818918376247, 830.949420013619], [169.3052824418586, 837.5249867910275], [98.32867304609238, 844.1005535684359], [130.60517793915596, 773.9489458518527], [162.88168283221952, 703.7973381352695], [195.15818772528309, 633.6457304186863], [227.43469261834667, 563.4941227021031], [259.71119751141026, 493.34251498551987], [291.9877024044738, 423.1909072689367], [324.2642072975374, 353.0392995523535], [356.54071219060097, 282.8876918357703], [388.81721708366456, 212.73608411918713], [421.09372197672815, 142.58447640260385], [453.3702268697917, 72.4328686860207]]","[-49.59927669921901, -37.48690508765701, -41.74567509624744, -39.65675334629634, -40.39196540453716, -46.084051879046015, -40.13501916035418, -52.33872134040012, -50.08773375792481, -42.563551201823245, -35.31569187074763, -36.41762975033171, -41.12519230148973, -37.84249237338003, -37.75634830474443, -50.52523683471926, -37.826506069474945, -57.102738904906474, -43.41398660641612, -47.01951766697235, -43.26892082700364, -38.810710926536686, -50.108705841307426, -54.95865942834676, -46.17412797876136, -43.592982041845836, -58.20375172159592, -40.715349133674025, -46.61428347883141, -56.57611919894763, -48.20930405691322, -55.72951008938997, -42.765383638423145, -45.14328357750185, -40.72473988890559, -38.08194953051198, -48.01958700579888, -38.15307502410423]","[-63.6237803530035, -50.335170929519876, -61.41863481525181, -60.701153629838515, -52.197302277803736, -56.41244779315012, -55.59567528855109, -51.272972099988934, -60.76270297346912, -57.85783642735951, -47.73721935823264, -54.8697110028571, -44.58617715308755, -39.50181866823814, -52.01707765462696, -57.029584860808164, -51.67432115361376, -50.82343743230794, -58.25746496878668, -52.28964815631297, -59.31650792864971, -52.182236642251894, -54.859253984525786, -49.051714616594396, -70.4742613165609, -55.31042551520802, -53.82610358079756, -57.737069524326195, -60.052647038209216, -61.47969418566255, -60.00169764094997, -52.84872948199371, -63.462416574484386, -63.844857615073856, -64.58483781792522, -58.7749284390938, -55.66495154164951, -58.53372788656655]","[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[1338.2047489905772, 485.9190083994011]",32,3,2.029527344534343,4.901772774159074,triangle
27,"[[104.56229949831516, 1111.576722252778], [173.13624587653294, 988.0795975735239], [241.7101922547507, 864.5824728942697], [310.28413863296845, 741.0853482150155], [378.85808501118623, 617.5882235357615], [447.432031389404, 494.0910988565074], [516.0059777676217, 370.59397417725324], [584.5799241458395, 247.09684949799907], [653.1538705240573, 123.59972481874502], [721.7278169022751, 0.10260013949095992], [794.3924909797345, 121.23794208040651], [867.0571650571937, 242.37328402132206], [939.7218391346531, 363.5086259622376], [1012.3865132121125, 484.64396790315317], [1085.0511872895718, 605.7793098440687], [1157.7158613670313, 726.9146517849842], [1230.3805354444905, 848.0499937258999], [1303.0452095219498, 969.1853356668154], [1375.7098835994093, 1090.3206776077309], [1234.4712631437321, 1092.6824603460695], [1093.232642688055, 1095.044243084408], [951.994022232378, 1097.4060258227466], [810.7554017767009, 1099.767808561085], [669.5167813210237, 1102.1295912994237], [528.2781608653466, 1104.4913740377622], [387.0395404096696, 1106.8531567761008], [245.80091995399243, 1109.2149395144393]]","[-73.18206644110205, -73.40628114093118, -72.48923696620551, -80.0, -80.0, -80.0, -80.0, -80.0, -74.17935261108475, -80.0, -80.0, -80.0, -80.0, -79.28906843965699, -68.51524942596691, -75.10292760574005, -80.0, -65.09476034567086, -66.57149245862637, -59.766364351701654, -68.0901555853181, -68.10095345554105, -80.0, -80.0, -68.26477754770615, -80.0, -77.10737549845537]","[-50.35587179543478, -57.48532021409616, -50.905491316404635, -52.48780886638193, -62.267370525981896, -63.561936920086204, -60.29418781636457, -63.76167913008303, -64.83822770944823, -57.84433373493036, -65.71039252025616, -45.46039274307104, -49.64839705383952, -50.352751484727705, -64.61301038721163, -62.340515490555305, -62.57098585159403, -58.77348391299792, -67.0500966833443, -53.07870497536173, -53.604906377383045, -59.02666855669294, -45.60889021973047, -51.97613970085624, -50.916481355532824, -53.4369133921853, -46.589464164241214]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[381.3116563834374, 1487.2268694547072]",48,4,2.609855550682738,5.392080278276746,triangle
30,"[[735.3226091530329, 10.209145406807693], [771.5434625085261, 111.85519689037422], [807.7643158640192, 213.50124837394074], [843.9851692195124, 315.1472998575073], [880.2060225750056, 416.7933513410738], [916.4268759304987, 518.4394028246403], [952.6477292859919, 620.0854543082069], [988.8685826414851, 721.7315057917733], [1025.0894359969782, 823.3775572753399], [1061.3102893524715, 925.0236087589064], [1097.5311427079646, 1026.669660242473], [991.3926532510684, 1007.2148136532976], [885.2541637941723, 987.7599670641223], [779.1156743372761, 968.305120474947], [672.97718488038, 948.8502738857717], [566.8386954234838, 929.3954272965964], [460.70020596658765, 909.9405807074211], [354.56171650969156, 890.4857341182459], [248.42322705279537, 871.0308875290706], [142.28473759589917, 851.5760409398953], [36.146248139003205, 832.12119435072], [106.06388424040617, 749.9299894563287], [175.98152034180913, 667.7387845619376], [245.8991564432121, 585.5475796675463], [315.81679254461505, 503.35637477315504], [385.73442864601805, 421.1651698787638], [455.652064747421, 338.97396498437257], [525.5697008488239, 256.78276008998137], [595.4873369502269, 174.5915551955901], [665.4049730516299, 92.40035030119884]]","[-74.86274454433061, -63.14256260372515, -69.96856338665195, -65.70682196578076, -73.33565879082751, -76.4015993701135, -80.0, -80.0, -74.17497096820549, -71.0236987157127, -80.0, -75.04651076089817, -80.0, -68.01540813690058, -79.64850002756786, -80.0, -68.82991494663581, -54.216316452101076, -62.27491507440181, -61.466154236025595, -64.76247813563701, -71.6576937606557, -75.78677827019095, -73.1244026154512, -64.70390402126552, -62.39554673353394, -78.86493231750615, -80.0, -69.58436169785611, -72.00933809316575]","[-62.33340165859293, -61.42548211049572, -61.514369089216544, -63.23887364670931, -65.7405680867779, -56.60947970839043, -53.72061727935477, -45.39390730034818, -48.1853571764501, -35.75068568271693, -32.72436920524762, -41.34951945901446, -52.04936652236836, -43.31313257379607, -56.48753069305378, -65.0830773512777, -55.16559154055608, -63.86046283550108, -57.024543211931814, -62.056743980636284, -66.39062098588104, -65.4221933863147, -59.16027139173685, -59.42129991278097, -63.709095286673325, -54.65793513048976, -58.86506262868076, -62.98963977772971, -61.6727824423224, -66.52413098255833]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1216.3569937565564, 1002.3667076567651]",47,4,2.7439700088149954,4.27445264598484,triangle
25,"[[725.3452928914865, 1381.1459272184384], [653.2117545996239, 1269.426483364748], [581.0782163077612, 1157.7070395110577], [508.94467801589855, 1045.9875956573674], [436.8111397240359, 934.268151803677], [364.6776014321733, 822.5487079499867], [292.54406314031064, 710.8292640962964], [220.410524848448, 599.109820242606], [148.27698655658537, 487.3903763889157], [76.14344826472279, 375.67093253522535], [225.56442458710626, 368.2349584991142], [374.9854009094897, 360.7989844630031], [524.4063772318732, 353.3630104268919], [673.8273535542567, 345.92703639078076], [823.2483298766401, 338.4910623546696], [972.6693061990236, 331.05508831855843], [1122.090282521407, 323.6191142824473], [1271.5112588437905, 316.18314024633617], [1203.2405130997527, 449.3034886178489], [1134.9697673557146, 582.4238369893617], [1066.6990216116765, 715.5441853608745], [998.4282758676386, 848.6645337323872], [930.1575301236006, 981.7848821039], [861.8867843795626, 1114.9052304754127], [793.6160386355247, 1248.0255788469253]]","[-80.0, -80.0, -69.59663421968399, -78.08172430681441, -70.11736091271031, -61.54714047743757, -56.80141156097537, -65.96533560121411, -62.69773826672834, -63.76863303298676, -66.64845771378704, -57.29645806397243, -66.72714512028831, -71.443407824176, -58.77103539455311, -71.36546139128686, -69.62337182540568, -70.92654996063963, -67.69923472497294, -78.89606328579947, -80.0, -69.64679497106826, -75.86783244579135, -80.0, -60.855820843511374]","[-49.815680776892684, -46.598963597204765, -59.55021506029798, -52.67128605202893, -53.32053648347453, -58.86429977466362, -63.74213603671301, -61.338590863982986, -57.2378692968241, -74.66877217869603, -69.88545975044323, -69.49326369987227, -61.37293524886201, -56.791253636437645, -55.854652721500685, -52.28458251355388, -53.60296137796433, -57.59386334688378, -59.70512382368191, -59.027917082801274, -46.96453597373237, -53.52279920606676, -57.725021679518804, -54.720316054442975, -48.06600437227529]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]","[1190.4558768210923, 1424.4644747021669]",44,2,2.42891452627935,5.15912099150639,triangle
39,"[[18.93916466918489, 507.162695357625], [53.4938045869696, 468.8029192597068], [88.04844450475431, 430.4431431617886], [122.60308442253903, 392.08336706387036], [157.15772434032374, 353.7235909659522], [191.71236425810844, 315.36381486803396], [226.26700417589316, 277.00403877011576], [260.8216440936779, 238.64426267219756], [295.3762840114626, 200.28448657427936], [329.9309239292473, 161.92471047636116], [364.485563847032, 123.56493437844296], [399.04020376481674, 85.20515828052476], [433.59484368260144, 46.8453821826065], [468.1494836003862, 8.4856060846883], [484.0927042257741, 57.59069012107279], [500.035924851162, 106.69577415745728], [515.97914547655, 155.80085819384178], [531.9223661019379, 204.90594223022626], [547.8655867273258, 254.01102626661074], [563.8088073527138, 303.11611030299525], [579.7520279781016, 352.22119433937974], [595.6952486034895, 401.3262783757642], [611.6384692288775, 450.4313624121487], [627.5816898542654, 499.5364464485332], [643.5249104796533, 548.6415304849177], [659.4681311050413, 597.7466145213023], [675.4113517304291, 646.8516985576866], [624.9134911872565, 636.1063906192203], [574.4156306440839, 625.3610826807541], [523.9177701009112, 614.6157747422877], [473.4199095577386, 603.8704668038215], [422.9220490145659, 593.1251588653552], [372.4241884713933, 582.3798509268888], [321.92632792822064, 571.6345429884226], [271.428467385048, 560.8892350499563], [220.93060684187537, 550.14392711149], [170.43274629870274, 539.3986191730237], [119.9348857555301, 528.6533112345573], [69.43702521235741, 517.9080032960911]]","[-59.896623775427116, -56.64294402135264, -71.83278954210684, -77.00549379227645, -79.88272142096271, -77.47706060684193, -68.43442722717398, -75.47978998042936, -76.20555247994662, -72.78007561822557, -66.50822628814495, -74.1011575999295, -57.32042070720786, -70.9499194048164, -71.4117505208151, -72.48245646888444, -72.47986449910786, -68.25009103357297, -73.05077689088799, -57.78277472333524, -64.80490971232827, -55.17393453311812, -73.65320644755346, -53.23254129880114, -53.76797669205461, -69.92495623187577, -63.130634886315256, -59.99300867398642, -47.642225342968686, -61.45857020981895, -49.28511264205723, -62.05618611439711, -57.70692909372447, -50.63579321069079, -67.45449824039319, -55.96108149462488, -52.01064605019081, -75.04490570444814, -62.017122224862725]","[-53.66583864963134, -53.25299294423565, -57.41736703878818, -58.63319930483178, -67.27589291571485, -55.879422406774744, -53.39485722850141, -59.49035144469277, -60.68993298307285, -62.173784993319146, -56.1904191395994, -58.00620780570423, -62.221588719252054, -65.39346451932515, -58.39624711960223, -62.973286657251315, -69.24391644074619, -59.3896468079754, -45.735146315168436, -49.48789381043192, -61.200289459839084, -56.327291231280434, -59.33530605048035, -58.343445143647074, -47.85816751175176, -55.231151970872325, -58.566247174948536, -55.13745083012847, -39.97841564897537, -51.15544740824806, -68.71905482688791, -56.505364206913356, -46.35268983947192, -54.444144326193246, -53.73856127648257, -51.913828388545596, -63.109877563034516, -56.42895422131653, -53.20442674445712]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1]","[73.34825427677627, 1409.8845338869191]",44,1,2.289113509346056,4.993238284567866,triangle
